x	y	z	t	P_uM
105.565	-281.537	8.885	2012.473	2.021
105.565	-281.537	3.097	2012.473	1.381
105.565	-281.537	3.097	2012.473	1.318
105.565	-281.537	-1.951	2012.473	0.000
105.565	-281.537	-6.587	2012.473	1.136
105.565	-281.537	-12.866	2012.473	1.632
697.632	-28.422	-20.896	2012.546	1.877
696.373	-27.501	12.558	2012.475	0.000
696.373	-27.501	11.034	2012.475	0.000
696.373	-27.501	9.510	2012.475	0.000
696.373	-27.501	9.510	2012.475	0.000
696.373	-27.501	7.995	2012.475	0.000
696.373	-27.501	7.995	2012.514	0.000
696.373	-27.501	6.471	2012.475	0.000
696.373	-27.501	4.953	2012.475	0.644
696.373	-27.501	3.429	2012.475	16.445
696.373	-27.501	1.914	2012.475	28.302
696.373	-27.501	1.914	2012.475	29.136
696.373	-27.501	0.390	2012.475	33.348
696.373	-27.501	-2.652	2012.475	3.238
696.373	-27.501	-5.697	2012.475	2.381
696.373	-27.501	-8.736	2012.475	1.313
696.373	-27.501	-11.781	2012.475	2.655
696.373	-27.501	-14.822	2012.475	3.592
696.373	-27.501	-17.867	2012.475	4.013
808.571	-268.701	0.989	2012.549	1.031
808.571	-268.701	-5.852	2012.473	1.529
808.571	-268.701	-14.801	2012.473	1.274
617.636	94.766	-15.703	2012.530	0.818
617.636	94.766	-21.400	2012.530	1.342
617.636	94.766	-27.249	2012.530	1.198
617.636	94.766	2.170	2012.333	19.133
617.636	94.766	1.561	2012.333	16.819
617.636	94.766	0.646	2012.333	14.150
617.636	94.766	-1.186	2012.333	10.027
617.636	94.766	-2.100	2012.333	10.569
617.636	94.766	-3.018	2012.333	10.853
617.636	94.766	-3.932	2012.333	10.456
617.636	94.766	-5.151	2012.333	8.287
617.636	94.766	-6.373	2012.333	5.996
617.636	94.766	-6.373	2012.333	5.783
617.636	94.766	-7.593	2012.333	4.893
617.636	94.766	-8.812	2012.333	3.708
617.636	94.766	-13.106	2012.333	1.360
617.636	94.766	-16.127	2012.333	0.821
617.636	94.766	12.311	2012.333	0.000
617.636	94.766	11.396	2012.333	0.000
617.636	94.766	10.482	2012.333	2.834
617.636	94.766	9.562	2012.333	6.742
617.636	94.766	8.647	2012.333	21.769
617.636	94.766	8.038	2012.333	23.398
617.636	94.766	7.428	2012.333	43.618
617.636	94.766	6.815	2012.333	34.045
617.636	94.766	6.206	2012.333	25.432
617.636	94.766	5.596	2012.333	25.647
617.636	94.766	5.596	2012.333	25.862
617.636	94.766	4.987	2012.333	27.035
617.636	94.766	4.377	2012.333	24.711
617.636	94.766	3.767	2012.333	23.687
617.636	94.766	3.158	2012.333	26.176
617.636	94.766	2.548	2012.333	23.225
260.080	25.269	-22.802	2012.448	5.048
260.968	22.974	-1.667	2012.393	26.862
260.968	22.974	-3.191	2012.393	1.976
260.968	22.974	-4.715	2012.393	3.255
260.968	22.974	-4.715	2012.393	3.273
260.968	22.974	-7.763	2012.393	1.689
260.968	22.974	-9.287	2012.393	1.897
260.968	22.974	-10.811	2012.393	2.079
260.968	22.974	-12.335	2012.393	3.150
260.968	22.974	-13.250	2012.393	5.380
260.968	22.974	-14.164	2012.415	8.695
260.968	22.974	-15.078	2012.393	6.864
260.968	22.974	-15.993	2012.393	6.482
260.968	22.974	-16.907	2012.393	1.636
260.968	22.974	-17.822	2012.415	6.960
260.968	22.974	-18.736	2012.393	5.498
260.578	24.224	11.143	2012.391	26.551
260.578	24.224	10.229	2012.391	23.930
260.578	24.224	9.315	2012.391	22.193
260.578	24.224	7.486	2012.391	21.025
260.578	24.224	6.571	2012.391	36.886
260.578	24.224	6.571	2012.391	36.789
260.578	24.224	5.657	2012.391	49.794
260.578	24.224	4.743	2012.391	67.518
260.578	24.224	4.743	2012.391	67.986
260.578	24.224	3.828	2012.391	83.548
260.578	24.224	2.914	2012.391	80.081
260.578	24.224	1.999	2012.391	78.085
260.578	24.224	1.085	2012.391	63.308
260.578	24.224	-0.744	2012.391	39.698
260.578	24.224	-0.744	2012.391	39.333
260.578	24.224	-1.658	2012.391	2.439
267.888	22.222	13.804	2012.393	0.000
267.888	22.222	13.551	2012.393	1.843
267.888	22.222	13.298	2012.393	15.177
267.888	22.222	13.024	2012.393	38.035
267.888	22.222	12.768	2012.393	47.382
267.888	22.222	12.515	2012.393	48.838
267.888	22.222	12.262	2012.393	47.941
267.888	22.222	12.006	2012.393	38.843
267.888	22.222	11.753	2012.393	33.302
267.888	22.222	11.500	2012.393	30.043
267.888	22.222	11.244	2012.393	26.420
267.888	22.222	10.991	2012.393	24.795
267.888	22.222	10.991	2012.393	24.571
267.888	22.222	10.738	2012.393	24.749
267.888	22.222	10.482	2012.393	25.381
267.888	22.222	10.229	2012.393	24.718
385.103	39.189	12.674	2012.514	0.000
385.103	39.189	12.094	2012.514	0.000
385.103	39.189	11.515	2012.514	9.600
385.103	39.189	10.936	2012.514	20.830
385.103	39.189	10.342	2012.514	41.454
385.103	39.189	9.763	2012.514	45.571
385.103	39.189	9.184	2012.514	45.148
385.103	39.189	8.605	2012.514	42.052
385.103	39.189	8.605	2012.514	41.855
385.103	39.189	8.025	2012.514	40.615
385.103	39.189	7.452	2012.514	37.248
385.103	39.189	6.873	2012.514	36.986
385.103	39.189	6.294	2012.514	36.334
385.103	39.189	5.715	2012.514	36.276
385.103	39.189	5.136	2012.514	40.011
385.103	39.189	4.557	2012.514	36.273
386.528	37.920	6.075	2012.514	35.575
386.528	37.920	4.551	2012.514	32.308
386.528	37.920	3.027	2012.514	12.316
386.528	37.920	-0.018	2012.514	47.027
386.528	37.920	-1.548	2012.514	65.084
386.528	37.920	-3.072	2012.514	49.826
386.528	37.920	-4.606	2012.514	39.178
386.528	37.920	-6.130	2012.514	32.502
386.528	37.920	-7.666	2012.514	2.855
386.528	37.920	-9.190	2012.514	4.884
386.528	37.920	-9.190	2012.514	4.721
386.528	37.920	-10.708	2012.514	6.249
386.528	37.920	-13.756	2012.514	8.084
386.528	37.920	-15.280	2012.514	8.527
347.983	113.254	13.951	2012.505	0.000
347.983	113.254	11.512	2012.505	13.497
347.983	113.254	9.074	2012.505	45.371
347.983	113.254	6.635	2012.505	37.096
347.983	113.254	4.197	2012.505	25.778
347.983	113.254	1.750	2012.505	47.466
347.983	113.254	1.750	2012.505	47.779
347.983	113.254	-0.695	2012.505	45.910
347.983	113.254	-3.133	2012.505	25.178
347.983	113.254	-5.572	2012.505	1.849
347.983	113.254	-8.013	2012.505	1.359
347.983	113.254	-10.461	2012.505	4.879
347.983	113.254	-12.905	2012.505	5.189
347.983	113.254	-15.341	2012.505	5.714
347.983	113.254	-17.779	2012.505	6.177
347.983	113.254	-17.779	2012.505	6.137
347.983	113.254	-20.223	2012.505	5.647
478.484	99.743	13.155	2012.464	0.000
478.484	99.743	11.930	2012.464	0.000
478.484	99.743	10.711	2012.464	22.452
478.484	99.743	9.491	2012.464	41.403
478.484	99.743	8.272	2012.464	47.395
478.484	99.743	7.053	2012.464	42.607
478.484	99.743	7.053	2012.464	41.383
478.484	99.743	5.831	2012.464	41.380
478.484	99.743	4.612	2012.464	37.248
478.484	99.743	3.392	2012.464	33.070
478.484	99.743	2.161	2012.464	22.494
478.484	99.743	1.247	2012.464	35.223
478.484	99.743	0.332	2012.464	24.064
478.484	99.743	-1.503	2012.464	16.447
478.484	99.743	-2.417	2012.464	19.636
477.284	100.111	-3.292	2012.464	16.389
477.284	100.111	-4.206	2012.464	15.220
477.284	100.111	-5.121	2012.464	15.082
477.284	100.111	-6.352	2012.464	16.242
477.284	100.111	-7.571	2012.464	16.806
477.284	100.111	-8.790	2012.464	16.332
477.284	100.111	-10.022	2012.464	11.986
477.284	100.111	-11.241	2012.464	9.654
477.284	100.111	-12.460	2012.464	7.744
477.284	100.111	-12.460	2012.464	7.881
477.284	100.111	-13.689	2012.464	6.803
477.284	100.111	-14.908	2012.464	2.849
477.284	100.111	-16.139	2012.464	1.328
477.284	100.111	-17.358	2012.464	1.375
477.284	100.111	-18.581	2012.464	1.304
477.284	100.111	-19.800	2012.464	1.410
560.103	-174.553	8.848	2012.448	0.000
560.103	-174.553	2.835	2012.448	1.247
560.103	-174.553	2.835	2012.448	1.281
560.103	-174.553	-3.258	2012.448	15.326
560.103	-174.553	-9.431	2012.448	3.356
612.753	16.318	-26.030	2012.448	1.009
611.601	17.444	-37.832	2012.448	0.932
603.882	23.318	1.786	2012.410	19.800
603.882	23.318	0.265	2012.410	34.545
603.882	23.318	0.265	2012.410	33.774
603.882	23.318	-1.259	2012.410	39.608
603.882	23.318	-2.780	2012.410	35.007
603.882	23.318	-4.304	2012.410	19.705
603.882	23.318	-5.825	2012.410	15.027
603.882	23.318	-7.349	2012.410	14.264
603.882	23.318	-8.870	2012.410	10.371
603.882	23.318	-10.394	2012.410	8.513
603.882	23.318	-11.915	2012.410	7.870
603.882	23.318	-13.439	2012.410	6.620
603.882	23.318	-14.957	2012.410	5.917
603.882	23.318	-16.481	2012.410	4.053
603.882	23.318	-17.998	2012.410	2.534
603.882	23.318	-19.522	2012.410	1.490
601.511	27.435	13.439	2012.410	0.000
601.511	27.435	12.677	2012.410	0.000
601.511	27.435	11.915	2012.410	0.000
601.511	27.435	11.147	2012.410	0.000
601.511	27.435	10.385	2012.410	0.000
601.511	27.435	10.385	2012.410	0.000
601.511	27.435	9.623	2012.410	0.000
601.511	27.435	8.861	2012.410	4.820
601.511	27.435	8.092	2012.410	15.202
601.511	27.435	7.330	2012.410	27.746
601.511	27.435	6.568	2012.410	32.113
601.511	27.435	5.806	2012.410	24.927
601.511	27.435	5.806	2012.410	24.943
601.511	27.435	5.038	2012.410	21.034
601.511	27.435	3.514	2012.410	21.667
601.511	27.435	2.752	2012.410	21.587
386.538	218.738	12.607	2012.527	4.996
386.538	218.738	9.555	2012.527	45.335
386.538	218.738	9.555	2012.527	44.570
386.538	218.738	6.511	2012.527	63.166
