              x	              y	              z	           time	in	          Cl	
              0              0              0              4	 1	  8.0579e-02	
          2e-05	              0              0              4	 1	  7.8540e-02	
          4e-05	              0              0              4	 1	  7.2732e-02	
          6e-05	              0              0              4	 1	  6.4006e-02	
          8e-05	              0              0              4	 1	  5.3544e-02	
         0.0001	              0              0              4	 1	  4.2600e-02	
        0.00012	              0              0              4	 1	  3.2253e-02	
        0.00014	              0              0              4	 1	  2.3253e-02	
        0.00016	              0              0              4	 1	  1.5976e-02	
        0.00018	              0              0              4	 1	  1.0470e-02	
         0.0002	              0              0              4	 1	  6.5506e-03	
        0.00022	              0              0              4	 1	  3.9167e-03	
        0.00024	              0              0              4	 1	  2.2404e-03	
        0.00026	              0              0              4	 1	  1.2273e-03	
        0.00028	              0              0              4	 1	  6.4456e-04	
         0.0003	              0              0              4	 1	  3.2492e-04	
        0.00032	              0              0              4	 1	  1.5739e-04	
        0.00034	              0              0              4	 1	  7.3338e-05	
        0.00036	              0              0              4	 1	  3.2913e-05	
        0.00038	              0              0              4	 1	  1.4241e-05	
         0.0004	              0              0              4	 1	  5.9480e-06	
        0.00042	              0              0              4	 1	  2.4005e-06	
        0.00044	              0              0              4	 1	  9.3716e-07	
        0.00046	              0              0              4	 1	  3.5430e-07	
        0.00048	              0              0              4	 1	  1.2984e-07	
         0.0005	              0              0              4	 1	  4.6170e-08	
        0.00052	              0              0              4	 1	  1.5947e-08	
        0.00054	              0              0              4	 1	  5.3548e-09	
        0.00056	              0              0              4	 1	  1.7498e-09	
        0.00058	              0              0              4	 1	  5.5690e-10	
         0.0006	              0              0              4	 1	  1.7278e-10	
        0.00062	              0              0              4	 1	  5.2296e-11	
        0.00064	              0              0              4	 1	  1.5451e-11	
        0.00066	              0              0              4	 1	  4.4564e-12	
        0.00068	              0              0              4	 1	  1.2517e-12	
         0.0007	              0              0              4	 1	  3.3882e-13	
        0.00072	              0              0              4	 1	  8.4030e-14	
        0.00074	              0              0              4	 1	  1.3282e-14	
        0.00076	              0              0              4	 1	  0 
        0.00078	              0              0              4	 1	  0 
         0.0008	              0              0              4	 1	  0 
        0.00082	              0              0              4	 1	  0 
        0.00084	              0              0              4	 1	  0 
        0.00086	              0              0              4	 1	  0 
        0.00088	              0              0              4	 1	  0 
         0.0009	              0              0              4	 1	  0 
        0.00092	              0              0              4	 1	  0 
        0.00094	              0              0              4	 1	  0 
        0.00096	              0              0              4	 1	  0 
        0.00098	              0              0              4	 1	  0 
          0.001	              0              0              4	 1	  0 
              0          2e-05	              0              4	 1	  7.8540e-02	
          2e-05	          2e-05	              0              4	 1	  7.6552e-02	
          4e-05	          2e-05	              0              4	 1	  7.0891e-02	
          6e-05	          2e-05	              0              4	 1	  6.2386e-02	
          8e-05	          2e-05	              0              4	 1	  5.2189e-02	
         0.0001	          2e-05	              0              4	 1	  4.1522e-02	
        0.00012	          2e-05	              0              4	 1	  3.1436e-02	
        0.00014	          2e-05	              0              4	 1	  2.2664e-02	
        0.00016	          2e-05	              0              4	 1	  1.5572e-02	
        0.00018	          2e-05	              0              4	 1	  1.0205e-02	
         0.0002	          2e-05	              0              4	 1	  6.3846e-03	
        0.00022	          2e-05	              0              4	 1	  3.8175e-03	
        0.00024	          2e-05	              0              4	 1	  2.1836e-03	
        0.00026	          2e-05	              0              4	 1	  1.1962e-03	
        0.00028	          2e-05	              0              4	 1	  6.2823e-04	
         0.0003	          2e-05	              0              4	 1	  3.1669e-04	
        0.00032	          2e-05	              0              4	 1	  1.5340e-04	
        0.00034	          2e-05	              0              4	 1	  7.1484e-05	
        0.00036	          2e-05	              0              4	 1	  3.2081e-05	
        0.00038	          2e-05	              0              4	 1	  1.3882e-05	
         0.0004	          2e-05	              0              4	 1	  5.7980e-06	
        0.00042	          2e-05	              0              4	 1	  2.3401e-06	
        0.00044	          2e-05	              0              4	 1	  9.1361e-07	
        0.00046	          2e-05	              0              4	 1	  3.4541e-07	
        0.00048	          2e-05	              0              4	 1	  1.2659e-07	
         0.0005	          2e-05	              0              4	 1	  4.5017e-08	
        0.00052	          2e-05	              0              4	 1	  1.5549e-08	
