              x	              y	              z	           time	in	                  A	              SurfA	            SurfA/A	
              0	              0	              0	            120	 1	   6.7343236735e-10	   6.7343238419e-10	   1.0000000250e+00	
          0.002	              0	              0	            120	 1	   6.7757365402e-07	   6.7757367096e-07	   1.0000000250e+00	
          0.004	              0	              0	            120	 1	   9.0265542611e-06	   9.0265544868e-06	   1.0000000250e+00	
          0.006	              0	              0	            120	 1	   6.1857849370e-05	   6.1857850917e-05	   1.0000000250e+00	
          0.008	              0	              0	            120	 1	   2.8834076616e-04	   2.8834077337e-04	   1.0000000250e+00	
           0.01	              0	              0	            120	 1	   1.0259006197e-03	   1.0259006453e-03	   1.0000000250e+00	
          0.012	              0	              0	            120	 1	   2.9687821007e-03	   2.9687821749e-03	   1.0000000250e+00	
          0.014	              0	              0	            120	 1	   7.2759971580e-03	   7.2759973399e-03	   1.0000000250e+00	
          0.016	              0	              0	            120	 1	   1.5533962949e-02	   1.5533963337e-02	   1.0000000250e+00	
          0.018	              0	              0	            120	 1	   2.9499618001e-02	   2.9499618739e-02	   1.0000000250e+00	
           0.02	              0	              0	            120	 1	   5.0645596036e-02	   5.0645597302e-02	   1.0000000250e+00	
          0.022	              0	              0	            120	 1	   7.9642380072e-02	   7.9642382065e-02	   1.0000000250e+00	
          0.024	              0	              0	            120	 1	   1.1597338700e-01	   1.1597338991e-01	   1.0000000251e+00	
          0.026	              0	              0	            120	 1	   1.5784530243e-01	   1.5784530641e-01	   1.0000000252e+00	
          0.028	              0	              0	            120	 1	   2.0244252945e-01	   2.0244253463e-01	   1.0000000256e+00	
           0.03	              0	              0	            120	 1	   2.4644154565e-01	   2.4644155212e-01	   1.0000000263e+00	
          0.032	              0	              0	            120	 1	   2.8661359369e-01	   2.8661360160e-01	   1.0000000276e+00	
          0.034	              0	              0	            120	 1	   3.2033586207e-01	   3.2033587171e-01	   1.0000000301e+00	
          0.036	              0	              0	            120	 1	   3.4589135497e-01	   3.4589136687e-01	   1.0000000344e+00	
          0.038	              0	              0	            120	 1	   3.6252761667e-01	   3.6252763168e-01	   1.0000000414e+00	
           0.04	              0	              0	            120	 1	   3.7032240094e-01	   3.7032242029e-01	   1.0000000523e+00	
          0.042	              0	              0	            120	 1	   3.6994492962e-01	   3.6994495487e-01	   1.0000000682e+00	
          0.044	              0	              0	            120	 1	   3.6240203130e-01	   3.6240206414e-01	   1.0000000906e+00	
          0.046	              0	              0	            120	 1	   3.4883188342e-01	   3.4883192549e-01	   1.0000001206e+00	
          0.048	              0	              0	            120	 1	   3.3037212480e-01	   3.3037217733e-01	   1.0000001590e+00	
           0.05	              0	              0	            120	 1	   3.0809869448e-01	   3.0809875802e-01	   1.0000002063e+00	
          0.052	              0	              0	            120	 1	   2.8301372358e-01	   2.8301379780e-01	   1.0000002623e+00	
          0.054	              0	              0	            120	 1	   2.5605607839e-01	   2.5605616198e-01	   1.0000003265e+00	
          0.056	              0	              0	            120	 1	   2.2811285745e-01	   2.2811294829e-01	   1.0000003982e+00	
          0.058	              0	              0	            120	 1	   2.0001939932e-01	   2.0001949478e-01	   1.0000004772e+00	
           0.06	              0	              0	            120	 1	   1.7254484853e-01	   1.7254494598e-01	   1.0000005648e+00	
          0.062	              0	              0	            120	 1	   1.4636735384e-01	   1.4636745120e-01	   1.0000006652e+00	
          0.064	              0	              0	            120	 1	   1.2204645586e-01	   1.2204655204e-01	   1.0000007881e+00	
          0.066	              0	              0	            120	 1	   1.0000042844e-01	   1.0000052367e-01	   1.0000009523e+00	
          0.068	              0	              0	            120	 1	   8.0494407172e-02	   8.0494503012e-02	   1.0000011906e+00	
