         x	         y	         z	         A	         B	         C	         D	
   0.00000	  -5.00000	  -5.00000	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	
   4.00000	  -5.00000	  -5.00000	    0.4340048936E-16	    0.4865724523E-13	    0.8486760696E-12	    0.2611977377E-11	
   8.00000	  -5.00000	  -5.00000	    0.2666896010E-15	    0.3116655784E-12	    0.5528745424E-11	    0.1719691003E-10	
  12.00000	  -5.00000	  -5.00000	    0.1071162586E-14	    0.1340601322E-11	    0.2445021974E-10	    0.7737557763E-10	
  16.00000	  -5.00000	  -5.00000	    0.3347592636E-14	    0.4605242959E-11	    0.8723714037E-10	    0.2826085886E-09	
  20.00000	  -5.00000	  -5.00000	    0.8634996045E-14	    0.1338488278E-10	    0.2658097555E-09	    0.8862811788E-09	
  24.00000	  -5.00000	  -5.00000	    0.1895413545E-13	    0.3388198854E-10	    0.7112327353E-09	    0.2451947475E-08	
  28.00000	  -5.00000	  -5.00000	    0.3612657315E-13	    0.7608641773E-10	    0.1700132771E-08	    0.6082046077E-08	
  32.00000	  -5.00000	  -5.00000	    0.6072393422E-13	    0.1536370964E-09	    0.3675048815E-08	    0.1367824807E-07	
  36.00000	  -5.00000	  -5.00000	    0.9118452317E-13	    0.2819769343E-09	    0.7251089958E-08	    0.2812332870E-07	
  40.00000	  -5.00000	  -5.00000	    0.1237109802E-12	    0.4746155266E-09	    0.1315641521E-07	    0.5320749788E-07	
  44.00000	  -5.00000	  -5.00000	    0.1531712145E-12	    0.7381471087E-09	    0.2208409849E-07	    0.9310613045E-07	
  48.00000	  -5.00000	  -5.00000	    0.1746339219E-12	    0.1067431060E-08	    0.3446108832E-07	    0.1513033171E-06	
  52.00000	  -5.00000	  -5.00000	    0.1848220900E-12	    0.1442652820E-08	    0.5018111009E-07	    0.2290682078E-06	
  56.00000	  -5.00000	  -5.00000	    0.1828775657E-12	    0.1829686438E-08	    0.6838809154E-07	    0.3238821266E-06	
  60.00000	  -5.00000	  -5.00000	    0.1702495390E-12	    0.2184363529E-08	    0.8741428760E-07	    0.4284558808E-06	
  64.00000	  -5.00000	  -5.00000	    0.1499352143E-12	    0.2460147411E-08	    0.1049536554E-06	    0.5309981516E-06	
  68.00000	  -5.00000	  -5.00000	    0.1254932775E-12	    0.2617598549E-08	    0.1184807515E-06	    0.6170800261E-06	
  72.00000	  -5.00000	  -5.00000	    0.1002005327E-12	    0.2633216766E-08	    0.1258270348E-06	    0.6728320046E-06	
  76.00000	  -5.00000	  -5.00000	    0.7654281340E-13	    0.2505089435E-08	    0.1257417613E-06	    0.6885535736E-06	
  80.00000	  -5.00000	  -5.00000	    0.5605189532E-13	    0.2253486546E-08	    0.1182410096E-06	    0.6614630656E-06	
  84.00000	  -5.00000	  -5.00000	    0.3939271814E-13	    0.1916039049E-08	    0.1046102484E-06	    0.5965195926E-06	
  88.00000	  -5.00000	  -5.00000	    0.2657750664E-13	    0.1538921966E-08	    0.8705375881E-07	    0.5049757923E-06	
  92.00000	  -5.00000	  -5.00000	    0.1720693249E-13	    0.1166791378E-08	    0.6811946901E-07	    0.4012295039E-06	
  96.00000	  -5.00000	  -5.00000	    0.1067931792E-13	    0.8344827176E-09	    0.5010437243E-07	    0.2991750854E-06	
 100.00000	  -5.00000	  -5.00000	    0.6344559037E-14	    0.5625637752E-09	    0.3462957985E-07	    0.2093115897E-06	
 104.00000	  -5.00000	  -5.00000	    0.3601790125E-14	    0.3572323164E-09	    0.2248201611E-07	    0.1373781626E-06	
 108.00000	  -5.00000	  -5.00000	    0.1950163711E-14	    0.2135341334E-09	    0.1370552055E-07	    0.8457065447E-07	
 112.00000	  -5.00000	  -5.00000	    0.1005130350E-14	    0.1200762334E-09	    0.7843190479E-08	    0.4882274543E-07	
 116.00000	  -5.00000	  -5.00000	    0.4922203157E-15	    0.6348623426E-10	    0.4212128813E-08	    0.2642722523E-07	
 120.00000	  -5.00000	  -5.00000	    0.2286227101E-15	    0.3154410902E-10	    0.2122302271E-08	    0.1341029549E-07	
 124.00000	  -5.00000	  -5.00000	    0.1005548584E-15	    0.1472242395E-10	    0.1003008906E-08	    0.6378487254E-08	
 128.00000	  -5.00000	  -5.00000	    0.4181984374E-16	    0.6451935367E-11	    0.4445281289E-09	    0.2843344395E-08	
 132.00000	  -5.00000	  -5.00000	    0.1642480739E-16	    0.2653975007E-11	    0.1847160486E-09	    0.1187731243E-08	
 136.00000	  -5.00000	  -5.00000	    0.6085094683E-17	    0.1024385817E-11	    0.7195206922E-10	    0.4648713771E-09	
 140.00000	  -5.00000	  -5.00000	    0.2124499114E-17	    0.3709106958E-12	    0.2626909825E-10	    0.1704615839E-09	
 144.00000	  -5.00000	  -5.00000	    0.6983881584E-18	    0.1259525640E-12	    0.8987668825E-11	    0.5855397875E-10	
 148.00000	  -5.00000	  -5.00000	    0.2160063842E-18	    0.4010341085E-13	    0.2881323007E-11	    0.1884009935E-10	
 150.00000	  -5.00000	  -5.00000	    0.1173914264E-18	    0.2208794792E-13	    0.1592031721E-11	    0.1042759239E-10	
   0.00000	  -4.50000	  -5.00000	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	
   4.00000	  -4.50000	  -5.00000	    0.5938305287E-16	    0.6281564382E-13	    0.1069729965E-11	    0.3243010224E-11	
   8.00000	  -4.50000	  -5.00000	    0.3641858217E-15	    0.4017337261E-12	    0.6960005810E-11	    0.2132966849E-10	
  12.00000	  -4.50000	  -5.00000	    0.1458112289E-14	    0.1723699692E-11	    0.3071691062E-10	    0.9581175799E-10	
