              x	              y	              z	           time	in	                  A	                  B	                  C	                  D	
              0	             -5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              4	             -5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              8	             -5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   4.8983740222e-14	
             12	             -5	             -5	            400	 1	   0.0000000000e+00	   8.9193508224e-14	   1.8257846433e-15	   0.0000000000e+00	
             16	             -5	             -5	            400	 1	   0.0000000000e+00	   6.6402700683e-12	   2.8076475764e-11	   5.2085835488e-13	
             20	             -5	             -5	            400	 1	   6.3157891240e-14	   4.0644996541e-11	   3.4150949887e-10	   4.4801071839e-10	
             24	             -5	             -5	            400	 1	   1.6316276830e-13	   1.4549714258e-10	   1.7037491774e-09	   3.3301040082e-09	
             28	             -5	             -5	            400	 1	   2.9974471529e-13	   3.8834083093e-10	   5.7719303972e-09	   1.4211959434e-08	
             32	             -5	             -5	            400	 1	   4.5998560485e-13	   8.5062867936e-10	   1.5383003892e-08	   4.4757817126e-08	
             36	             -5	             -5	            400	 1	   6.1983147669e-13	   1.6080710958e-09	   3.4473322221e-08	   1.1426504034e-07	
             40	             -5	             -5	            400	 1	   7.5293125050e-13	   2.7044753440e-09	   6.7380075935e-08	   2.4807047007e-07	
             44	             -5	             -5	            400	 1	   8.3906601314e-13	   4.1270308220e-09	   1.1748037576e-07	   4.7131570508e-07	
             48	             -5	             -5	            400	 1	   8.6893832694e-13	   5.7916204408e-09	   1.8548782510e-07	   7.9877375978e-07	
             52	             -5	             -5	            400	 1	   8.4458923010e-13	   7.5452126354e-09	   2.6806558910e-07	   1.2242591131e-06	
             56	             -5	             -5	            400	 1	   7.7656592557e-13	   9.1880145783e-09	   3.5748575020e-07	   1.7147034099e-06	
             60	             -5	             -5	            400	 1	   6.7971603610e-13	   1.0511611679e-08	   4.4274156058e-07	   2.2128677223e-06	
             64	             -5	             -5	            400	 1	   5.6925456485e-13	   1.1343096830e-08	   5.1191893390e-07	   2.6491070946e-06	
             68	             -5	             -5	            400	 1	   4.5803729306e-13	   1.1582169323e-08	   5.5506547053e-07	   2.9584710634e-06	
             72	             -5	             -5	            400	 1	   3.5525457455e-13	   1.1220143968e-08	   5.6656486917e-07	   3.0969932607e-06	
             76	             -5	             -5	            400	 1	   2.6628832420e-13	   1.0336083841e-08	   5.4624139998e-07	   3.0515107951e-06	
             80	             -5	             -5	            400	 1	   1.9329290235e-13	   9.0730341345e-09	   4.9894669009e-07	   2.8402777367e-06	
             84	             -5	             -5	            400	 1	   1.3608114296e-13	   7.6032451031e-09	   4.3294319815e-07	   2.5053221455e-06	
             88	             -5	             -5	            400	 1	   9.2939388529e-14	   6.0932197149e-09	   3.5774827164e-07	   2.1001864803e-06	
             92	             -5	             -5	            400	 1	   6.3864966470e-14	   4.6773564720e-09	   2.8213923886e-07	   1.6774620687e-06	
             96	             -5	             -5	            400	 1	   0.0000000000e+00	   3.4444533414e-09	   2.1280315094e-07	   1.2795322129e-06	
            100	             -5	             -5	            400	 1	   0.0000000000e+00	   2.4369077881e-09	   1.5379435658e-07	   9.3404069082e-07	
