 x	y	z_datum	Time	Well_no	H2O                           	H                             	O                             	Charge                        	As                            	C                             	Ca                            	Cl                            	Mg                            	Na                            	S                             	pH	pe	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+04	  1	  4.9742573E+01	  3.8005174E-03	  2.6438940E-02	  7.2815511E-14	  7.5811446E-09	  4.0177312E-03	  3.5236585E-01	  5.0350530E+00	  1.2300132E-01	  4.0953512E+00	  3.6145416E-03	  5.8344343E+00	  1.4858584E+01	  4.6616817E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.0000000E+04	  1	  5.1207976E+01	  5.3115931E-03	  2.9185350E-02	  2.0749661E-03	  1.0656344E-08	  6.3154936E-03	  2.4861941E-01	  3.7482058E+00	  1.0131304E-01	  3.0612339E+00	  2.7507668E-03	  5.7499952E+00	  1.4938988E+01	  6.7921292E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.0000000E+04	  1	  5.2624467E+01	  7.8064478E-03	  3.8187178E-02	  8.3535499E-03	  1.0935839E-08	  1.1190789E-02	  1.5458656E-01	  2.5055567E+00	  7.2914844E-02	  2.0705563E+00	  1.9166592E-03	  5.7274729E+00	  1.4943786E+01	  1.0174345E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.0000000E+04	  1	  5.3708073E+01	  1.0763566E-02	  5.1626803E-02	  1.7605884E-02	  8.3246794E-09	  1.7670100E-02	  8.8048311E-02	  1.5564068E+00	  4.6897647E-02	  1.3174586E+00	  1.2795582E-03	  5.8127516E+00	  1.4841323E+01	  1.3366517E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+05	  1	  5.4433646E+01	  1.3374949E-02	  6.3457634E-02	  2.5364241E-02	  5.0678763E-09	  2.3107201E-02	  4.7208924E-02	  9.2147186E-01	  2.7546089E-02	  8.1243024E-01	  8.5336866E-04	  5.9554404E+00	  1.4686253E+01	  1.6066082E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2000000E+05	  1	  5.4880606E+01	  1.5346962E-02	  6.9723789E-02	  2.8390235E-02	  3.2815558E-09	  2.5763848E-02	  2.4226548E-02	  5.2965382E-01	  1.5097984E-02	  4.9595368E-01	  5.9036731E-04	  6.1260322E+00	  1.4507802E+01	  1.8338749E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4000000E+05	  1	  5.5141552E+01	  1.6574012E-02	  7.0467779E-02	  2.7084369E-02	  3.4617035E-09	  2.5819963E-02	  1.2123297E-02	  2.9964463E-01	  7.9201505E-03	  3.0413001E-01	  4.3597747E-04	  6.3178710E+00	  1.4311277E+01	  2.0063181E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.6000000E+05	  1	  5.5288846E+01	  1.7028976E-02	  6.7306106E-02	  2.3228726E-02	  8.1853638E-09	  2.4178827E-02	  6.0601764E-03	  1.6860060E-01	  4.0957017E-03	  1.8930032E-01	  3.4801634E-04	  6.5309289E+00	  1.4095495E+01	  2.0989012E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.8000000E+05	  1	  5.5370437E+01	  1.6763942E-02	  6.1936521E-02	  1.8489526E-02	  2.5261203E-08	  2.1716825E-02	  3.1105488E-03	  9.5116295E-02	  2.1546344E-03	  1.2051722E-01	  2.9869122E-04	  6.7661091E+00	  1.3858724E+01	  2.0887171E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+05	  1	  5.5415356E+01	  1.5909535E-02	  5.5667877E-02	  1.3959652E-02	  6.3338859E-08	  1.9055693E-02	  1.6865957E-03	  5.4137470E-02	  1.1896362E-03	  7.8906930E-02	  2.7118487E-04	  7.0230702E+00	  1.3600810E+01	  1.9745906E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+05	  1	  5.5440214E+01	  1.4673983E-02	  4.9415148E-02	  1.0164837E-02	  1.2475255E-07	  1.6567785E-02	  9.9322876E-04	  3.1234045E-02	  7.0999821E-04	  5.3325019E-02	  2.5581133E-04	  7.2974145E+00	  1.3325872E+01	  1.7873594E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.4000000E+05	  1	  5.5454164E+01	  1.3303106E-02	  4.3783704E-02	  7.2343525E-03	  2.0899581E-07	  1.4443552E-02	  6.5015721E-04	  1.8328300E-02	  4.6919822E-04	  3.7311121E-02	  2.4714856E-04	  7.5775456E+00	  1.3045359E+01	  1.5779449E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.6000000E+05	  1	  5.5462142E+01	  1.2012206E-02	  3.9113401E-02	  5.0865591E-03	  3.1765530E-07	  1.2751250E-02	  4.7765509E-04	  1.0964641E-02	  3.4683797E-04	  2.7136933E-02	  2.4220583E-04	  7.8454439E+00	  1.2777213E+01	  1.3906049E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.8000000E+05	  1	  5.5466792E+01	  1.0930196E-02	  3.5497305E-02	  3.5630149E-03	  4.5450679E-07	  1.1476454E-02	  3.8960353E-04	  6.6976399E-03	  2.8389152E-04	  2.0613266E-02	  2.3934167E-04	  8.0834515E+00	  1.2539046E+01	  1.2455475E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.0000000E+05	  1	  5.5469553E+01	  1.0090833E-02	  3.2834249E-02	  2.5007088E-03	  6.2359808E-07	  1.0553989E-02	  3.4383785E-04	  4.1820955E-03	  2.5098108E-04	  1.6404797E-02	  2.3765316E-04	  8.2813969E+00	  1.2340999E+01	  1.1421248E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.2000000E+05	  1	  5.5471221E+01	  9.4667854E-03	  3.0926569E-02	  1.7624566E-03	  8.2622827E-07	  9.9004043E-03	  3.1947232E-04	  2.6722719E-03	  2.3338050E-04	  1.3668527E-02	  2.3663971E-04	  8.4380266E+00	  1.2184304E+01	  1.0708703E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.4000000E+05	  1	  5.5472244E+01	  9.0103621E-03	  2.9570608E-02	  1.2455134E-03	  1.0571441E-06	  9.4390616E-03	  3.0613515E-04	  1.7498333E-03	  2.2371307E-04	  1.1867452E-02	  2.3602054E-04	  8.5578852E+00	  1.2064402E+01	  1.0218601E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.6000000E+05	  1	  5.5472882E+01	  8.6769058E-03	  2.8601529E-02	  8.7863581E-04	  1.3030350E-06	  9.1108341E-03	  2.9864381E-04	  1.1766184E-03	  2.1826904E-04	  1.0662434E-02	  2.3563578E-04	  8.6476664E+00	  1.1974592E+01	  9.8758076E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.8000000E+05	  1	  5.5473286E+01	  8.4318789E-03	  2.7900420E-02	  6.1440097E-04	  1.5457568E-06	  8.8740896E-03	  2.9436518E-04	  8.1476819E-04	  2.1515425E-04	  9.8411129E-03	  2.3539289E-04	  8.7139570E+00	  1.1908282E+01	  9.6300852E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.0000000E+05	  1	  5.5473546E+01	  8.2504191E-03	  2.7385673E-02	  4.2156199E-04	  1.7679760E-06	  8.7006575E-03	  2.9192660E-04	  5.8306814E-04	  2.1337738E-04	  9.2704871E-03	  2.3523737E-04	  8.7623243E+00	  1.1859901E+01	  9.4493468E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.2000000E+05	  1	  5.5473714E+01	  8.1149960E-03	  2.7002067E-02	  2.7931982E-04	  1.9573198E-06	  8.5716449E-03	  2.9059016E-04	  4.3281589E-04	  2.1240381E-04	  8.8665103E-03	  2.3513651E-04	  8.7971564E+00	  1.1825059E+01	  9.3132048E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.4000000E+05	  1	  5.5473825E+01	  8.0132279E-03	  2.6712058E-02	  1.7354844E-04	  2.1076076E-06	  8.4742817E-03	  2.8994587E-04	  3.3429478E-04	  2.1193572E-04	  8.5752782E-03	  2.3507038E-04	  8.8218031E+00	  1.1800405E+01	  9.2084827E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.6000000E+05	  1	  5.5473899E+01	  7.9362786E-03	  2.6489782E-02	  9.4434793E-05	  2.2179772E-06	  8.3998023E-03	  2.8975837E-04	  2.6907153E-04	  2.1180179E-04	  8.3616004E-03	  2.3502660E-04	  8.8387877E+00	  1.1783415E+01	  9.1264246E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.8000000E+05	  1	  5.5473948E+01	  7.8777630E-03	  2.6317123E-02	  3.5017729E-05	  2.2911899E-06	  8.3420815E-03	  2.8988834E-04	  2.2553582E-04	  2.1190040E-04	  8.2020733E-03	  2.3499738E-04	  8.8500028E+00	  1.1772196E+01	  9.0610302E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.0000000E+05	  1	  5.5473982E+01	  7.8330118E-03	  2.6181182E-02	 -9.7285060E-06	  2.3319776E-06	  8.2967641E-03	  2.9025115E-04	  1.9627235E-04	  2.1216977E-04	  8.0808484E-03	  2.3497774E-04	  8.8568674E+00	  1.1765328E+01	  9.0080677E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.2000000E+05	  1	  5.5474005E+01	  7.7985760E-03	  2.6072638E-02	 -4.3483202E-05	  2.3457915E-06	  8.2607045E-03	  2.9079449E-04	  1.7648561E-04	  2.1257168E-04	  7.9870101E-03	  2.3496446E-04	  8.8604466E+00	  1.1761747E+01	  8.9644784E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.4000000E+05	  1	  5.5474021E+01	  7.7718863E-03	  2.5984665E-02	 -6.8968515E-05	  2.3379985E-06	  8.2316009E-03	  2.9148589E-04	  1.6303992E-04	  2.1308238E-04	  7.9129243E-03	  2.3495543E-04	  8.8615407E+00	  1.1760651E+01	  8.9280094E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.6000000E+05	  1	  5.5474032E+01	  7.7510163E-03	  2.5912210E-02	 -8.8214297E-05	  2.3134426E-06	  8.2077496E-03	  2.9230557E-04	  1.5386497E-04	  2.1368741E-04	  7.8531779E-03	  2.3494927E-04	  8.8607517E+00	  1.1761438E+01	  8.8969775E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.8000000E+05	  1	  5.5474040E+01	  7.7345138E-03	  2.5851499E-02	 -1.0274290E-04	  2.2762598E-06	  8.1878788E-03	  2.9324224E-04	  1.4758241E-04	  2.1437851E-04	  7.8038848E-03	  2.3494506E-04	  8.8585323E+00	  1.1763656E+01	  8.8701130E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.0000000E+05	  1	  5.5474046E+01	  7.7212791E-03	  2.5799690E-02	 -1.1370091E-04	  2.2298483E-06	  8.1710317E-03	  2.9429050E-04	  1.4326791E-04	  2.1515179E-04	  7.7622237E-03	  2.3494216E-04	  8.8552235E+00	  1.1766964E+01	  8.8464511E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.2000000E+05	  1	  5.5474051E+01	  7.7104759E-03	  2.5754631E-02	 -1.2195470E-04	  2.1769229E-06	  8.1564839E-03	  2.9544934E-04	  1.4029781E-04	  2.1600650E-04	  7.7261247E-03	  2.3494017E-04	  8.8510816E+00	  1.1771105E+01	  8.8252556E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.4000000E+05	  1	  5.5474054E+01	  7.7014655E-03	  2.5714680E-02	 -1.2816055E-04	  2.1196051E-06	  8.1436842E-03	  2.9672109E-04	  1.3824909E-04	  2.1694442E-04	  7.6940529E-03	  2.3493879E-04	  8.8462994E+00	  1.1775886E+01	  8.8059623E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.6000000E+05	  1	  5.5474058E+01	  7.6937580E-03	  2.5678579E-02	 -1.3281667E-04	  2.0595249E-06	  8.1322105E-03	  2.9811084E-04	  1.3683358E-04	  2.1796930E-04	  7.6648577E-03	  2.3493784E-04	  8.8410215E+00	  1.1781163E+01	  8.7881382E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.8000000E+05	  1	  5.5474060E+01	  7.6869751E-03	  2.5645355E-02	 -1.3630195E-04	  1.9979150E-06	  8.1217379E-03	  2.9962606E-04	  1.3585422E-04	  2.1908667E-04	  7.6376658E-03	  2.3493718E-04	  8.8353566E+00	  1.1786827E+01	  8.7714496E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  7.0000000E+05	  1	  5.5474063E+01	  7.6808233E-03	  2.5614254E-02	 -1.3890502E-04	  1.9356948E-06	  8.1120146E-03	  3.0127633E-04	  1.3517585E-04	  2.2030361E-04	  7.6118051E-03	  2.3493673E-04	  8.8293858E+00	  1.1792798E+01	  8.7556387E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  7.2000000E+05	  1	  5.5474065E+01	  7.6750728E-03	  2.5584682E-02	 -1.4084608E-04	  1.8735400E-06	  8.1028445E-03	  3.0307322E-04	  1.3470553E-04	  2.2162865E-04	  7.5867497E-03	  2.3493641E-04	  8.8231696E+00	  1.1799013E+01	  8.7405059E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  7.4000000E+05	  1	  5.5474067E+01	  7.6695423E-03	  2.5556172E-02	 -1.4229326E-04	  1.8119386E-06	  8.0940734E-03	  3.0503018E-04	  1.3437919E-04	  2.2307172E-04	  7.5620804E-03	  2.3493619E-04	  8.8167528E+00	  1.1805429E+01	  8.7258955E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  7.6000000E+05	  1	  5.5474070E+01	  7.6640873E-03	  2.5528350E-02	 -1.4337500E-04	  1.7512362E-06	  8.0855793E-03	  3.0716249E-04	  1.3415262E-04	  2.2464410E-04	  7.5374557E-03	  2.3493604E-04	  8.8101681E+00	  1.1812013E+01	  8.7116861E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  7.8000000E+05	  1	  5.5474072E+01	  7.6585915E-03	  2.5500917E-02	 -1.4418933E-04	  1.6916697E-06	  8.0772647E-03	  3.0948716E-04	  1.3399523E-04	  2.2635835E-04	  7.5125910E-03	  2.3493594E-04	  8.8034391E+00	  1.1818742E+01	  8.6977817E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.0000000E+05	  1	  5.5474075E+01	  7.6529606E-03	  2.5473626E-02	 -1.4481082E-04	  1.6333952E-06	  8.0690515E-03	  3.1202287E-04	  1.3388585E-04	  2.2822823E-04	  7.4872438E-03	  2.3493586E-04	  8.7965820E+00	  1.1825599E+01	  8.6841067E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.2000000E+05	  1	  5.5474077E+01	  7.6471180E-03	  2.5446280E-02	 -1.4529587E-04	  1.5765074E-06	  8.0608766E-03	  3.1478977E-04	  1.3380980E-04	  2.3026860E-04	  7.4612033E-03	  2.3493581E-04	  8.7896077E+00	  1.1832572E+01	  8.6706004E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.4000000E+05	  1	  5.5474080E+01	  7.6410011E-03	  2.5418717E-02	 -1.4568661E-04	  1.5210560E-06	  8.0526893E-03	  3.1780926E-04	  1.3375692E-04	  2.3249527E-04	  7.4342833E-03	  2.3493578E-04	  8.7825225E+00	  1.1839657E+01	  8.6572143E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.6000000E+05	  1	  5.5474083E+01	  7.6345595E-03	  2.5390802E-02	 -1.4601396E-04	  1.4670571E-06	  8.0444487E-03	  3.2110371E-04	  1.3372013E-04	  2.3492472E-04	  7.4063174E-03	  2.3493575E-04	  8.7753290E+00	  1.1846850E+01	  8.6439092E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.8000000E+05	  1	  5.5474086E+01	  7.6277534E-03	  2.5362433E-02	 -1.4629979E-04	  1.4145024E-06	  8.0361227E-03	  3.2469600E-04	  1.3369454E-04	  2.3757382E-04	  7.3771571E-03	  2.3493573E-04	  8.7680271E+00	  1.1854151E+01	  8.6306534E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.0000000E+05	  1	  5.5474090E+01	  7.6205529E-03	  2.5333527E-02	 -1.4655872E-04	  1.3633662E-06	  8.0276869E-03	  3.2860899E-04	  1.3367673E-04	  2.4045944E-04	  7.3466704E-03	  2.3493572E-04	  8.7606138E+00	  1.1861564E+01	  8.6174211E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.2000000E+05	  1	  5.5474094E+01	  7.6129370E-03	  2.5304025E-02	 -1.4679942E-04	  1.3136105E-06	  8.0191237E-03	  3.3286492E-04	  1.3366433E-04	  2.4359796E-04	  7.3147427E-03	  2.3493571E-04	  8.7530845E+00	  1.1869093E+01	  8.6041914E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.4000000E+05	  1	  5.5474097E+01	  7.6048938E-03	  2.5273890E-02	 -1.4702572E-04	  1.2651893E-06	  8.0104218E-03	  3.3748465E-04	  1.3365570E-04	  2.4700476E-04	  7.2812772E-03	  2.3493571E-04	  8.7454322E+00	  1.1876745E+01	  8.5909480E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.6000000E+05	  1	  5.5474101E+01	  7.5964194E-03	  2.5243103E-02	 -1.4723746E-04	  1.2180521E-06	  8.0015759E-03	  3.4248692E-04	  1.3364970E-04	  2.5069364E-04	  7.2461971E-03	  2.3493570E-04	  8.7376489E+00	  1.1884527E+01	  8.5776778E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.8000000E+05	  1	  5.5474106E+01	  7.5875182E-03	  2.5211665E-02	 -1.4743131E-04	  1.1721463E-06	  7.9925861E-03	  3.4788758E-04	  1.3364552E-04	  2.5467628E-04	  7.2094465E-03	  2.3493570E-04	  8.7297249E+00	  1.1892451E+01	  8.5643712E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+06	  1	  5.5474110E+01	  7.5782014E-03	  2.5179593E-02	 -1.4760143E-04	  1.1274194E-06	  7.9834571E-03	  3.5369886E-04	  1.3364260E-04	  2.5896166E-04	  7.1709924E-03	  2.3493570E-04	  8.7216497E+00	  1.1900526E+01	  8.5510212E-03	
