              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
              0	              0	            100	          10000	 1	   5.8780984103e+00	   1.8237785090e+04	   3.8987110059e+03	   1.2222286357e+05	   2.3154288479e+05	   2.5001648977e+02	   4.4629992153e+02	   7.6711929601e-01	
           6000	              0	            100	          10000	 1	   5.8485665450e+00	   1.6838002566e+04	   3.7432691068e+03	   1.1457961933e+05	   2.1683993081e+05	   2.7646489385e+02	   4.1881541338e+02	   8.6612341073e-01	
          12000	              0	            100	          10000	 1	   5.7681145768e+00	   1.3298329425e+04	   3.2803304327e+03	   9.4465237527e+04	   1.7823104435e+05	   3.8416738611e+02	   3.4670050834e+02	   1.1434777206e+00	
          18000	              0	            100	          10000	 1	   5.7158246216e+00	   8.5538506222e+03	   2.4581562087e+03	   6.5374081764e+04	   1.2258815522e+05	   6.7496144154e+02	   2.4309721520e+02	   1.2643630369e+00	
          24000	              0	            100	          10000	 1	   5.8489048949e+00	   4.1774442840e+03	   1.4105014156e+03	   3.5784001858e+04	   6.6182976407e+04	   1.0731862257e+03	   1.3973646619e+02	   7.0896259835e-01	
          30000	              0	            100	          10000	 1	   6.2138486506e+00	   1.0553580303e+03	   4.1422142796e+02	   1.2214783254e+04	   2.1408544556e+04	   1.2679871989e+03	   6.0451578006e+01	   2.5595940553e-01	
          36000	              0	            100	          10000	 1	   6.2710823325e+00	   7.8990427524e+02	   3.1535175442e+02	   1.0135426910e+04	   1.7413363973e+04	   1.3474323716e+03	   5.3415894548e+01	   2.2839987158e-01	
          42000	              0	            100	          10000	 1	   6.2411784680e+00	   8.5566245540e+02	   3.3983530687e+02	   1.0825298481e+04	   1.8655641700e+04	   1.3914735347e+03	   5.5420946217e+01	   2.3515580937e-01	
          48000	              0	            100	          10000	 1	   6.5042304408e+00	   3.2642833872e+02	   1.3561630404e+02	   5.6284450005e+03	   9.0843057226e+03	   1.3147448117e+03	   3.9688711042e+01	   1.9764727187e-01	
          54000	              0	            100	          10000	 1	   6.6799557504e+00	   1.7414591386e+02	   7.3718745908e+01	   3.8068875344e+03	   5.8002317448e+03	   1.2758358057e+03	   3.4582631097e+01	   2.1743751383e-01	
          60000	              0	            100	          10000	 1	   6.7237417392e+00	   1.4932905471e+02	   6.3445973632e+01	   3.4731911033e+03	   5.2045547016e+03	   1.2695539673e+03	   3.3692191443e+01	   2.2794816060e-01	
          66000	              0	            100	          10000	 1	   6.7432761797e+00	   1.3980895792e+02	   5.9490393721e+01	   3.3381842595e+03	   4.9658589149e+03	   1.2644927174e+03	   3.3340003095e+01	   2.3354565908e-01	
          72000	              0	            100	          10000	 1	   6.7613655739e+00	   1.3156809282e+02	   5.6058486799e+01	   3.2193707074e+03	   4.7560352712e+03	   1.2600677481e+03	   3.3035080654e+01	   2.3921604320e-01	
          78000	              0	            100	          10000	 1	   6.7798460667e+00	   1.2364124529e+02	   5.2750118537e+01	   3.1035279683e+03	   4.5514492337e+03	   1.2561835322e+03	   3.2742117353e+01	   2.4550065806e-01	
          84000	              0	            100	          10000	 1	   6.7986698774e+00	   1.1614383241e+02	   4.9614815699e+01	   2.9912310367e+03	   4.3537909706e+03	   1.2518799786e+03	   3.2460078712e+01	   2.5245767671e-01	
          90000	              0	            100	          10000	 1	   6.8183275371e+00	   1.0883434534e+02	   4.6552092736e+01	   2.8790273962e+03	   4.1567659824e+03	   1.2475112445e+03	   3.2178830611e+01	   2.6031581434e-01	
              0	           6000	            100	          10000	 1	   5.8766835708e+00	   1.8169729703e+04	   3.8914898190e+03	   1.2185426247e+05	   2.3083369925e+05	   2.5117613824e+02	   4.4497464397e+02	   7.7175669125e-01	
           6000	           6000	            100	          10000	 1	   5.8420623648e+00	   1.6566727837e+04	   3.7116273517e+03	   1.1306917848e+05	   2.1394063356e+05	   2.8277719520e+02	   4.1340817341e+02	   8.8741741319e-01	
          12000	           6000	            100	          10000	 1	   5.7551933731e+00	   1.2706142550e+04	   3.1921798716e+03	   9.0940032350e+04	   1.7149176550e+05	   4.1061254747e+02	   3.3417403235e+02	   1.1874804702e+00	
          18000	           6000	            100	          10000	 1	   5.7273420343e+00	   7.7306801655e+03	   2.2863925853e+03	   5.9916183929e+04	   1.1221972141e+05	   7.3719994636e+02	   2.2411017390e+02	   1.1971889510e+00	
          24000	           6000	            100	          10000	 1	   5.9239455840e+00	   3.3051976621e+03	   1.1584009809e+03	   2.9281443777e+04	   5.3894733330e+04	   1.0997104912e+03	   1.1796774943e+02	   5.5530640914e-01	
