     x	y	z	time	in	head	
          0    	          0    	          0    	          0    	    1	    330.551    	
    6000.00    	          0    	          0    	          0    	    1	    330.903    	
    12000.0    	          0    	          0    	          0    	    1	    331.965    	
    18000.0    	          0    	          0    	          0    	    1	    333.741    	
    24000.0    	          0    	          0    	          0    	    1	    336.098    	
    30000.0    	          0    	          0    	          0    	    1	    338.076    	
    36000.0    	          0    	          0    	          0    	    1	    334.615    	
    42000.0    	          0    	          0    	          0    	    1	    323.763    	
    48000.0    	          0    	          0    	          0    	    1	    320.273    	
          0    	    6000.00    	          0    	          0    	    1	    333.354    	
    6000.00    	    6000.00    	          0    	          0    	    1	    333.805    	
    12000.0    	    6000.00    	          0    	          0    	    1	    335.179    	
    18000.0    	    6000.00    	          0    	          0    	    1	    337.543    	
    24000.0    	    6000.00    	          0    	          0    	    1	    341.035    	
    30000.0    	    6000.00    	          0    	          0    	    1	    345.593    	
    36000.0    	    6000.00    	          0    	          0    	    1	    342.391    	
    42000.0    	    6000.00    	          0    	          0    	    1	    329.401    	
    48000.0    	    6000.00    	          0    	          0    	    1	    338.501    	
          0    	    12000.0    	          0    	          0    	    1	    335.237    	
    6000.00    	    12000.0    	          0    	          0    	    1	    335.762    	
    12000.0    	    12000.0    	          0    	          0    	    1	    337.367    	
    18000.0    	    12000.0    	          0    	          0    	    1	    340.139    	
    24000.0    	    12000.0    	          0    	          0    	    1	    344.250    	
    30000.0    	    12000.0    	          0    	          0    	    1	    349.844    	
    36000.0    	    12000.0    	          0    	          0    	    1	    349.686    	
    42000.0    	    12000.0    	          0    	          0    	    1	    337.756    	
    48000.0    	    12000.0    	          0    	          0    	    1	    352.915    	
          0    	    18000.0    	          0    	          0    	    1	    336.061    	
    6000.00    	    18000.0    	          0    	          0    	    1	    336.628    	
    12000.0    	    18000.0    	          0    	          0    	    1	    338.363    	
    18000.0    	    18000.0    	          0    	          0    	    1	    341.329    	
    24000.0    	    18000.0    	          0    	          0    	    1	    345.399    	
    30000.0    	    18000.0    	          0    	          0    	    1	    349.659    	
    36000.0    	    18000.0    	          0    	          0    	    1	    359.053    	
    42000.0    	    18000.0    	          0    	          0    	    1	    361.168    	
    48000.0    	    18000.0    	          0    	          0    	    1	    367.394    	
          0    	    24000.0    	          0    	          0    	    1	    335.747    	
    6000.00    	    24000.0    	          0    	          0    	    1	    336.319    	
    12000.0    	    24000.0    	          0    	          0    	    1	    338.110    	
    18000.0    	    24000.0    	          0    	          0    	    1	    341.394    	
    24000.0    	    24000.0    	          0    	          0    	    1	    346.882    	
    30000.0    	    24000.0    	          0    	          0    	    1	    356.136    	
    36000.0    	    24000.0    	          0    	          0    	    1	    364.925    	
    42000.0    	    24000.0    	          0    	          0    	    1	    370.028    	
    48000.0    	    24000.0    	          0    	          0    	    1	    373.420    	
          0    	    30000.0    	          0    	          0    	    1	    334.284    	
    6000.00    	    30000.0    	          0    	          0    	    1	    334.782    	
    12000.0    	    30000.0    	          0    	          0    	    1	    336.334    	
    18000.0    	    30000.0    	          0    	          0    	    1	    339.171    	
    24000.0    	    30000.0    	          0    	          0    	    1	    343.988    	
    30000.0    	    30000.0    	          0    	          0    	    1	    352.655    	
    36000.0    	    30000.0    	          0    	          0    	    1	    362.966    	
    42000.0    	    30000.0    	          0    	          0    	    1	    369.253    	
    48000.0    	    30000.0    	          0    	          0    	    1	    371.787    	
          0    	    36000.0    	          0    	          0    	    1	    331.811    	
    6000.00    	    36000.0    	          0    	          0    	    1	    332.174    	
    12000.0    	    36000.0    	          0    	          0    	    1	    333.236    	
    18000.0    	    36000.0    	          0    	          0    	    1	    334.869    	
    24000.0    	    36000.0    	          0    	          0    	    1	    336.574    	
    30000.0    	    36000.0    	          0    	          0    	    1	    337.269    	
    36000.0    	    36000.0    	          0    	          0    	    1	    353.352    	
    42000.0    	    36000.0    	          0    	          0    	    1	    360.851    	
    48000.0    	    36000.0    	          0    	          0    	    1	    363.452    	
          0    	    42000.0    	          0    	          0    	    1	    328.588    	
    6000.00    	    42000.0    	          0    	          0    	    1	    328.836    	
