              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
              0	              0	            100	         100000	 1	     5.65015	  3.8973e+03	  1.3008e+03	  3.6174e+04	  6.4020e+04	  2.2117e+03	  1.3976e+02	  5.8287e-01	
           6000	              0	            100	         100000	 1	         6.1	  9.1804e+02	  3.5929e+02	  1.2484e+04	  1.9685e+04	  2.1191e+03	  5.8591e+01	  1.2795e-01	
          12000	              0	            100	         100000	 1	     6.70177	  1.4454e+02	  6.1231e+01	  3.6862e+03	  4.7528e+03	  1.3998e+03	  3.1257e+01	  1.0159e-01	
          18000	              0	            100	         100000	 1	     7.45273	  2.1366e+01	  9.3156e+00	  1.1542e+03	  1.1045e+03	  8.6953e+02	  2.4580e+01	  6.0327e-01	
          24000	              0	            100	         100000	 1	       8.172	  4.3204e+00	  1.8757e+00	  4.2392e+02	  2.3448e+02	  6.0651e+02	  2.2987e+01	  8.5059e+00	
          30000	              0	            100	         100000	 1	      8.4383	  2.5064e+00	  1.0754e+00	  2.2995e+02	  3.5332e+01	  5.1619e+02	  2.2623e+01	  2.4376e+01	
          36000	              0	            100	         100000	 1	     8.54179	  2.0315e+00	  8.6419e-01	  2.0963e+02	  1.4065e+01	  5.0633e+02	  2.2584e+01	  3.7545e+01	
          42000	              0	            100	         100000	 1	     8.59815	  1.8131e+00	  7.6682e-01	  2.0823e+02	  1.1096e+01	  5.0645e+02	  2.2578e+01	  4.7652e+01	
          48000	              0	            100	         100000	 1	     8.45779	  2.4254e+00	  1.0402e+00	  1.9665e+02	  5.6283e+00	  4.9742e+02	  2.2568e+01	  2.6118e+01	
          54000	              0	            100	         100000	 1	     8.38533	  2.8285e+00	  1.2201e+00	  1.9328e+02	  4.8224e+00	  4.9471e+02	  2.2567e+01	  1.9142e+01	
          60000	              0	            100	         100000	 1	     8.37167	  2.9125e+00	  1.2576e+00	  1.9273e+02	  4.7477e+00	  4.9428e+02	  2.2567e+01	  1.8052e+01	
          66000	              0	            100	         100000	 1	     8.36415	  2.9598e+00	  1.2787e+00	  1.9248e+02	  4.7412e+00	  4.9408e+02	  2.2567e+01	  1.7480e+01	
          72000	              0	            100	         100000	 1	     8.35779	  3.0006e+00	  1.2969e+00	  1.9227e+02	  4.7404e+00	  4.9391e+02	  2.2567e+01	  1.7010e+01	
          78000	              0	            100	         100000	 1	     8.35215	  3.0371e+00	  1.3132e+00	  1.9209e+02	  4.7402e+00	  4.9376e+02	  2.2567e+01	  1.6604e+01	
          84000	              0	            100	         100000	 1	     8.34629	  3.0757e+00	  1.3304e+00	  1.9189e+02	  4.7402e+00	  4.9361e+02	  2.2567e+01	  1.6192e+01	
          90000	              0	            100	         100000	 1	        8.34	  3.1177e+00	  1.3492e+00	  1.9169e+02	  4.7402e+00	  4.9344e+02	  2.2567e+01	  1.5761e+01	
              0	           6000	            100	         100000	 1	      5.6699	  3.6971e+03	  1.2452e+03	  3.4682e+04	  6.1210e+04	  2.2115e+03	  1.3461e+02	  5.3840e-01	
           6000	           6000	            100	         100000	 1	     6.12813	  8.4939e+02	  3.3425e+02	  1.1771e+04	  1.8464e+04	  2.0592e+03	  5.6356e+01	  1.2171e-01	
          12000	           6000	            100	         100000	 1	     6.72813	  1.3692e+02	  5.8110e+01	  3.5087e+03	  4.5199e+03	  1.3459e+03	  3.0831e+01	  1.0492e-01	
          18000	           6000	            100	         100000	 1	     7.47156	  2.0825e+01	  9.0869e+00	  1.0949e+03	  1.0489e+03	  8.3744e+02	  2.4478e+01	  6.3735e-01	
          24000	           6000	            100	         100000	 1	     8.15023	  4.5836e+00	  1.9937e+00	  3.9494e+02	  2.1076e+02	  5.8922e+02	  2.2944e+01	  7.6934e+00	
          30000	           6000	            100	         100000	 1	     8.27369	  3.5782e+00	  1.5535e+00	  2.1995e+02	  3.2330e+01	  5.0834e+02	  2.2617e+01	  1.2066e+01	
          36000	           6000	            100	         100000	 1	     8.36962	  2.9203e+00	  1.2609e+00	  1.9872e+02	  9.8643e+00	  4.9782e+02	  2.2576e+01	  1.7969e+01	
          42000	           6000	            100	         100000	 1	     8.38644	  2.8195e+00	  1.2160e+00	  1.9593e+02	  6.9711e+00	  4.9635e+02	  2.2571e+01	  1.9274e+01	
          48000	           6000	            100	         100000	 1	      8.3557	  3.0135e+00	  1.3026e+00	  1.9264e+02	  5.0686e+00	  4.9414e+02	  2.2567e+01	  1.6873e+01	
          54000	           6000	            100	         100000	 1	     8.31179	  3.3139e+00	  1.4367e+00	  1.9079e+02	  4.7639e+00	  4.9274e+02	  2.2567e+01	  1.3976e+01	
          60000	           6000	            100	         100000	 1	     8.30845	  3.3380e+00	  1.4475e+00	  1.9064e+02	  4.7431e+00	  4.9264e+02	  2.2567e+01	  1.3776e+01	
          66000	           6000	            100	         100000	 1	     8.30263	  3.3805e+00	  1.4665e+00	  1.9044e+02	  4.7408e+00	  4.9248e+02	  2.2567e+01	  1.3437e+01	
          72000	           6000	            100	         100000	 1	     8.29533	  3.4346e+00	  1.4906e+00	  1.9019e+02	  4.7403e+00	  4.9230e+02	  2.2567e+01	  1.3023e+01	
          78000	           6000	            100	         100000	 1	      8.2876	  3.4930e+00	  1.5167e+00	  1.8993e+02	  4.7402e+00	  4.9210e+02	  2.2567e+01	  1.2599e+01	
          84000	           6000	            100	         100000	 1	      8.2806	  3.5468e+00	  1.5406e+00	  1.8969e+02	  4.7402e+00	  4.9192e+02	  2.2567e+01	  1.2227e+01	
          90000	           6000	            100	         100000	 1	     8.27656	  3.5783e+00	  1.5547e+00	  1.8955e+02	  4.7402e+00	  4.9182e+02	  2.2567e+01	  1.2017e+01	
              0	          12000	            100	         100000	 1	     5.70925	  3.3085e+03	  1.1344e+03	  3.1770e+04	  5.5715e+04	  2.2180e+03	  1.2455e+02	  4.5912e-01	
           6000	          12000	            100	         100000	 1	     6.17526	  7.4351e+02	  2.9515e+02	  1.0669e+04	  1.6576e+04	  1.9665e+03	  5.2899e+01	  1.1291e-01	
          12000	          12000	            100	         100000	 1	     6.75353	  1.3114e+02	  5.5743e+01	  3.3545e+03	  4.3348e+03	  1.2862e+03	  3.0492e+01	  1.0876e-01	
          18000	          12000	            100	         100000	 1	     7.46058	  2.1817e+01	  9.5221e+00	  1.0903e+03	  1.0654e+03	  8.1978e+02	  2.4508e+01	  6.1195e-01	
          24000	          12000	            100	         100000	 1	     8.10277	  5.1295e+00	  2.2357e+00	  4.0223e+02	  2.2578e+02	  5.8737e+02	  2.2971e+01	  6.3316e+00	
          30000	          12000	            100	         100000	 1	     8.24055	  3.8481e+00	  1.6735e+00	  2.2724e+02	  4.1188e+01	  5.1109e+02	  2.2633e+01	  1.0519e+01	
          36000	          12000	            100	         100000	 1	     8.39061	  2.7950e+00	  1.2051e+00	  1.9589e+02	  6.8906e+00	  4.9630e+02	  2.2571e+01	  1.9619e+01	
          42000	          12000	            100	         100000	 1	     8.38462	  2.8322e+00	  1.2217e+00	  1.9388e+02	  5.3323e+00	  4.9508e+02	  2.2568e+01	  1.9101e+01	
          48000	          12000	            100	         100000	 1	     8.35252	  3.0345e+00	  1.3120e+00	  1.9225e+02	  4.8476e+00	  4.9387e+02	  2.2567e+01	  1.6641e+01	
          54000	          12000	            100	         100000	 1	     8.31764	  3.2721e+00	  1.4180e+00	  1.9096e+02	  4.7491e+00	  4.9288e+02	  2.2567e+01	  1.4329e+01	
          60000	          12000	            100	         100000	 1	     8.31612	  3.2829e+00	  1.4229e+00	  1.9090e+02	  4.7413e+00	  4.9283e+02	  2.2567e+01	  1.4235e+01	
          66000	          12000	            100	         100000	 1	     8.30974	  3.3287e+00	  1.4433e+00	  1.9068e+02	  4.7406e+00	  4.9267e+02	  2.2567e+01	  1.3851e+01	
          72000	          12000	            100	         100000	 1	     8.30074	  3.3944e+00	  1.4727e+00	  1.9038e+02	  4.7403e+00	  4.9244e+02	  2.2567e+01	  1.3328e+01	
          78000	          12000	            100	         100000	 1	      8.2907	  3.4695e+00	  1.5062e+00	  1.9004e+02	  4.7402e+00	  4.9218e+02	  2.2567e+01	  1.2767e+01	
          84000	          12000	            100	         100000	 1	     8.27852	  3.5629e+00	  1.5478e+00	  1.8962e+02	  4.7402e+00	  4.9187e+02	  2.2567e+01	  1.2118e+01	
          90000	          12000	            100	         100000	 1	     8.27518	  3.5890e+00	  1.5595e+00	  1.8950e+02	  4.7402e+00	  4.9179e+02	  2.2567e+01	  1.1946e+01	
              0	          18000	            100	         100000	 1	     5.75428	  2.8761e+03	  1.0065e+03	  2.8524e+04	  4.9556e+04	  2.2437e+03	  1.1328e+02	  3.8160e-01	
           6000	          18000	            100	         100000	 1	     6.20752	  6.7334e+02	  2.6884e+02	  9.9691e+03	  1.5353e+04	  1.9192e+03	  5.0661e+01	  1.0776e-01	
          12000	          18000	            100	         100000	 1	      6.7509	  1.3215e+02	  5.6147e+01	  3.3998e+03	  4.4007e+03	  1.2920e+03	  3.0613e+01	  1.0890e-01	
          18000	          18000	            100	         100000	 1	     7.40296	  2.4850e+01	  1.0829e+01	  1.2224e+03	  1.2306e+03	  8.6036e+02	  2.4811e+01	  5.1307e-01	
          24000	          18000	            100	         100000	 1	     8.05327	  5.6870e+00	  2.4792e+00	  4.8107e+02	  3.1217e+02	  6.1891e+02	  2.3130e+01	  5.3028e+00	
          30000	          18000	            100	         100000	 1	      8.4711	  2.3524e+00	  1.0071e+00	  2.1843e+02	  2.5778e+01	  5.0875e+02	  2.2605e+01	  2.7911e+01	
          36000	          18000	            100	         100000	 1	     8.40455	  2.7129e+00	  1.1684e+00	  1.9762e+02	  8.1165e+00	  4.9733e+02	  2.2573e+01	  2.0839e+01	
          42000	          18000	            100	         100000	 1	     8.39778	  2.7543e+00	  1.1870e+00	  1.9384e+02	  4.9441e+00	  4.9516e+02	  2.2567e+01	  2.0199e+01	
          48000	          18000	            100	         100000	 1	     8.37386	  2.8988e+00	  1.2515e+00	  1.9285e+02	  4.7705e+00	  4.9437e+02	  2.2567e+01	  1.8230e+01	
          54000	          18000	            100	         100000	 1	     8.34064	  3.1134e+00	  1.3472e+00	  1.9172e+02	  4.7423e+00	  4.9347e+02	  2.2567e+01	  1.5809e+01	
