 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  5.2000000e+04	  1	  3.7988281e-03	  3.0508685e-02	  9.8303764e-09	  4.0136075e-03	  4.5752859e-01	  6.5289372e+00	  1.5830166e-01	  5.3103714e+00	  4.6488401e-03	 -4.2809142e-11	  5.7193416e+00	  3.7970528e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  5.4000000e+04	  1	  4.1512378e-03	  3.0837365e-02	  1.0397654e-08	  4.4107622e-03	  4.3403186e-01	  6.2375764e+00	  1.5374243e-01	  5.0753466e+00	  4.4518668e-03	  3.5704481e-04	  5.6225604e+00	  4.0579857e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  5.6000000e+04	  1	  5.0446138e-03	  3.2117743e-02	  1.1311133e-08	  5.3009944e-03	  3.9690917e-01	  5.7764296e+00	  1.4577518e-01	  4.7052575e+00	  4.1401101e-03	  1.3072769e-03	  5.5195299e+00	  4.6091219e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  5.8000000e+04	  1	  6.7033629e-03	  3.4879367e-02	  1.2578740e-08	  6.8067343e-03	  3.5068405e-01	  5.1980322e+00	  1.3499848e-01	  4.2427432e+00	  3.7490867e-03	  3.0608925e-03	  5.4919425e+00	  5.5169039e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.0000000e+04	  1	  9.3774918e-03	  3.9640408e-02	  1.3842962e-08	  9.0441072e-03	  3.0096721e-01	  4.5649903e+00	  1.2225075e-01	  3.7378661e+00	  3.3211210e-03	  5.8980905e-03	  5.5103018e+00	  6.7712402e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.2000000e+04	  1	  1.3193235e-02	  4.6597007e-02	  1.4579195e-08	  1.2034184e-02	  2.5243248e-01	  3.9306143e+00	  1.0847447e-01	  3.2328506e+00	  2.8922534e-03	  9.9941266e-03	  5.5475199e+00	  8.2712306e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.4000000e+04	  1	  1.7990263e-02	  5.5283342e-02	  1.4251592e-08	  1.5584591e-02	  2.0806486e-01	  3.3321517e+00	  9.4541463e-02	  2.7569188e+00	  2.4876649e-03	  1.5186078e-02	  5.5895012e+00	  9.8175539e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.6000000e+04	  1	  2.3240863e-02	  6.4542861e-02	  1.2783201e-08	  1.9269067e-02	  1.6924514e-01	  2.7912378e+00	  8.1112429e-02	  2.3268126e+00	  2.1219821e-03	  2.0829557e-02	  5.6350655e+00	  1.1215181e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.8000000e+04	  1	  2.8271523e-02	  7.3104753e-02	  1.0711422e-08	  2.2628679e-02	  1.3626216e-01	  2.3172805e+00	  6.8618329e-02	  1.9496010e+00	  1.8015650e-03	  2.6094640e-02	  5.6863805e+00	  1.2381932e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  7.0000000e+04	  1	  3.2558849e-02	  8.0130534e-02	  8.7858702e-09	  2.5370708e-02	  1.0881764e-01	  1.9113422e+00	  5.7317849e-02	  1.6258422e+00	  1.5271319e-03	  3.0384879e-02	  5.7434767e+00	  1.3329548e-02	
