              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
              0	              0	            100	         100000	 1	   5.7203347911e+00	   3.3671827027e+03	   1.1679155904e+03	   3.3205426841e+04	   5.8245854362e+04	   2.1136167890e+03	   1.2918714926e+02	   7.4631963914e-01	
           6000	              0	            100	         100000	 1	   6.1674426387e+00	   7.5522006890e+02	   3.0095897577e+02	   1.1280565676e+04	   1.7501344394e+04	   2.0133774355e+03	   5.4593912088e+01	   1.9764278423e-01	
          12000	              0	            100	         100000	 1	   6.7891425422e+00	   1.1448505458e+02	   4.8842415299e+01	   3.3237386452e+03	   4.1937178825e+03	   1.3263128256e+03	   3.0234371699e+01	   2.1134534879e-01	
          18000	              0	            100	         100000	 1	   7.5620799999e+00	   1.6629136852e+01	   7.2664459231e+00	   1.0474156531e+03	   9.7316846836e+02	   8.3081113660e+02	   2.4339721970e+01	   1.6651004083e+00	
          24000	              0	            100	         100000	 1	   8.2528922732e+00	   3.6153921520e+00	   1.5664609413e+00	   4.0007783741e+02	   2.0695667026e+02	   5.9880610040e+02	   2.2937162322e+01	   2.2475274667e+01	
          30000	              0	            100	         100000	 1	   8.4760818106e+00	   2.3027378762e+00	   9.8662071445e-01	   2.2846673326e+02	   3.1664859430e+01	   5.1889590126e+02	   2.2616258557e+01	   5.4409509295e+01	
          36000	              0	            100	         100000	 1	   8.5691135566e+00	   1.9099895232e+00	   8.1158149466e-01	   2.1053320691e+02	   1.2946931713e+01	   5.1021375805e+02	   2.2581994745e+01	   8.0108556438e+01	
          42000	              0	            100	         100000	 1	   8.6230854074e+00	   1.7145608169e+00	   7.2426716563e-01	   2.0946642055e+02	   1.0333957083e+01	   5.1053515985e+02	   2.2577213261e+01	   1.0050869272e+02	
          48000	              0	            100	         100000	 1	   8.4807964620e+00	   2.2966636724e+00	   9.8469958496e-01	   1.9850227642e+02	   5.5217742713e+00	   5.0168348866e+02	   2.2568396624e+01	   5.4810930036e+01	
          54000	              0	            100	         100000	 1	   8.4091702494e+00	   2.6707464957e+00	   1.1520188531e+00	   1.9528953448e+02	   4.8125578429e+00	   4.9902361417e+02	   2.2567094147e+01	   4.0348952615e+01	
          60000	              0	            100	         100000	 1	   8.3957203598e+00	   2.7482623596e+00	   1.1866880344e+00	   1.9477088751e+02	   4.7468170552e+00	   4.9859746998e+02	   2.2566972961e+01	   3.8088542798e+01	
          66000	              0	            100	         100000	 1	   8.3883739186e+00	   2.7916056412e+00	   1.2060721141e+00	   1.9452812758e+02	   4.7410836770e+00	   4.9839508907e+02	   2.2566962001e+01	   3.6911411821e+01	
          72000	              0	            100	         100000	 1	   8.3821854736e+00	   2.8286979541e+00	   1.2226604413e+00	   1.9432919968e+02	   4.7403612373e+00	   4.9822998598e+02	   2.2566960283e+01	   3.5947896971e+01	
          78000	              0	            100	         100000	 1	   8.3767315600e+00	   2.8618396706e+00	   1.2374819800e+00	   1.9415444094e+02	   4.7402168329e+00	   4.9808598949e+02	   2.2566959665e+01	   3.5118875245e+01	
          84000	              0	            100	         100000	 1	   8.3710454898e+00	   2.8968512793e+00	   1.2531397812e+00	   1.9397199790e+02	   4.7401752523e+00	   4.9793665842e+02	   2.2566959217e+01	   3.4275071809e+01	
