 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+03	  1	  3.7608074E-03	  3.0659237E-02	  9.9976537E-09	  3.9607621E-03	  4.6528200E-01	  6.6400337E+00	  1.6097181E-01	  5.4007325E+00	  4.7239465E-03	 -1.0957911E-11	  5.7131836E+00	  3.7585963E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+03	  1	  3.7651565E-03	  3.0660006E-02	  1.0011500E-08	  3.9667005E-03	  4.6480209E-01	  6.6341775E+00	  1.6088834E-01	  5.3960036E+00	  4.7199875E-03	  3.8531897E-06	  5.7123139E+00	  3.7630762E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+03	  1	  3.7659069E-03	  3.0661863E-02	  1.0022825E-08	  3.9688251E-03	  4.6465444E-01	  6.6327641E+00	  1.6088333E-01	  5.3948969E+00	  4.7190319E-03	  5.2880853E-06	  5.7126198E+00	  3.7650352E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.3000000E+03	  1	  3.7663746E-03	  3.0662002E-02	  1.0025322E-08	  3.9697764E-03	  4.6457667E-01	  6.6318660E+00	  1.6086972E-01	  5.3941817E+00	  4.7184248E-03	  5.8807323E-06	  5.7125828E+00	  3.7658016E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  2.3000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.0000000E+03	  1	  3.7781712E-03	  3.0668661E-02	  1.0055368E-08	  3.9855430E-03	  4.6345071E-01	  6.6180654E+00	  1.6065275E-01	  5.3830715E+00	  4.7090949E-03	  1.7445057E-05	  5.7092887E+00	  3.7774190E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  3.0000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
