              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
              0              0            100	          10000	 1	     7.02386	  4.7153e+01	  2.0340e+01	  2.1088e+03	  1.9856e+03	  1.4428e+03	  2.6192e+01	  1.7258e-01	
           6000	              0            100	          10000	 1	     8.07561	  4.7126e+00	  2.0430e+00	  5.7806e+02	  3.0508e+02	  7.5107e+02	  2.3117e+01	  5.9562e+00	
          12000	              0            100	          10000	 1	     8.64256	  1.5878e+00	  6.6508e-01	  2.8719e+02	  5.9182e+01	  5.6911e+02	  2.2666e+01	  5.8677e+01	
          18000	              0            100	          10000	 1	     8.73591	  1.3713e+00	  5.6957e-01	  2.2399e+02	  1.5533e+01	  5.2235e+02	  2.2587e+01	  8.5609e+01	
          24000	              0            100	          10000	 1	     8.53219	  2.0754e+00	  8.8395e-01	  2.0113e+02	  6.8173e+00	  5.0142e+02	  2.2571e+01	  3.5892e+01	
          30000	              0            100	          10000	 1	     7.87522	  8.9004e+00	  3.9301e+00	  1.7049e+02	  5.0096e+00	  4.8038e+02	  2.2567e+01	  2.1836e+00	
          36000	              0            100	          10000	 1	     7.87637	  8.8800e+00	  3.9211e+00	  1.7015e+02	  4.8205e+00	  4.8004e+02	  2.2567e+01	  2.1914e+00	
          42000	              0            100	          10000	 1	     7.98334	  6.9249e+00	  3.0484e+00	  1.7642e+02	  4.7939e+00	  4.8321e+02	  2.2567e+01	  3.4377e+00	
          48000	              0            100	          10000	 1	     7.50891	  2.1682e+01	  9.6360e+00	  1.3277e+02	  4.7476e+00	  4.6435e+02	  2.2567e+01	  4.8519e-01	
          54000	              0            100	          10000	 1	     7.33126	  3.4304e+01	  1.5271e+01	  9.9533e+01	  4.7408e+00	  4.5363e+02	  2.2567e+01	  2.4339e-01	
          60000	              0            100	          10000	 1	     7.30268	  3.7014e+01	  1.6480e+01	  9.2677e+01	  4.7402e+00	  4.5169e+02	  2.2567e+01	  2.1855e-01	
