              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
              0	              0	            100	          10000	 1	   8.9894630128e+00	   8.7920795152e-01	   3.5088022840e-01	   2.1737433351e+02	   4.7401598735e+00	   5.2168879290e+02	   2.2566859576e+01	   2.5995277582e+02	
           6000	              0	            100	          10000	 1	   8.8879690178e+00	   1.0473143469e+00	   4.2605915668e-01	   2.1145202336e+02	   4.7401549642e+00	   5.1443591518e+02	   2.2566866822e+01	   1.6988200090e+02	
          12000	              0	            100	          10000	 1	   8.7288673571e+00	   1.4044678014e+00	   5.8578196443e-01	   2.0431513648e+02	   4.7401538995e+00	   5.0629843648e+02	   2.2566886363e+01	   8.6943240438e+01	
          18000	              0	            100	          10000	 1	   8.4485958757e+00	   2.4676698274e+00	   1.0612727716e+00	   1.9477439816e+02	   4.7401519627e+00	   4.9696878363e+02	   2.2566906778e+01	   2.6432208576e+01	
          24000	              0	            100	          10000	 1	   7.8907379904e+00	   8.5397373923e+00	   3.7771590440e+00	   1.7168190462e+02	   4.7401402126e+00	   4.8287229944e+02	   2.2566877838e+01	   2.4606726325e+00	
          30000	              0	            100	          10000	 1	   7.3390059625e+00	   3.3354750846e+01	   1.4876477233e+01	   1.0294396131e+02	   4.7401036775e+00	   4.5765378722e+02	   2.2566722193e+01	   2.6517280656e-01	
          36000	              0	            100	          10000	 1	   7.3004938262e+00	   3.6951592632e+01	   1.6484861730e+01	   9.3739802381e+01	   4.7400995706e+00	   4.5499047137e+02	   2.2566704510e+01	   2.2925571514e-01	
          42000	              0	            100	          10000	 1	   7.3149377879e+00	   3.5561674449e+01	   1.5863406573e+01	   9.7174318785e+01	   4.7401011682e+00	   4.5586715161e+02	   2.2566711931e+01	   2.4199090036e-01	
          48000	              0	            100	          10000	 1	   7.2881026510e+00	   3.8196533697e+01	   1.7041504887e+01	   9.0594351389e+01	   4.7400982380e+00	   4.5415514919e+02	   2.2566700709e+01	   2.1885377383e-01	
          54000	              0	            100	          10000	 1	   7.2621503240e+00	   4.0958467586e+01	   1.8276320306e+01	   8.3759747403e+01	   4.7400952469e+00	   4.5240806554e+02	   2.2566687304e+01	   1.9878781686e-01	
          60000	              0	            100	          10000	 1	   7.2505831043e+00	   4.2261459323e+01	   1.8858824334e+01	   8.0562511747e+01	   4.7400938702e+00	   4.5161537446e+02	   2.2566680896e+01	   1.9051020568e-01	
          66000	              0	            100	          10000	 1	   7.2437790754e+00	   4.3049753174e+01	   1.9211218843e+01	   7.8635467447e+01	   4.7400930486e+00	   4.5114473757e+02	   2.2566677037e+01	   1.8581966587e-01	
          72000	              0	            100	          10000	 1	   7.2392232489e+00	   4.3586931295e+01	   1.9451350635e+01	   7.7324390470e+01	   4.7400924942e+00	   4.5082694657e+02	   2.2566674442e+01	   1.8274924930e-01	
          78000	              0	            100	          10000	 1	   7.2365092535e+00	   4.3910596151e+01	   1.9596034893e+01	   7.6534740527e+01	   4.7400921627e+00	   4.5063616014e+02	   2.2566672907e+01	   1.8094540958e-01	
          84000	              0	            100	          10000	 1	   7.2367196539e+00	   4.3885471860e+01	   1.9584804516e+01	   7.6594668099e+01	   4.7400921897e+00	   4.5064992274e+02	   2.2566673075e+01	   1.8108307428e-01	
          90000	              0	            100	          10000	 1	   7.2397023402e+00	   4.3529611772e+01	   1.9425725612e+01	   7.7466816592e+01	   4.7400925550e+00	   4.5086646154e+02	   2.2566674855e+01	   1.8307486628e-01	
              0	           6000	            100	          10000	 1	   8.9840154954e+00	   8.8726663134e-01	   3.5448414113e-01	   2.1702140432e+02	   4.7401595556e+00	   5.2124962933e+02	   2.2566859916e+01	   2.5414281408e+02	
           6000	           6000	            100	          10000	 1	   8.8744264823e+00	   1.0728600007e+00	   4.3748339512e-01	   2.1075850983e+02	   4.7401548928e+00	   5.1361213240e+02	   2.2566868252e+01	   1.6055616296e+02	
          12000	           6000	            100	          10000	 1	   8.7066281491e+00	   1.4657298837e+00	   6.1317915770e-01	   2.0346093681e+02	   4.7401538217e+00	   5.0538725102e+02	   2.2566889399e+01	   7.9169345817e+01	
          18000	           6000	            100	          10000	 1	   8.4163696857e+00	   2.6407136494e+00	   1.1386621455e+00	   1.9380010487e+02	   4.7401516847e+00	   4.9621612941e+02	   2.2566910131e+01	   2.3038657458e+01	
          24000	           6000	            100	          10000	 1	   7.8544535812e+00	   9.2953990171e+00	   4.1151557419e+00	   1.6941991265e+02	   4.7401389053e+00	   4.8195391684e+02	   2.2566876369e+01	   2.1133155470e+00	
          30000	           6000	            100	          10000	 1	   7.3260426743e+00	   3.4511187887e+01	   1.5393568472e+01	   1.0006078560e+02	   4.7401023338e+00	   4.5691897916e+02	   2.2566717577e+01	   2.5247800374e-01	
          36000	           6000	            100	          10000	 1	   7.2777695350e+00	   3.9265588198e+01	   1.7519443934e+01	   8.8007431140e+01	   4.7400970303e+00	   4.5354143385e+02	   2.2566694422e+01	   2.1063395113e-01	
          42000	           6000	            100	          10000	 1	   7.2660703538e+00	   4.0524466586e+01	   1.8082273707e+01	   8.4871293794e+01	   4.7400956818e+00	   4.5271904900e+02	   2.2566688480e+01	   2.0169986066e-01	
          48000	           6000	            100	          10000	 1	   7.2545457545e+00	   4.1808395280e+01	   1.8656274269e+01	   8.1693802751e+01	   4.7400943329e+00	   4.5191081405e+02	   2.2566682697e+01	   1.9330773809e-01	
          54000	           6000	            100	          10000	 1	   7.2445618149e+00	   4.2957039846e+01	   1.9169766534e+01	   7.8873971935e+01	   4.7400931410e+00	   4.5121563809e+02	   2.2566677462e+01	   1.8635212510e-01	
          60000	           6000	            100	          10000	 1	   7.2403843626e+00	   4.3448144708e+01	   1.9389303610e+01	   7.7674149354e+01	   4.7400926341e+00	   4.5092401374e+02	   2.2566675118e+01	   1.8352624100e-01	
          66000	           6000	            100	          10000	 1	   7.2368813478e+00	   4.3864893244e+01	   1.9575598418e+01	   7.6657517939e+01	   4.7400922063e+00	   4.5067820733e+02	   2.2566673118e+01	   1.8119230304e-01	
          72000	           6000	            100	          10000	 1	   7.2337984571e+00	   4.4235424806e+01	   1.9741231088e+01	   7.5754502688e+01	   4.7400918282e+00	   4.5046092081e+02	   2.2566671358e+01	   1.7916451327e-01	
          78000	           6000	            100	          10000	 1	   7.2315167078e+00	   4.4511943444e+01	   1.9864837253e+01	   7.5081197811e+01	   4.7400915475e+00	   4.5029973703e+02	   2.2566670062e+01	   1.7767892838e-01	
          84000	           6000	            100	          10000	 1	   7.2312987697e+00	   4.4538452161e+01	   1.9876686952e+01	   7.5016201959e+01	   4.7400915214e+00	   4.5028426414e+02	   2.2566669974e+01	   1.7753737222e-01	
          90000	           6000	            100	          10000	 1	   7.2342531103e+00	   4.4180009175e+01	   1.9716457217e+01	   7.5892952811e+01	   4.7400918859e+00	   4.5049997366e+02	   2.2566671744e+01	   1.7946924955e-01	
              0	          12000	            100	          10000	 1	   8.9735930088e+00	   9.0297419023e-01	   3.6150873824e-01	   2.1635579023e+02	   4.7401589332e+00	   5.2042163416e+02	   2.2566860485e+01	   2.4336031222e+02	
           6000	          12000	            100	          10000	 1	   8.8517711463e+00	   1.1174460066e+00	   4.5742280384e-01	   2.0963343715e+02	   4.7401547812e+00	   5.1227837779e+02	   2.2566870182e+01	   1.4606043546e+02	
          12000	          12000	            100	          10000	 1	   8.6770882316e+00	   1.5522359281e+00	   6.5186631052e-01	   2.0235284823e+02	   4.7401536905e+00	   5.0420684542e+02	   2.2566892188e+01	   6.9888286913e+01	
          18000	          12000	            100	          10000	 1	   8.3951308436e+00	   2.7622207656e+00	   1.1930036928e+00	   1.9314514085e+02	   4.7401514853e+00	   4.9571964483e+02	   2.2566912072e+01	   2.1041255238e+01	
          24000	          12000	            100	          10000	 1	   7.8740459101e+00	   8.8761600573e+00	   3.9276199032e+00	   1.7076610228e+02	   4.7401397159e+00	   4.8265549549e+02	   2.2566881653e+01	   2.2942610835e+00	
          30000	          12000	            100	          10000	 1	   7.3590311349e+00	   3.1634775589e+01	   1.4107278714e+01	   1.0744154958e+02	   4.7401057654e+00	   4.5909668739e+02	   2.2566733636e+01	   2.8614514075e-01	
          36000	          12000	            100	          10000	 1	   7.2860288066e+00	   3.8404955544e+01	   1.7134663996e+01	   9.0130686403e+01	   4.7400979886e+00	   4.5408820443e+02	   2.2566699349e+01	   2.1719412997e-01	
          42000	          12000	            100	          10000	 1	   7.2641156417e+00	   4.0738479914e+01	   1.8177951401e+01	   8.4342713382e+01	   4.7400954600e+00	   4.5259034867e+02	   2.2566687794e+01	   2.0024726620e-01	
          48000	          12000	            100	          10000	 1	   7.2545456797e+00	   4.1807949495e+01	   1.8656072961e+01	   8.1697765270e+01	   4.7400943349e+00	   4.5191690852e+02	   2.2566682823e+01	   1.9330708267e-01	
