 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+03	  1	  3.7988281E-03	  3.0508685E-02	  9.8303764E-09	  4.0136075E-03	  4.5752859E-01	  6.5289371E+00	  1.5830166E-01	  5.3103714E+00	  4.6488401E-03	  1.0948707E-14	  5.7193416E+00	  3.7970528E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.0000000E+03	  1	  4.1512378E-03	  3.0837365E-02	  1.0397654E-08	  4.4107622E-03	  4.3403186E-01	  6.2375764E+00	  1.5374242E-01	  5.0753466E+00	  4.4518667E-03	  3.5704488E-04	  5.6225604E+00	  4.0579857E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.0000000E+03	  1	  5.0446138E-03	  3.2117743E-02	  1.1311133E-08	  5.3009944E-03	  3.9690917E-01	  5.7764295E+00	  1.4577518E-01	  4.7052575E+00	  4.1401100E-03	  1.3072770E-03	  5.5195299E+00	  4.6091219E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.0000000E+03	  1	  6.7033630E-03	  3.4879367E-02	  1.2578740E-08	  6.8067344E-03	  3.5068404E-01	  5.1980321E+00	  1.3499848E-01	  4.2427431E+00	  3.7490866E-03	  3.0608926E-03	  5.4919425E+00	  5.5169039E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+04	  1	  9.3774919E-03	  3.9640408E-02	  1.3842962E-08	  9.0441073E-03	  3.0096720E-01	  4.5649901E+00	  1.2225075E-01	  3.7378660E+00	  3.3211209E-03	  5.8980908E-03	  5.5103018E+00	  6.7712402E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2000000E+04	  1	  1.3193235E-02	  4.6597007E-02	  1.4579194E-08	  1.2034184E-02	  2.5243247E-01	  3.9306141E+00	  1.0847447E-01	  3.2328505E+00	  2.8922533E-03	  9.9941271E-03	  5.5475200E+00	  8.2712307E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4000000E+04	  1	  1.7990263E-02	  5.5283342E-02	  1.4251591E-08	  1.5584591E-02	  2.0806485E-01	  3.3321515E+00	  9.4541458E-02	  2.7569186E+00	  2.4876648E-03	  1.5186079E-02	  5.5895012E+00	  9.8175538E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.6000000E+04	  1	  2.3240864E-02	  6.4542860E-02	  1.2783199E-08	  1.9269067E-02	  1.6924513E-01	  2.7912376E+00	  8.1112424E-02	  2.3268124E+00	  2.1219819E-03	  2.0829558E-02	  5.6350655E+00	  1.1215181E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.8000000E+04	  1	  2.8271523E-02	  7.3104752E-02	  1.0711421E-08	  2.2628679E-02	  1.3626214E-01	  2.3172803E+00	  6.8618323E-02	  1.9496008E+00	  1.8015648E-03	  2.6094641E-02	  5.6863805E+00	  1.2381932E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+04	  1	  3.2558849E-02	  8.0130532E-02	  8.7858686E-09	  2.5370708E-02	  1.0881762E-01	  1.9113420E+00	  5.7317843E-02	  1.6258421E+00	  1.5271317E-03	  3.0384879E-02	  5.7434768E+00	  1.3329548E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+04	  1	  3.5824088E-02	  8.5281703E-02	  7.4914346E-09	  2.7390873E-02	  8.6338051E-02	  1.5694478E+00	  4.7341497E-02	  1.3522309E+00	  1.2959954E-03	  3.3449346E-02	  5.8048986E+00	  1.4098051E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.4000000E+04	  1	  3.7992244E-02	  8.8560685E-02	  6.8707654E-09	  2.8708819E-02	  6.8148056E-02	  1.2850231E+00	  3.8717666E-02	  1.1235130E+00	  1.1037111E-03	  3.5287246E-02	  5.8691182E+00	  1.4723587E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.6000000E+04	  1	  3.9123939E-02	  9.0155215E-02	  6.7093046E-09	  2.9406616E-02	  5.3569378E-02	  1.0505176E+00	  3.1397251E-02	  9.3374230E-01	  9.4517449E-04	  3.6031543E-02	  5.9350587E+00	  1.5232771E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.8000000E+04	  1	  3.9355888E-02	  9.0334929E-02	  6.7789842E-09	  2.9590104E-02	  4.1974331E-02	  8.5839485E-01	  2.5279202E-02	  7.7703667E-01	  8.1529059E-04	  3.5870211E-02	  6.0020990E+00	  1.5644744E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.0000000E+04	  1	  3.8856568E-02	  8.9389081E-02	  6.9350480E-09	  2.9367531E-02	  3.2809889E-02	  7.0167358E-01	  2.0233408E-02	  6.4798398E-01	  7.0933975E-04	  3.5001468E-02	  6.0699403E+00	  1.5973544E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.2000000E+04	  1	  3.7796900E-02	  8.7591145E-02	  7.1148327E-09	  2.8838484E-02	  2.5604016E-02	  5.7417709E-01	  1.6118554E-02	  5.4182130E-01	  6.2314620E-04	  3.3610326E-02	  6.1384811E+00	  1.6229571E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.4000000E+04	  1	  3.6333373E-02	  8.5180888E-02	  7.3119668E-09	  2.8088841E-02	  1.9962435E-02	  4.7060424E-01	  1.2794625E-02	  4.5447747E-01	  5.5312615E-04	  3.1857696E-02	  6.2077313E+00	  1.6420441E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.6000000E+04	  1	  3.4600152E-02	  8.2357670E-02	  7.5524376E-09	  2.7189288E-02	  1.5560965E-02	  3.8650023E-01	  1.0130786E-02	  3.8254035E-01	  4.9626793E-04	  2.9876830E-02	  6.2777591E+00	  1.6551556E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.8000000E+04	  1	  3.2706942E-02	  7.9280542E-02	  7.8769280E-09	  2.6195888E-02	  1.2136307E-02	  3.1817690E-01	  8.0097130E-03	  3.2318795E-01	  4.5007818E-04	  2.7773924E-02	  6.3486608E+00	  1.6626596E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.0000000E+04	  1	  3.0740121E-02	  7.6072045E-02	  8.3291594E-09	  2.5151710E-02	  9.4767809E-03	  2.6261326E-01	  6.3294061E-03	  2.7410688E-01	  4.1251459E-04	  2.5630840E-02	  6.4205427E+00	  1.6647991E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.2000000E+04	  1	  2.8765459E-02	  7.2823636E-02	  8.9495295E-09	  2.4088878E-02	  7.4137237E-03	  2.1735359E-01	  5.0033284E-03	  2.3341122E-01	  3.8191694E-04	  2.3508678E-02	  6.4935109E+00	  1.6617393E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.4000000E+04	  1	  2.6831371E-02	  6.9601477E-02	  9.7731818E-09	  2.3030669E-02	  5.8138306E-03	  1.8041222E-01	  3.9595081E-03	  1.9956856E-01	  3.5694286E-04	  2.1451465E-02	  6.5676634E+00	  1.6536116E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.6000000E+04	  1	  2.4972126E-02	  6.6451873E-02	  1.0831437E-08	  2.1993441E-02	  4.5725121E-03	  1.5018930E-01	  3.1390679E-03	  1.7133555E-01	  3.3651076E-04	  1.9489552E-02	  6.6430825E+00	  1.6405549E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.8000000E+04	  1	  2.3210740E-02	  6.3406047E-02	  1.2155506E-08	  2.0988301E-02	  3.6082428E-03	  1.2539865E-01	  2.4945016E-03	  1.4770376E-01	  3.1975112E-04	  1.7642559E-02	  6.7198277E+00	  1.6227503E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.0000000E+04	  1	  2.1561442E-02	  6.0484124E-02	  1.3781489E-08	  2.0022493E-02	  2.8578288E-03	  1.0500736E-01	  1.9879104E-03	  1.2785496E-01	  3.0596566E-04	  1.5921826E-02	  6.7979254E+00	  1.6004497E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.2000000E+04	  1	  2.0031715E-02	  5.7698359E-02	  1.5755637E-08	  1.9100515E-02	  2.2725045E-03	  8.8186115E-02	  1.5893336E-03	  1.1112463E-01	  2.9459371E-04	  1.4332413E-02	  6.8773602E+00	  1.5739963E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.4000000E+04	  1	  1.8623964E-02	  5.5055674E-02	  1.8138778E-08	  1.8224993E-02	  1.8147582E-03	  7.4268698E-02	  1.2752498E-03	  9.6972592E-02	  2.8518489E-04	  1.2874706E-02	  6.9580659E+00	  1.5438365E-02	
