              x	              y	              z	           time	in	                 Cl	
              0	              0	              0	              4	 1	   6.5846544174e-02	
          2e-05	              0	              0	              4	 1	   6.4177897361e-02	
          4e-05	              0	              0	              4	 1	   5.9425839584e-02	
          6e-05	              0	              0	              4	 1	   5.2287553485e-02	
          8e-05	              0	              0	              4	 1	   4.3733102193e-02	
         0.0001	              0	              0	              4	 1	   3.4787405409e-02	
        0.00012	              0	              0	              4	 1	   2.6332597984e-02	
        0.00014	              0	              0	              4	 1	   1.8981432558e-02	
        0.00016	              0	              0	              4	 1	   1.3039766996e-02	
        0.00018	              0	              0	              4	 1	   8.5445968202e-03	
         0.0002	              0	              0	              4	 1	   5.3456243583e-03	
        0.00022	              0	              0	              4	 1	   3.1960915351e-03	
        0.00024	              0	              0	              4	 1	   1.8281129289e-03	
        0.00026	              0	              0	              4	 1	   1.0014174810e-03	
        0.00028	              0	              0	              4	 1	   5.2593621429e-04	
         0.0003	              0	              0	              4	 1	   2.6511999153e-04	
        0.00032	              0	              0	              4	 1	   1.2842037245e-04	
        0.00034	              0	              0	              4	 1	   5.9841115508e-05	
        0.00036	              0	              0	              4	 1	   2.6855361591e-05	
        0.00038	              0	              0	              4	 1	   1.1620259928e-05	
         0.0004	              0	              0	              4	 1	   4.8532971475e-06	
        0.00042	              0	              0	              4	 1	   1.9587090533e-06	
        0.00044	              0	              0	              4	 1	   7.6468502885e-07	
        0.00046	              0	              0	              4	 1	   2.8909005751e-07	
        0.00048	              0	              0	              4	 1	   1.0594239951e-07	
         0.0005	              0	              0	              4	 1	   3.7672972059e-08	
        0.00052	              0	              0	              4	 1	   1.3011860734e-08	
        0.00054	              0	              0	              4	 1	   4.3693082708e-09	
        0.00056	              0	              0	              4	 1	   1.4277497156e-09	
        0.00058	              0	              0	              4	 1	   4.5440996205e-10	
         0.0006	              0	              0	              4	 1	   1.4098666999e-10	
        0.00062	              0	              0	              4	 1	   4.2678449463e-11	
        0.00064	              0	              0	              4	 1	   1.2615177823e-11	
        0.00066	              0	              0	              4	 1	   3.6439644978e-12	
        0.00068	              0	              0	              4	 1	   1.0293921952e-12	
         0.0007	              0	              0	              4	 1	   2.8459785781e-13	
        0.00072	              0	              0	              4	 1	   7.7060509898e-14	
        0.00074	              0	              0	              4	 1	   2.0448960641e-14	
        0.00076	              0	              0	              4	 1	   5.3211951687e-15	
        0.00078	              0	              0	              4	 1	   1.3583503802e-15	
         0.0008	              0	              0	              4	 1	   3.3997997287e-16	
        0.00082	              0	              0	              4	 1	   8.3036927396e-17	
        0.00084	              0	              0	              4	 1	   1.9318697816e-17	
        0.00086	              0	              0	              4	 1	   3.8698045261e-18	
        0.00088	              0	              0	              4	 1	   0.0000000000e+00	
         0.0009	              0	              0	              4	 1	   0.0000000000e+00	
        0.00092	              0	              0	              4	 1	   0.0000000000e+00	
        0.00094	              0	              0	              4	 1	   0.0000000000e+00	
        0.00096	              0	              0	              4	 1	   0.0000000000e+00	
        0.00098	              0	              0	              4	 1	   0.0000000000e+00	
          0.001	              0	              0	              4	 1	   0.0000000000e+00	
              0	          2e-05	              0	              4	 1	   6.4177897361e-02	
          2e-05	          2e-05	              0	              4	 1	   6.2551555073e-02	
          4e-05	          2e-05	              0	              4	 1	   5.7919965589e-02	
          6e-05	          2e-05	              0	              4	 1	   5.0962617503e-02	
          8e-05	          2e-05	              0	              4	 1	   4.2624967571e-02	
         0.0001	          2e-05	              0	              4	 1	   3.3905955336e-02	
        0.00012	          2e-05	              0	              4	 1	   2.5665370800e-02	
        0.00014	          2e-05	              0	              4	 1	   1.8500456239e-02	
        0.00016	          2e-05	              0	              4	 1	   1.2709332038e-02	
        0.00018	          2e-05	              0	              4	 1	   8.3280613268e-03	
         0.0002	          2e-05	              0	              4	 1	   5.2101526959e-03	
        0.00022	          2e-05	              0	              4	 1	   3.1150956125e-03	
        0.00024	          2e-05	              0	              4	 1	   1.7817882392e-03	
        0.00026	          2e-05	              0	              4	 1	   9.7604560538e-04	
        0.00028	          2e-05	              0	              4	 1	   5.1261473896e-04	
         0.0003	          2e-05	              0	              4	 1	   2.5840740260e-04	
        0.00032	          2e-05	              0	              4	 1	   1.2517062343e-04	
        0.00034	          2e-05	              0	              4	 1	   5.8327838948e-05	
        0.00036	          2e-05	              0	              4	 1	   2.6176811370e-05	
        0.00038	          2e-05	              0	              4	 1	   1.1326951304e-05	
         0.0004	          2e-05	              0	              4	 1	   4.7309408912e-06	
        0.00042	          2e-05	              0	              4	 1	   1.9093963075e-06	
        0.00044	          2e-05	              0	              4	 1	   7.4546343513e-07	
        0.00046	          2e-05	              0	              4	 1	   2.8183612320e-07	
        0.00048	          2e-05	              0	              4	 1	   1.0328926610e-07	
         0.0005	          2e-05	              0	              4	 1	   3.6731553600e-08	
        0.00052	          2e-05	              0	              4	 1	   1.2687468451e-08	
        0.00054	          2e-05	              0	              4	 1	   4.2606563883e-09	
        0.00056	          2e-05	              0	              4	 1	   1.3923429617e-09	
        0.00058	          2e-05	              0	              4	 1	   4.4317404553e-10	
         0.0006	          2e-05	              0	              4	 1	   1.3751143658e-10	
        0.00062	          2e-05	              0	              4	 1	   4.1629921027e-11	
        0.00064	          2e-05	              0	              4	 1	   1.2306324026e-11	
        0.00066	          2e-05	              0	              4	 1	   3.5550758632e-12	
        0.00068	          2e-05	              0	              4	 1	   1.0043776565e-12	
         0.0007	          2e-05	              0	              4	 1	   2.7770954629e-13	
        0.00072	          2e-05	              0	              4	 1	   7.5203058937e-14	
        0.00074	          2e-05	              0	              4	 1	   1.9958156712e-14	
        0.00076	          2e-05	              0	              4	 1	   5.1940238142e-15	
        0.00078	          2e-05	              0	              4	 1	   1.3260122531e-15	
         0.0008	          2e-05	              0	              4	 1	   3.3190109928e-16	
        0.00082	          2e-05	              0	              4	 1	   8.1055697180e-17	
        0.00084	          2e-05	              0	              4	 1	   1.8851483001e-17	
        0.00086	          2e-05	              0	              4	 1	   3.7741659887e-18	
        0.00088	          2e-05	              0	              4	 1	   0.0000000000e+00	
