

                          ..       2D HST test problem CXD                                                
                          .                                                                               


                              X-Direction Node Coordinates    (m)

           1           2           3           4           5           6           7           8           9          10
           0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00



          11          12          13          14          15          16          17          18          19          20
          10.00       11.00       12.00       13.00       14.00       15.00       16.00       17.00       18.00       19.00



          21          22          23          24          25          26          27          28          29          30
          20.00       21.00       22.00       23.00       24.00       25.00       26.00       27.00       28.00       29.00



          31          32          33          34          35          36          37          38          39          40
          30.00       31.00       32.00       33.00       34.00       35.00       36.00       37.00       38.00       39.00



          41          42          43          44          45          46          47          48          49          50
          40.00       41.00       42.00       43.00       44.00       45.00       46.00       47.00       48.00       49.00



          51
          50.00




                              Y-Direction Node Coordinates   (m)

           1           2           3           4           5           6           7           8           9          10
           0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00



          11          12          13          14          15          16          17          18          19          20
          10.00       11.00       12.00       13.00       14.00       15.00       16.00       17.00       18.00       19.00



          21          22          23          24          25          26          27          28          29          30
          20.00       21.00       22.00       23.00       24.00       25.00       26.00       27.00       28.00       29.00



          31          32          33          34          35          36          37          38          39          40
          30.00       31.00       32.00       33.00       34.00       35.00       36.00       37.00       38.00       39.00



          41          42          43          44          45          46          47          48          49          50
          40.00       41.00       42.00       43.00       44.00       45.00       46.00       47.00       48.00       49.00



          51
          50.00




                              Z-Direction Node Coordinates   (m)

           1           2
           0.00        1.00



                              *** Output at End of Steady State Iteration No.     1 ***

     Time .......................................................    0.00      (d)
     Maximum change in potentiometric head ...  7.0700E-01    (m ) at location (  0.00    ,  0.00    ,  0.00    )(m)

                              Fluid Potentiometric Head (m)

                    Areal Layers

                                                            K =  1

           1           2           3           4           5           6           7           8           9          10
 51       1.354       1.346       1.339       1.332       1.325       1.318       1.311       1.304       1.297       1.290
 50       1.361       1.354       1.346       1.339       1.332       1.325       1.318       1.311       1.304       1.297
 49       1.368       1.361       1.354       1.346       1.339       1.332       1.325       1.318       1.311       1.304
 48       1.375       1.368       1.361       1.354       1.346       1.339       1.332       1.325       1.318       1.311
 47       1.382       1.375       1.368       1.361       1.354       1.346       1.339       1.332       1.325       1.318
 46       1.389       1.382       1.375       1.368       1.361       1.354       1.346       1.339       1.332       1.325
 45       1.396       1.389       1.382       1.375       1.368       1.361       1.354       1.346       1.339       1.332
 44       1.403       1.396       1.389       1.382       1.375       1.368       1.361       1.354       1.346       1.339
 43       1.410       1.403       1.396       1.389       1.382       1.375       1.368       1.361       1.354       1.346
 42       1.417       1.410       1.403       1.396       1.389       1.382       1.375       1.368       1.361       1.354
 41       1.424       1.417       1.410       1.403       1.396       1.389       1.382       1.375       1.368       1.361
 40       1.431       1.424       1.417       1.410       1.403       1.396       1.389       1.382       1.375       1.368
 39       1.438       1.431       1.424       1.417       1.410       1.403       1.396       1.389       1.382       1.375
 38       1.445       1.438       1.431       1.424       1.417       1.410       1.403       1.396       1.389       1.382
 37       1.452       1.445       1.438       1.431       1.424       1.417       1.410       1.403       1.396       1.389
 36       1.460       1.452       1.445       1.438       1.431       1.424       1.417       1.410       1.403       1.396
 35       1.467       1.460       1.452       1.445       1.438       1.431       1.424       1.417       1.410       1.403
 34       1.474       1.467       1.460       1.452       1.445       1.438       1.431       1.424       1.417       1.410
 33       1.481       1.474       1.467       1.460       1.452       1.445       1.438       1.431       1.424       1.417
 32       1.488       1.481       1.474       1.467       1.460       1.452       1.445       1.438       1.431       1.424
