              x	              y	              z	           time	in	         Cl_mol/kgw	
              0	              0	              0	             10	 1	   1.0622493094e-03	
              1	              0	              0	             10	 1	   2.2262714239e-03	
              2	              0	              0	             10	 1	   3.0890830082e-03	
              3	              0	              0	             10	 1	   3.6204808098e-03	
              4	              0	              0	             10	 1	   3.7704919290e-03	
              5	              0	              0	             10	 1	   3.5654564503e-03	
              6	              0	              0	             10	 1	   3.1043476525e-03	
              7	              0	              0	             10	 1	   2.5153653676e-03	
              8	              0	              0	             10	 1	   1.9130938926e-03	
              9	              0	              0	             10	 1	   1.3752335327e-03	
             10	              0	              0	             10	 1	   9.3947813822e-04	
             11	              0	              0	             10	 1	   6.1242794201e-04	
             12	              0	              0	             10	 1	   3.8205087359e-04	
             13	              0	              0	             10	 1	   2.2843750417e-04	
             14	              0	              0	             10	 1	   1.3093387264e-04	
             15	              0	              0	             10	 1	   7.1821364693e-05	
             16	              0	              0	             10	 1	   3.7545976309e-05	
             17	              0	              0	             10	 1	   1.8556458288e-05	
             18	              0	              0	             10	 1	   8.5442495080e-06	
             19	              0	              0	             10	 1	   3.5641488610e-06	
             20	              0	              0	             10	 1	   1.2675219937e-06	
             21	              0	              0	             10	 1	   3.2174369736e-07	
             22	              0	              0	             10	 1	   9.1380589259e-09	
             23	              0	              0	             10	 1	   0.0000000000e+00	
             24	              0	              0	             10	 1	   0.0000000000e+00	
             25	              0	              0	             10	 1	   0.0000000000e+00	
             26	              0	              0	             10	 1	   0.0000000000e+00	
             27	              0	              0	             10	 1	   0.0000000000e+00	
             28	              0	              0	             10	 1	   0.0000000000e+00	
             29	              0	              0	             10	 1	   0.0000000000e+00	
             30	              0	              0	             10	 1	   0.0000000000e+00	
             31	              0	              0	             10	 1	   0.0000000000e+00	
             32	              0	              0	             10	 1	   0.0000000000e+00	
             33	              0	              0	             10	 1	   0.0000000000e+00	
             34	              0	              0	             10	 1	   0.0000000000e+00	
             35	              0	              0	             10	 1	   0.0000000000e+00	
             36	              0	              0	             10	 1	   0.0000000000e+00	
             37	              0	              0	             10	 1	   0.0000000000e+00	
             38	              0	              0	             10	 1	   0.0000000000e+00	
             39	              0	              0	             10	 1	   0.0000000000e+00	
             40	              0	              0	             10	 1	   0.0000000000e+00	
             41	              0	              0	             10	 1	   0.0000000000e+00	
             42	              0	              0	             10	 1	   0.0000000000e+00	
             43	              0	              0	             10	 1	   0.0000000000e+00	
             44	              0	              0	             10	 1	   0.0000000000e+00	
             45	              0	              0	             10	 1	   0.0000000000e+00	
             46	              0	              0	             10	 1	   0.0000000000e+00	
             47	              0	              0	             10	 1	   0.0000000000e+00	
             48	              0	              0	             10	 1	   0.0000000000e+00	
             49	              0	              0	             10	 1	   0.0000000000e+00	
             50	              0	              0	             10	 1	   0.0000000000e+00	
              0	              1	              0	             10	 1	   2.2262714240e-03	
              1	              1	              0	             10	 1	   3.9837111828e-03	
              2	              1	              0	             10	 1	   5.7690473593e-03	
              3	              1	              0	             10	 1	   7.1216845134e-03	
              4	              1	              0	             10	 1	   7.7610982435e-03	
              5	              1	              0	             10	 1	   7.6269940660e-03	
              6	              1	              0	             10	 1	   6.8610218305e-03	
              7	              1	              0	             10	 1	   5.7165015276e-03	
              8	              1	              0	             10	 1	   4.4537829211e-03	
              9	              1	              0	             10	 1	   3.2701868188e-03	
             10	              1	              0	             10	 1	   2.2771144553e-03	
             11	              1	              0	             10	 1	   1.5111029527e-03	
             12	              1	              0	             10	 1	   9.5912996605e-04	
             13	              1	              0	             10	 1	   5.8368554462e-04	
             14	              1	              0	             10	 1	   3.4094670212e-04	
             15	              1	              0	             10	 1	   1.9109526376e-04	
             16	              1	              0	             10	 1	   1.0254280825e-04	
             17	              1	              0	             10	 1	   5.2426118601e-05	
             18	              1	              0	             10	 1	   2.5312049662e-05	
             19	              1	              0	             10	 1	   1.1360945260e-05	
             20	              1	              0	             10	 1	   4.6033541066e-06	
             21	              1	              0	             10	 1	   1.5817867671e-06	
             22	              1	              0	             10	 1	   3.8654171906e-07	
             23	              1	              0	             10	 1	   1.2350891071e-08	
             24	              1	              0	             10	 1	   0.0000000000e+00	
             25	              1	              0	             10	 1	   0.0000000000e+00	
             26	              1	              0	             10	 1	   0.0000000000e+00	
             27	              1	              0	             10	 1	   0.0000000000e+00	
             28	              1	              0	             10	 1	   0.0000000000e+00	
             29	              1	              0	             10	 1	   0.0000000000e+00	
             30	              1	              0	             10	 1	   0.0000000000e+00	
             31	              1	              0	             10	 1	   0.0000000000e+00	
             32	              1	              0	             10	 1	   0.0000000000e+00	
             33	              1	              0	             10	 1	   0.0000000000e+00	
             34	              1	              0	             10	 1	   0.0000000000e+00	
             35	              1	              0	             10	 1	   0.0000000000e+00	
             36	              1	              0	             10	 1	   0.0000000000e+00	
             37	              1	              0	             10	 1	   0.0000000000e+00	
             38	              1	              0	             10	 1	   0.0000000000e+00	
             39	              1	              0	             10	 1	   0.0000000000e+00	
             40	              1	              0	             10	 1	   0.0000000000e+00	
             41	              1	              0	             10	 1	   0.0000000000e+00	
             42	              1	              0	             10	 1	   0.0000000000e+00	
             43	              1	              0	             10	 1	   0.0000000000e+00	
             44	              1	              0	             10	 1	   0.0000000000e+00	
             45	              1	              0	             10	 1	   0.0000000000e+00	
             46	              1	              0	             10	 1	   0.0000000000e+00	
             47	              1	              0	             10	 1	   0.0000000000e+00	
             48	              1	              0	             10	 1	   0.0000000000e+00	
             49	              1	              0	             10	 1	   0.0000000000e+00	
             50	              1	              0	             10	 1	   0.0000000000e+00	
              0	              2	              0	             10	 1	   3.0890830084e-03	
              1	              2	              0	             10	 1	   5.7690473594e-03	
              2	              2	              0	             10	 1	   8.7192221109e-03	
              3	              2	              0	             10	 1	   1.1295894500e-02	
              4	              2	              0	             10	 1	   1.2908833786e-02	
              5	              2	              0	             10	 1	   1.3261466815e-02	
              6	              2	              0	             10	 1	   1.2424530491e-02	
              7	              2	              0	             10	 1	   1.0741361733e-02	
              8	              2	              0	             10	 1	   8.6538378242e-03	
              9	              2	              0	             10	 1	   6.5510340446e-03	
             10	              2	              0	             10	 1	   4.6916062418e-03	
             11	              2	              0	             10	 1	   3.1962199003e-03	
             12	              2	              0	             10	 1	   2.0803018836e-03	
             13	              2	              0	             10	 1	   1.2976832041e-03	
             14	              2	              0	             10	 1	   7.7741392291e-04	
             15	              2	              0	             10	 1	   4.4765557021e-04	
             16	              2	              0	             10	 1	   2.4762867802e-04	
             17	              2	              0	             10	 1	   1.3128054228e-04	
             18	              2	              0	             10	 1	   6.6379827653e-05	
             19	              2	              0	             10	 1	   3.1736762205e-05	
             20	              2	              0	             10	 1	   1.4133846441e-05	
             21	              2	              0	             10	 1	   5.7037220410e-06	
             22	              2	              0	             10	 1	   1.9691579917e-06	
             23	              2	              0	             10	 1	   4.9891806542e-07	
             24	              2	              0	             10	 1	   3.5672376466e-08	
             25	              2	              0	             10	 1	   0.0000000000e+00	
             26	              2	              0	             10	 1	   0.0000000000e+00	
             27	              2	              0	             10	 1	   0.0000000000e+00	
             28	              2	              0	             10	 1	   0.0000000000e+00	
             29	              2	              0	             10	 1	   0.0000000000e+00	
             30	              2	              0	             10	 1	   0.0000000000e+00	
             31	              2	              0	             10	 1	   0.0000000000e+00	
             32	              2	              0	             10	 1	   0.0000000000e+00	
             33	              2	              0	             10	 1	   0.0000000000e+00	
