              x	              y	              z	           time	in	                  A	                  B	                  C	                  D	
              0	              0	              0	            400	 1	  0.0000000000e+000	  0.0000000000e+000	  0.0000000000e+000	  0.0000000000e+000	
              4	              0	              0	            400	 1	  1.0783874508e-013	  1.0848029500e-013	  0.0000000000e+000	  6.8957985744e-011	
              8	              0	              0	            400	 1	  6.2702805190e-012	  6.8863818533e-010	  1.7121549874e-010	  0.0000000000e+000	
             12	              0	              0	            400	 1	  2.7254422016e-011	  8.9030524459e-009	  4.1421345988e-008	  2.9246240555e-008	
             16	              0	              0	            400	 1	  6.6289432958e-011	  3.7519997253e-008	  2.6214515595e-007	  3.1168708297e-007	
             20	              0	              0	            400	 1	  1.1674663322e-010	  1.0209471787e-007	  9.1850971973e-007	  1.4026970620e-006	
             24	              0	              0	            400	 1	  1.6545170536e-010	  2.1418999611e-007	  2.3651060671e-006	  4.3349074450e-006	
             28	              0	              0	            400	 1	  1.9966297660e-010	  3.7556522738e-007	  4.9824114111e-006	  1.0651516452e-005	
             32	              0	              0	            400	 1	  2.1251834935e-010	  5.7614278002e-007	  9.0790092144e-006	  2.2277721355e-005	
             36	              0	              0	            400	 1	  2.0434900744e-010	  7.9622250849e-007	  1.4795767141e-005	  4.1183875432e-005	
             40	              0	              0	            400	 1	  1.8060797046e-010	  1.0113644741e-006	  2.2031493478e-005	  6.8832414400e-005	
             44	              0	              0	            400	 1	  1.4864314089e-010	  1.1977458202e-006	  3.0402742550e-005	  1.0549207705e-004	
             48	              0	              0	            400	 1	  1.1507949865e-010	  1.3363448026e-006	  3.9250521897e-005	  1.4963094848e-004	
             52	              0	              0	            400	 1	  8.4490341112e-011	  1.4152890450e-006	  4.7706895620e-005	  1.9767934800e-004	
             56	              0	              0	            400	 1	  5.9212946819e-011	  1.4305045585e-006	  5.4824387158e-005	  2.4439122459e-004	
             60	              0	              0	            400	 1	  3.9824496586e-011	  1.3851401139e-006	  5.9748760297e-005	  2.8381583900e-004	
             64	              0	              0	            400	 1	  2.5817387162e-011	  1.2882112754e-006	  6.1892105580e-005	  3.1061984025e-004	
             68	              0	              0	            400	 1	  1.6190707802e-011	  1.1527648055e-006	  6.1054043501e-005	  3.2132488896e-004	
             72	              0	              0	            400	 1	  9.8513836065e-012	  9.9379330197e-007	  5.7452624965e-005	  3.1504741105e-004	
             76	              0	              0	            400	 1	  5.8300345037e-012	  8.2615621325e-007	  5.1657631719e-005	  2.9352935156e-004	
             80	              0	              0	            400	 1	  3.3626220496e-012	  6.6280206550e-007	  4.4452049320e-005	  2.6052016307e-004	
