     x	y	z	time	in	vx-node	vy-node	vz-node	
    0.00000    	    0.00000    	    0.00000    	    0.00000    	    1	    0.00000    	  -0.391522    	    0.00000    	
    3000.00    	    0.00000    	    0.00000    	    0.00000    	    1	  -4.057097E-02	  -0.394615    	    0.00000    	
    6000.00    	    0.00000    	    0.00000    	    0.00000    	    1	  -7.914071E-02	  -0.403694    	    0.00000    	
    9000.00    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.114593    	  -0.418357    	    0.00000    	
    12000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.145933    	  -0.438071    	    0.00000    	
    15000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.172177    	  -0.462137    	    0.00000    	
    18000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.192447    	  -0.489724    	    0.00000    	
    21000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.205983    	  -0.519871    	    0.00000    	
    24000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.212704    	  -0.551519    	    0.00000    	
    27000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.214808    	  -0.583682    	    0.00000    	
    30000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.220400    	  -0.615962    	    0.00000    	
    33000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.252435    	  -0.649802    	    0.00000    	
    36000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.380291    	  -0.691692    	    0.00000    	
    39000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.477030    	  -0.381945    	    0.00000    	
    42000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.327565    	    0.00000    	    0.00000    	
    45000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -0.113248    	    0.00000    	    0.00000    	
    48000.0    	    0.00000    	    0.00000    	    0.00000    	    1	  -3.131566E-03	    0.00000    	    0.00000    	
    51000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   6.836139E-02	    0.00000    	    0.00000    	
    54000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.125359    	    0.00000    	    0.00000    	
    57000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.175764    	    0.00000    	    0.00000    	
    60000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.220435    	    0.00000    	    0.00000    	
    63000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.257545    	    0.00000    	    0.00000    	
    66000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.284603    	    0.00000    	    0.00000    	
    69000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.299276    	    0.00000    	    0.00000    	
    72000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.299681    	    0.00000    	    0.00000    	
    75000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.284548    	    0.00000    	    0.00000    	
    78000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.253404    	    0.00000    	    0.00000    	
    81000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.206823    	    0.00000    	    0.00000    	
    84000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   0.146649    	    0.00000    	    0.00000    	
    87000.0    	    0.00000    	    0.00000    	    0.00000    	    1	   7.615201E-02	    0.00000    	    0.00000    	
    90000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    0.00000    	    0.00000    	    0.00000    	
    0.00000    	    3000.00    	    0.00000    	    0.00000    	    1	    0.00000    	  -0.347370    	    0.00000    	
    3000.00    	    3000.00    	    0.00000    	    0.00000    	    1	  -4.635434E-02	  -0.350139    	    0.00000    	
    6000.00    	    3000.00    	    0.00000    	    0.00000    	    1	  -9.041243E-02	  -0.358259    	    0.00000    	
    9000.00    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.130891    	  -0.371344    	    0.00000    	
    12000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.166642    	  -0.388877    	    0.00000    	
    15000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.196521    	  -0.410164    	    0.00000    	
    18000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.219484    	  -0.434354    	    0.00000    	
    21000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.234552    	  -0.460380    	    0.00000    	
    24000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.241294    	  -0.486840    	    0.00000    	
    27000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.241124    	  -0.511698    	    0.00000    	
    30000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.239368    	  -0.531433    	    0.00000    	
    33000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.246528    	  -0.538212    	    0.00000    	
    36000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.271982    	  -0.509669    	    0.00000    	
    39000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.270548    	  -0.369692    	    0.00000    	
    42000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -0.188750    	  -0.209902    	    0.00000    	
    45000.0    	    3000.00    	    0.00000    	    0.00000    	    1	  -7.793323E-02	  -0.158433    	    0.00000    	
    48000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   5.833992E-03	  -0.142421    	    0.00000    	
    51000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   7.009025E-02	  -0.138452    	    0.00000    	
    54000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.125210    	  -0.138250    	    0.00000    	
    57000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.175409    	  -0.138719    	    0.00000    	
    60000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.220418    	  -0.138699    	    0.00000    	
    63000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.258017    	  -0.137800    	    0.00000    	
    66000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.285566    	  -0.135951    	    0.00000    	
    69000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.300656    	  -0.133234    	    0.00000    	
    72000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.301348    	  -0.129835    	    0.00000    	
    75000.0    	    3000.00    	    0.00000    	    0.00000    	    1	   0.286319    	  -0.126048    	    0.00000    	
