 x	y	z_datum	Time	Well_no	H2O                           	H                             	O                             	Charge                        	As                            	C                             	Ca                            	Cl                            	Mg                            	Na                            	S                             	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+04	  1	  4.2488461E+01	  3.2268541E-03	  2.2112048E-02	 -7.0031776E-12	  6.1225207E-09	  3.5156615E-03	  2.8523952E-01	  4.0663491E+00	  9.8776281E-02	  3.3074045E+00	  2.9289080E-03	  5.6566858E+00	  5.0339354E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.0000000E+04	  1	  4.6082829E+01	  5.4148288E-03	  2.9093698E-02	  4.2764723E-03	  8.5449129E-09	  7.3554252E-03	  1.9272958E-01	  2.9379338E+00	  8.0522950E-02	  2.4054870E+00	  2.1812592E-03	  5.6093613E+00	  8.4237643E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.0000000E+04	  1	  4.9391883E+01	  8.7296671E-03	  4.4222530E-02	  1.4326289E-02	  7.3601462E-09	  1.4601026E-02	  1.1411760E-01	  1.8907740E+00	  5.5895697E-02	  1.5767877E+00	  1.4873261E-03	  5.6837355E+00	  1.2534720E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.0000000E+04	  1	  5.1800853E+01	  1.2097846E-02	  6.0919826E-02	  2.5421174E-02	  4.2836320E-09	  2.2245689E-02	  6.1606197E-02	  1.1235706E+00	  3.4095818E-02	  9.7166022E-01	  9.7884278E-04	  5.8363472E+00	  1.5987332E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+05	  1	  5.3342522E+01	  1.4831876E-02	  7.1692273E-02	  3.1445991E-02	  2.2297844E-09	  2.6891276E-02	  3.0988280E-02	  6.3257144E-01	  1.8729140E-02	  5.8074633E-01	  6.5342222E-04	  6.0184898E+00	  1.8810394E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2000000E+05	  1	  5.4258078E+01	  1.6757604E-02	  7.5170152E-02	  3.1488133E-02	  1.4737945E-09	  2.8034824E-02	  1.4817785E-02	  3.4354998E-01	  9.5293802E-03	  3.4405944E-01	  4.6190814E-04	  6.2204938E+00	  2.1053259E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4000000E+05	  1	  5.4779517E+01	  1.7780186E-02	  7.3094504E-02	  2.7586487E-02	  1.8687211E-09	  2.6688794E-02	  6.9371868E-03	  1.8230423E-01	  4.6601329E-03	  2.0523293E-01	  3.5511489E-04	  6.4441500E+00	  2.2488556E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.6000000E+05	  1	  5.5071216E+01	  1.7869711E-02	  6.7607915E-02	  2.2019529E-02	  5.0403865E-09	  2.4007126E-02	  3.3065379E-03	  9.5413853E-02	  2.2900849E-03	  1.2476963E-01	  2.9761887E-04	  6.6927338E+00	  2.2738241E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.8000000E+05	  1	  5.5234690E+01	  1.7097581E-02	  6.0434850E-02	  1.6415449E-02	  1.5704554E-08	  2.0858355E-02	  1.6767328E-03	  4.9608775E-02	  1.1861967E-03	  7.8021696E-02	  2.6735424E-04	  6.9686327E+00	  2.1607195E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+05	  1	  5.5327934E+01	  1.5683894E-02	  5.2854841E-02	  1.1641089E-02	  3.9093539E-08	  1.7796451E-02	  9.4445121E-04	  2.5772370E-02	  6.7781499E-04	  5.0482971E-02	  2.5164126E-04	  7.2700333E+00	  1.9373503E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+05	  1	  5.5382470E+01	  1.3978526E-02	  4.5828062E-02	  7.9724277E-03	  7.7786310E-08	  1.5139922E-02	  6.1064991E-04	  1.3445659E-02	  4.4222060E-04	  3.3950154E-02	  2.4354269E-04	  7.5848649E+00	  1.6727386E-02	
