              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	                vol	                sat	                 pv	                por	      trans_cell_no	                 vx	                 vy	                 vz	
              0	              0	              0	         500000	 1	   7.7550241599e+00	   8.1249743017e+00	   3.5403025338e+00	   8.4551410747e+02	   4.2183136061e+02	   1.0160708563e+03	   2.3330392933e+01	   3.4300682960e+00	   5.6250000000e+10	   1.0000000000e+00	   1.2375000000e+10	   2.2000000000e-01	   1.0000000000e+00	   0.0000000000e+00	  -3.9152228270e-01	   0.0000000000e+00	
           3000	              0	              0	         500000	 1	   8.4008928669e+00	   2.3122030807e+00	   9.8623435248e-01	   4.1282903360e+02	   1.0796515051e+02	   6.9761362675e+02	   2.2755939292e+01	   4.3466260203e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.0000000000e+00	  -4.0570972614e-02	  -3.9461467555e-01	   0.0000000000e+00	
           6000	              0	              0	         500000	 1	   8.7211433441e+00	   1.3198385209e+00	   5.4669286538e-01	   2.8778980046e+02	   3.2787116410e+01	   5.9399636250e+02	   2.2618323514e+01	   1.6121326105e+02	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   3.0000000000e+00	  -7.9140708144e-02	  -4.0369357448e-01	   0.0000000000e+00	
           9000	              0	              0	         500000	 1	   8.8400907307e+00	   1.0997440164e+00	   4.4905968463e-01	   2.4417235941e+02	   1.3249923756e+01	   5.5241833875e+02	   2.2582559166e+01	   2.6267382588e+02	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   4.0000000000e+00	  -1.1459280888e-01	  -4.1835688799e-01	   0.0000000000e+00	
          12000	              0	              0	         500000	 1	   8.8675991777e+00	   1.0646440955e+00	   4.3359894666e-01	   2.2664992246e+02	   7.5623315189e+00	   5.3399295267e+02	   2.2572147214e+01	   2.9351627887e+02	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   5.0000000000e+00	  -1.4593309035e-01	  -4.3807141713e-01	   0.0000000000e+00	
          15000	              0	              0	         500000	 1	   8.8406785231e+00	   1.1271100201e+00	   4.6162821931e-01	   2.1693952678e+02	   5.7178980506e+00	   5.2287154028e+02	   2.2568769678e+01	   2.6187457531e+02	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   6.0000000000e+00	  -1.7217654823e-01	  -4.6213681507e-01	   0.0000000000e+00	
          18000	              0	              0	         500000	 1	   8.7855139742e+00	   1.2525898054e+00	   5.1778408981e-01	   2.1081606769e+02	   5.0852210656e+00	   5.1562856689e+02	   2.2567609719e+01	   2.0769075295e+02	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   7.0000000000e+00	  -1.9244694659e-01	  -4.8972438157e-01	   0.0000000000e+00	
          21000	              0	              0	         500000	 1	   8.7010617474e+00	   1.4734617798e+00	   6.1657641227e-01	   2.0583848026e+02	   4.8621843713e+00	   5.0980412872e+02	   2.2567198581e+01	   1.4557034219e+02	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   8.0000000000e+00	  -2.0598305039e-01	  -5.1987089901e-01	   0.0000000000e+00	
          24000	              0	              0	         500000	 1	   8.5885402178e+00	   1.8418532994e+00	   7.8132958956e-01	   2.0121139411e+02	   4.7837324884e+00	   5.0470984441e+02	   2.2567050567e+01	   9.0465769762e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   9.0000000000e+00	  -2.1270417274e-01	  -5.5151929664e-01	   0.0000000000e+00	
          27000	              0	              0	         500000	 1	   8.4552128649e+00	   2.4237617527e+00	   1.0415669629e+00	   1.9666891461e+02	   4.7556426444e+00	   5.0024885588e+02	   2.2566992625e+01	   5.1338803976e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   1.0000000000e+01	  -2.1480785332e-01	  -5.8368215077e-01	   0.0000000000e+00	
