              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
              0	              0	            100	          10000	 1	     5.70623	  1.8310e+04	  3.8779e+03	  1.2239e+05	  2.3186e+05	  2.4886e+02	  4.4676e+02	  7.6516e-01	
           6000	              0	            100	          10000	 1	      5.6782	  1.7035e+04	  3.7352e+03	  1.1535e+05	  2.1836e+05	  2.8194e+02	  4.2110e+02	  8.5497e-01	
          12000	              0	            100	          10000	 1	     5.61198	  1.3741e+04	  3.3080e+03	  9.6492e+04	  1.8221e+05	  4.1512e+02	  3.5287e+02	  1.0831e+00	
          18000	              0	            100	          10000	 1	     5.60692	  9.1134e+03	  2.5351e+03	  6.8151e+04	  1.2808e+05	  7.4468e+02	  2.5217e+02	  1.0732e+00	
          24000	              0	            100	          10000	 1	     5.78097	  4.5834e+03	  1.5060e+03	  3.7995e+04	  7.0579e+04	  1.1533e+03	  1.4790e+02	  5.2614e-01	
          30000	              0	            100	          10000	 1	     6.16209	  1.1964e+03	  4.6320e+02	  1.3084e+04	  2.3130e+04	  1.3376e+03	  6.4094e+01	  1.6158e-01	
          36000	              0	            100	          10000	 1	     6.21939	  8.9808e+02	  3.5424e+02	  1.0825e+04	  1.8770e+04	  1.4216e+03	  5.6378e+01	  1.4044e-01	
          42000	              0	            100	          10000	 1	     6.18947	  9.7063e+02	  3.8066e+02	  1.1548e+04	  2.0081e+04	  1.4706e+03	  5.8538e+01	  1.4598e-01	
          48000	              0	            100	          10000	 1	     6.45017	  3.7542e+02	  1.5472e+02	  5.9979e+03	  9.7869e+03	  1.3799e+03	  4.1341e+01	  1.1105e-01	
          54000	              0	            100	          10000	 1	     6.62218	  2.0165e+02	  8.4842e+01	  4.0485e+03	  6.2439e+03	  1.3356e+03	  3.5765e+01	  1.1427e-01	
          60000	              0	            100	          10000	 1	     6.66492	  1.7313e+02	  7.3137e+01	  3.6911e+03	  5.6005e+03	  1.3285e+03	  3.4800e+01	  1.1785e-01	
          66000	              0	            100	          10000	 1	     6.68398	  1.6219e+02	  6.8629e+01	  3.5468e+03	  5.3432e+03	  1.3230e+03	  3.4420e+01	  1.1988e-01	
          72000	              0	            100	          10000	 1	     6.70161	  1.5272e+02	  6.4716e+01	  3.4199e+03	  5.1171e+03	  1.3182e+03	  3.4092e+01	  1.2199e-01	
          78000	              0	            100	          10000	 1	     6.71961	  1.4360e+02	  6.0939e+01	  3.2961e+03	  4.8965e+03	  1.3139e+03	  3.3778e+01	  1.2436e-01	
          84000	              0	            100	          10000	 1	     6.73795	  1.3497e+02	  5.7357e+01	  3.1761e+03	  4.6835e+03	  1.3092e+03	  3.3477e+01	  1.2702e-01	
