 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.2000000E+04	  1	  3.7988281E-03	  3.0508685E-02	  9.8303764E-09	  4.0136075E-03	  4.5752859E-01	  6.5289372E+00	  1.5830166E-01	  5.3103714E+00	  4.6488401E-03	 -4.2809142E-11	  5.7193416E+00	  3.7970528E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.4000000E+04	  1	  4.1512378E-03	  3.0837365E-02	  1.0397654E-08	  4.4107622E-03	  4.3403186E-01	  6.2375764E+00	  1.5374243E-01	  5.0753466E+00	  4.4518668E-03	  3.5704480E-04	  5.6225604E+00	  4.0579857E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.6000000E+04	  1	  5.0446138E-03	  3.2117743E-02	  1.1311133E-08	  5.3009944E-03	  3.9690917E-01	  5.7764296E+00	  1.4577518E-01	  4.7052575E+00	  4.1401101E-03	  1.3072769E-03	  5.5195299E+00	  4.6091219E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  5.8000000E+04	  1	  6.7033629E-03	  3.4879367E-02	  1.2578740E-08	  6.8067343E-03	  3.5068405E-01	  5.1980322E+00	  1.3499848E-01	  4.2427432E+00	  3.7490867E-03	  3.0608924E-03	  5.4919425E+00	  5.5169039E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.0000000E+04	  1	  9.3774918E-03	  3.9640408E-02	  1.3842962E-08	  9.0441072E-03	  3.0096721E-01	  4.5649903E+00	  1.2225075E-01	  3.7378661E+00	  3.3211210E-03	  5.8980904E-03	  5.5103018E+00	  6.7712402E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.2000000E+04	  1	  1.3193235E-02	  4.6597007E-02	  1.4579195E-08	  1.2034184E-02	  2.5243248E-01	  3.9306143E+00	  1.0847447E-01	  3.2328506E+00	  2.8922534E-03	  9.9941265E-03	  5.5475199E+00	  8.2712306E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.4000000E+04	  1	  1.7990263E-02	  5.5283342E-02	  1.4251592E-08	  1.5584591E-02	  2.0806486E-01	  3.3321517E+00	  9.4541463E-02	  2.7569188E+00	  2.4876649E-03	  1.5186078E-02	  5.5895012E+00	  9.8175539E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.6000000E+04	  1	  2.3240863E-02	  6.4542861E-02	  1.2783201E-08	  1.9269067E-02	  1.6924514E-01	  2.7912378E+00	  8.1112429E-02	  2.3268126E+00	  2.1219821E-03	  2.0829557E-02	  5.6350655E+00	  1.1215181E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.8000000E+04	  1	  2.8271523E-02	  7.3104753E-02	  1.0711422E-08	  2.2628679E-02	  1.3626216E-01	  2.3172805E+00	  6.8618330E-02	  1.9496010E+00	  1.8015650E-03	  2.6094640E-02	  5.6863805E+00	  1.2381932E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  7.0000000E+04	  1	  3.2558849E-02	  8.0130534E-02	  8.7858702E-09	  2.5370708E-02	  1.0881764E-01	  1.9113422E+00	  5.7317849E-02	  1.6258422E+00	  1.5271319E-03	  3.0384879E-02	  5.7434767E+00	  1.3329548E-02	
