 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.0000000e+03	  1	  3.7608074e-03	  3.0659237e-02	  9.9976537e-09	  3.9607621e-03	  4.6528200e-01	  6.6400337e+00	  1.6097181e-01	  5.4007325e+00	  4.7239465e-03	 -4.3537634e-11	  5.7131836e+00	  3.7585963e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  1.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.0000000e+03	  1	  3.7651565e-03	  3.0660006e-02	  1.0011500e-08	  3.9667005e-03	  4.6480209e-01	  6.6341775e+00	  1.6088834e-01	  5.3960036e+00	  4.7199875e-03	  3.8531572e-06	  5.7123139e+00	  3.7630762e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  2.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.2000000e+03	  1	  3.7659069e-03	  3.0661863e-02	  1.0022825e-08	  3.9688251e-03	  4.6465444e-01	  6.6327641e+00	  1.6088333e-01	  5.3948969e+00	  4.7190319e-03	  5.2880528e-06	  5.7126198e+00	  3.7650352e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  2.2000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.3000000e+03	  1	  3.7663746e-03	  3.0662002e-02	  1.0025322e-08	  3.9697764e-03	  4.6457667e-01	  6.6318660e+00	  1.6086972e-01	  5.3941817e+00	  4.7184248e-03	  5.8806997e-06	  5.7125828e+00	  3.7658016e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  2.3000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  3.0000000e+03	  1	  3.7781712e-03	  3.0668661e-02	  1.0055368e-08	  3.9855430e-03	  4.6345071e-01	  6.6180654e+00	  1.6065275e-01	  5.3830715e+00	  4.7090949e-03	  1.7445025e-05	  5.7092887e+00	  3.7774190e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  3.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  3.1000000e+03	  1	  3.7767973e-03	  3.0666436e-02	  1.0069644e-08	  3.9871353e-03	  4.6321723e-01	  6.6158607e+00	  1.6063227e-01	  5.3813736e+00	  4.7076045e-03	  1.7053553e-05	  5.7115545e+00	  3.7796615e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  3.1000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  3.2000000e+03	  1	  3.7782789e-03	  3.0667047e-02	  1.0076309e-08	  3.9897655e-03	  4.6300896e-01	  6.6134325e+00	  1.6059546e-01	  5.3794361e+00	  4.7059629e-03	  1.8752501e-05	  5.7113946e+00	  3.7817535e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  3.2000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  4.0000000e+03	  1	  3.8123946e-03	  3.0695638e-02	  1.0151964e-08	  4.0331277e-03	  4.6021153e-01	  6.5791372e+00	  1.6003788e-01	  5.3518704e+00	  4.6827777e-03	  5.3294233e-05	  5.7010209e+00	  3.8131818e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  4.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  5.0000000e+03	  1	  3.8884273e-03	  3.0785033e-02	  1.0333851e-08	  4.1279464e-03	  4.5475017e-01	  6.5140666e+00	  1.5902764e-01	  5.2998053e+00	  4.6387870e-03	  1.3511661e-04	  5.6791407e+00	  3.8816257e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  5.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.0000000e+03	  1	  3.9651741e-03	  3.0868466e-02	  1.0595027e-08	  4.2350222e-03	  4.4794079e-01	  6.4341032e+00	  1.5778990e-01	  5.2359938e+00	  4.5847280e-03	  2.1514449e-04	  5.6762482e+00	  3.9673552e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  6.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.1000000e+03	  1	  3.9369857e-03	  3.0807330e-02	  1.0638972e-08	  4.2225967e-03	  4.4698487e-01	  6.4259115e+00	  1.5770087e-01	  5.2298511e+00	  4.5791900e-03	  1.8629043e-04	  5.6974961e+00	  3.9664015e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  6.1000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.2000000e+03	  1	  3.9447150e-03	  3.0815166e-02	  1.0664267e-08	  4.2335746e-03	  4.4626447e-01	  6.4175105e+00	  1.5756701e-01	  5.2231642e+00	  4.5735106e-03	  1.9459426e-04	  5.6968703e+00	  3.9749691e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  6.2000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  7.0000000e+03	  1	  4.0525260e-03	  3.0961827e-02	  1.0890558e-08	  4.3578142e-03	  4.4003860e-01	  6.3417807e+00	  1.5634007e-01	  5.1624402e+00	  4.5223137e-03	  3.0722052e-04	  5.6751604e+00	  4.0649898e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  7.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  8.0000000e+03	  1	  4.1718896e-03	  3.1111453e-02	  1.1190802e-08	  4.5050888e-03	  4.3183234e-01	  6.2437323e+00	  1.5476815e-01	  5.0840509e+00	  4.4560285e-03	  4.3185313e-04	  5.6645206e+00	  4.1755673e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  8.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  8.1000000e+03	  1	  4.1414807e-03	  3.1044249e-02	  1.1235953e-08	  4.4922920e-03	  4.3070470e-01	  6.2339099e+00	  1.5463680e-01	  5.0767016e+00	  4.4493881e-03	  4.0105493e-04	  5.6835531e+00	  4.1748286e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  8.1000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  8.2000000e+03	  1	  4.1531126e-03	  3.1059070e-02	  1.1267042e-08	  4.5070327e-03	  4.2987486e-01	  6.2240666e+00	  1.5447741e-01	  5.0688469e+00	  4.4427335e-03	  4.1335083e-04	  5.6828505e+00	  4.1860572e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  8.2000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  9.0000000e+03	  1	  4.2803046e-03	  3.1244272e-02	  1.1503284e-08	  4.6454594e-03	  4.2365154e-01	  6.1469266e+00	  1.5322425e-01	  5.0067857e+00	  4.3905833e-03	  5.4506733e-04	  5.6646340e+00	  4.2845082e-03	
