     x	y	time	wt_elevation	
          0    	          0    	          0    	    330.554    	
    6000.00    	          0    	          0    	    330.906    	
    12000.0    	          0    	          0    	    331.969    	
    18000.0    	          0    	          0    	    333.748    	
    24000.0    	          0    	          0    	    336.115    	
    30000.0    	          0    	          0    	    338.191    	
    36000.0    	          0    	          0    	    334.689    	
    42000.0    	          0    	          0    	    321.458    	
    48000.0    	          0    	          0    	    316.312    	
    54000.0    	          0    	          0    	    310.410    	
    60000.0    	          0    	          0    	    304.508    	
    66000.0    	          0    	          0    	    298.607    	
    72000.0    	          0    	          0    	    292.705    	
    78000.0    	          0    	          0    	    286.803    	
    84000.0    	          0    	          0    	    280.902    	
    90000.0    	          0    	          0    	    276.475    	
          0    	    6000.00    	          0    	    333.356    	
    6000.00    	    6000.00    	          0    	    333.807    	
    12000.0    	    6000.00    	          0    	    335.183    	
    18000.0    	    6000.00    	          0    	    337.552    	
    24000.0    	    6000.00    	          0    	    341.095    	
    30000.0    	    6000.00    	          0    	    347.022    	
    36000.0    	    6000.00    	          0    	    343.780    	
    42000.0    	    6000.00    	          0    	    326.148    	
    48000.0    	    6000.00    	          0    	    340.084    	
    54000.0    	    6000.00    	          0    	    344.330    	
    60000.0    	    6000.00    	          0    	    342.781    	
    66000.0    	    6000.00    	          0    	    338.261    	
    72000.0    	    6000.00    	          0    	    332.385    	
    78000.0    	    6000.00    	          0    	    325.772    	
    84000.0    	    6000.00    	          0    	    319.526    	
    90000.0    	    6000.00    	          0    	    316.936    	
          0    	    12000.0    	          0    	    335.238    	
    6000.00    	    12000.0    	          0    	    335.764    	
    12000.0    	    12000.0    	          0    	    337.370    	
    18000.0    	    12000.0    	          0    	    340.147    	
    24000.0    	    12000.0    	          0    	    344.304    	
    30000.0    	    12000.0    	          0    	    352.353    	
    36000.0    	    12000.0    	          0    	    352.197    	
    42000.0    	    12000.0    	          0    	    332.049    	
    48000.0    	    12000.0    	          0    	    355.991    	
    54000.0    	    12000.0    	          0    	    363.333    	
    60000.0    	    12000.0    	          0    	    362.103    	
    66000.0    	    12000.0    	          0    	    356.362    	
    72000.0    	    12000.0    	          0    	    347.911    	
    78000.0    	    12000.0    	          0    	    339.047    	
    84000.0    	    12000.0    	          0    	    328.757    	
    90000.0    	    12000.0    	          0    	    325.607    	
          0    	    18000.0    	          0    	    336.061    	
    6000.00    	    18000.0    	          0    	    336.629    	
    12000.0    	    18000.0    	          0    	    338.366    	
    18000.0    	    18000.0    	          0    	    341.332    	
    24000.0    	    18000.0    	          0    	    345.355    	
    30000.0    	    18000.0    	          0    	    348.000    	
    36000.0    	    18000.0    	          0    	    361.630    	
    42000.0    	    18000.0    	          0    	    363.811    	
    48000.0    	    18000.0    	          0    	    370.067    	
    54000.0    	    18000.0    	          0    	    372.542    	
    60000.0    	    18000.0    	          0    	    367.574    	
    66000.0    	    18000.0    	          0    	    357.466    	
    72000.0    	    18000.0    	          0    	    347.564    	
    78000.0    	    18000.0    	          0    	    335.523    	
    84000.0    	    18000.0    	          0    	    309.627    	
    90000.0    	    18000.0    	          0    	    307.199    	
          0    	    24000.0    	          0    	    335.748    	
    6000.00    	    24000.0    	          0    	    336.320    	
    12000.0    	    24000.0    	          0    	    338.113    	
    18000.0    	    24000.0    	          0    	    341.404    	
    24000.0    	    24000.0    	          0    	    346.938    	
    30000.0    	    24000.0    	          0    	    358.701    	
    36000.0    	    24000.0    	          0    	    367.493    	
    42000.0    	    24000.0    	          0    	    372.553    	
    48000.0    	    24000.0    	          0    	    375.804    	
    54000.0    	    24000.0    	          0    	    373.960    	
    60000.0    	    24000.0    	          0    	    362.504    	
    66000.0    	    24000.0    	          0    	    336.627    	
    72000.0    	    24000.0    	          0    	    331.942    	
    78000.0    	    24000.0    	          0    	    323.000    	
    84000.0    	    24000.0    	          0    	    314.058    	
    90000.0    	    24000.0    	          0    	    309.374    	
          0    	    30000.0    	          0    	    334.286    	
    6000.00    	    30000.0    	          0    	    334.785    	
    12000.0    	    30000.0    	          0    	    336.338    	
    18000.0    	    30000.0    	          0    	    339.183    	
    24000.0    	    30000.0    	          0    	    344.055    	
    30000.0    	    30000.0    	          0    	    355.239    	
    36000.0    	    30000.0    	          0    	    365.576    	
    42000.0    	    30000.0    	          0    	    371.785    	
    48000.0    	    30000.0    	          0    	    374.108    	
    54000.0    	    30000.0    	          0    	    369.791    	
    60000.0    	    30000.0    	          0    	    347.750    	
    66000.0    	    30000.0    	          0    	    341.058    	
    72000.0    	    30000.0    	          0    	    336.374    	
    78000.0    	    30000.0    	          0    	    340.219    	
    84000.0    	    30000.0    	          0    	    338.230    	
    90000.0    	    30000.0    	          0    	    336.883    	
          0    	    36000.0    	          0    	    331.814    	
    6000.00    	    36000.0    	          0    	    332.177    	
    12000.0    	    36000.0    	          0    	    333.241    	
    18000.0    	    36000.0    	          0    	    334.874    	
    24000.0    	    36000.0    	          0    	    336.488    	
    30000.0    	    36000.0    	          0    	    333.854    	
    36000.0    	    36000.0    	          0    	    356.016    	
    42000.0    	    36000.0    	          0    	    363.569    	
    48000.0    	    36000.0    	          0    	    366.033    	
    54000.0    	    36000.0    	          0    	    363.644    	
    60000.0    	    36000.0    	          0    	    355.518    	
    66000.0    	    36000.0    	          0    	    348.360    	
    72000.0    	    36000.0    	          0    	    344.517    	
    78000.0    	    36000.0    	          0    	    343.257    	
    84000.0    	    36000.0    	          0    	    341.703    	
    90000.0    	    36000.0    	          0    	    340.912    	
          0    	    42000.0    	          0    	    328.592    	
    6000.00    	    42000.0    	          0    	    328.841    	
    12000.0    	    42000.0    	          0    	    329.534    	
    18000.0    	    42000.0    	          0    	    330.475    	
    24000.0    	    42000.0    	          0    	    331.222    	
    30000.0    	    42000.0    	          0    	    330.417    	
    36000.0    	    42000.0    	          0    	    342.739    	
    42000.0    	    42000.0    	          0    	    346.629    	
    48000.0    	    42000.0    	          0    	    347.156    	
    54000.0    	    42000.0    	          0    	    345.002    	
    60000.0    	    42000.0    	          0    	    340.280    	
    66000.0    	    42000.0    	          0    	    335.626    	
    72000.0    	    42000.0    	          0    	    331.793    	
    78000.0    	    42000.0    	          0    	    329.000    	
    84000.0    	    42000.0    	          0    	    326.710    	
    90000.0    	    42000.0    	          0    	    325.585    	
          0    	    48000.0    	          0    	    324.835    	
    6000.00    	    48000.0    	          0    	    325.021    	
    12000.0    	    48000.0    	          0    	    325.530    	
    18000.0    	    48000.0    	          0    	    326.190    	
    24000.0    	    48000.0    	          0    	    326.683    	
    30000.0    	    48000.0    	          0    	    326.220    	
    36000.0    	    48000.0    	          0    	    321.250    	
    42000.0    	    48000.0    	          0    	    316.667    	
    48000.0    	    48000.0    	          0    	    312.083    	
    54000.0    	    48000.0    	          0    	    307.500    	
    60000.0    	    48000.0    	          0    	    302.917    	
    66000.0    	    48000.0    	          0    	    298.333    	
    72000.0    	    48000.0    	          0    	    293.750    	
