              x	              y	              z	           time	in	 Pore_volume	          Na	          Cl	           K	          Ca	
              0              0           0.08	           0.01	 1	  3.0000e-02	  1.0000e+00	  0  2.0000e-01	  0 
              0              0           0.08	           0.02	 1	  6.0000e-02	  1.0000e+00	  0  2.0000e-01	  0 
              0              0           0.08	           0.03	 1	  9.0000e-02	  1.0000e+00	  0  2.0000e-01	  0 
              0              0           0.08	           0.04	 1	  1.2000e-01	  1.0000e+00	  0  2.0000e-01	  0 
              0              0           0.08	           0.05	 1	  1.5000e-01	  1.0000e+00	  0  2.0000e-01	  0 
              0              0           0.08	           0.06	 1	  1.8000e-01	  1.0000e+00	  5.0501e-11	  2.0000e-01	  0 
              0              0           0.08	           0.07	 1	  2.1000e-01	  1.0000e+00	  8.8239e-10	  2.0000e-01	  0 
              0              0           0.08	           0.08	 1	  2.4000e-01	  1.0000e+00	  9.7934e-09	  2.0000e-01	  0 
              0              0           0.08	           0.09	 1	  2.7000e-01	  1.0000e+00	  8.1935e-08	  2.0000e-01	  0 
              0              0           0.08	            0.1	 1	  3.0000e-01	  1.0000e+00	  5.3861e-07	  2.0000e-01	  0 
              0              0           0.08	           0.11	 1	  3.3000e-01	  1.0000e+00	  2.8655e-06	  2.0000e-01	  0 
              0              0           0.08	           0.12	 1	  3.6000e-01	  1.0000e+00	  1.2648e-05	  2.0000e-01	  0 
              0              0           0.08	           0.13	 1	  3.9000e-01	  1.0000e+00	  4.7316e-05	  2.0000e-01	  0 
              0              0           0.08	           0.14	 1	  4.2000e-01	  1.0000e+00	  1.5286e-04	  2.0000e-01	  0 
              0              0           0.08	           0.15	 1	  4.5000e-01	  1.0000e+00	  4.3355e-04	  2.0000e-01	  0 
              0              0           0.08	           0.16	 1	  4.8000e-01	  1.0000e+00	  1.0953e-03	  2.0000e-01	  0 
              0              0           0.08	           0.17	 1	  5.1000e-01	  1.0000e+00	  2.4970e-03	  2.0000e-01	  0 
              0              0           0.08	           0.18	 1	  5.4000e-01	  1.0000e+00	  5.1951e-03	  2.0000e-01	  0 
              0              0           0.08	           0.19	 1	  5.7000e-01	  1.0000e+00	  9.9641e-03	  2.0000e-01	  0 
              0              0           0.08	            0.2	 1	  6.0000e-01	  1.0000e+00	  1.7776e-02	  2.0000e-01	  0 
              0              0           0.08	           0.21	 1	  6.3000e-01	  1.0000e+00	  2.9731e-02	  2.0000e-01	  0 
              0              0           0.08	           0.22	 1	  6.6000e-01	  1.0000e+00	  4.6944e-02	  2.0000e-01	  0 
              0              0           0.08	           0.23	 1	  6.9000e-01	  1.0000e+00	  7.0411e-02	  2.0000e-01	  0 
              0              0           0.08	           0.24	 1	  7.2000e-01	  1.0000e+00	  1.0087e-01	  2.0000e-01	  0 
              0              0           0.08	           0.25	 1	  7.5000e-01	  9.9999e-01	  1.3871e-01	  2.0001e-01	  0 
              0              0           0.08	           0.26	 1	  7.8000e-01	  9.9999e-01	  1.8386e-01	  2.0001e-01	  0 
              0              0           0.08	           0.27	 1	  8.1000e-01	  9.9998e-01	  2.3584e-01	  2.0002e-01	  0 
              0              0           0.08	           0.28	 1	  8.4000e-01	  9.9996e-01	  2.9376e-01	  2.0004e-01	  0 
              0              0           0.08	           0.29	 1	  8.7000e-01	  9.9993e-01	  3.5642e-01	  2.0007e-01	  0 
              0              0           0.08	            0.3	 1	  9.0000e-01	  9.9987e-01	  4.2241e-01	  2.0013e-01	  0 
              0              0           0.08	           0.31	 1	  9.3000e-01	  9.9979e-01	  4.9020e-01	  2.0021e-01	  0 
              0              0           0.08	           0.32	 1	  9.6000e-01	  9.9965e-01	  5.5832e-01	  2.0035e-01	  1.5952e-14	
              0              0           0.08	           0.33	 1	  9.9000e-01	  9.9943e-01	  6.2536e-01	  2.0057e-01	  7.2383e-14	
              0              0           0.08	           0.34	 1	  1.0200e+00	  9.9909e-01	  6.9011e-01	  2.0091e-01	  1.9747e-13	
              0              0           0.08	           0.35	 1	  1.0500e+00	  9.9855e-01	  7.5158e-01	  2.0145e-01	  4.7527e-13	
              0              0           0.08	           0.36	 1	  1.0800e+00	  9.9773e-01	  8.0901e-01	  2.0227e-01	  1.0665e-12	
              0              0           0.08	           0.37	 1	  1.1100e+00	  9.9647e-01	  8.6189e-01	  2.0353e-01	  2.4043e-12	
              0              0           0.08	           0.38	 1	  1.1400e+00	  9.9456e-01	  9.0991e-01	  2.0544e-01	  5.3306e-12	
              0              0           0.08	           0.39	 1	  1.1700e+00	  9.9169e-01	  9.5299e-01	  2.0831e-01	  1.1706e-11	
              0              0           0.08	            0.4	 1	  1.2000e+00	  9.8742e-01	  9.9117e-01	  2.1258e-01	  2.6364e-11	
              0              0           0.08	           0.41	 1	  1.2300e+00	  9.8109e-01	  1.0247e+00	  2.1891e-01	  5.8575e-11	
              0              0           0.08	           0.42	 1	  1.2600e+00	  9.7181e-01	  1.0537e+00	  2.2819e-01	  1.3239e-10	
              0              0           0.08	           0.43	 1	  1.2900e+00	  9.5832e-01	  1.0787e+00	  2.4168e-01	  3.0677e-10	
              0              0           0.08	           0.44	 1	  1.3200e+00	  9.3896e-01	  1.1001e+00	  2.6104e-01	  7.0979e-10	
              0              0           0.08	           0.45	 1	  1.3500e+00	  9.1165e-01	  1.1181e+00	  2.8835e-01	  1.7153e-09	
              0              0           0.08	           0.46	 1	  1.3800e+00	  8.7411e-01	  1.1332e+00	  3.2589e-01	  4.2415e-09	
              0              0           0.08	           0.47	 1	  1.4100e+00	  8.2436e-01	  1.1458e+00	  3.7564e-01	  1.0667e-08	
              0              0           0.08	           0.48	 1	  1.4400e+00	  7.6176e-01	  1.1563e+00	  4.3824e-01	  2.8057e-08	
              0              0           0.08	           0.49	 1	  1.4700e+00	  6.8797e-01	  1.1649e+00	  5.1203e-01	  7.3442e-08	
              0              0           0.08	            0.5	 1	  1.5000e+00	  6.0710e-01	  1.1719e+00	  5.9290e-01	  1.9244e-07	
              0              0           0.08	           0.51	 1	  1.5300e+00	  5.2451e-01	  1.1776e+00	  6.7549e-01	  5.0359e-07	
              0              0           0.08	           0.52	 1	  1.5600e+00	  4.4510e-01	  1.1822e+00	  7.5490e-01	  1.2633e-06	
              0              0           0.08	           0.53	 1	  1.5900e+00	  3.7221e-01	  1.1859e+00	  8.2778e-01	  3.1452e-06	
              0              0           0.08	           0.54	 1	  1.6200e+00	  3.0757e-01	  1.1889e+00	  8.9241e-01	  7.6424e-06	
              0              0           0.08	           0.55	 1	  1.6500e+00	  2.5164e-01	  1.1913e+00	  9.4833e-01	  1.7968e-05	
              0              0           0.08	           0.56	 1	  1.6800e+00	  2.0409e-01	  1.1932e+00	  9.9582e-01	  4.2627e-05	
              0              0           0.08	           0.57	 1	  1.7100e+00	  1.6418e-01	  1.1947e+00	  1.0356e+00	  9.9224e-05	
              0              0           0.08	           0.58	 1	  1.7400e+00	  1.3096e-01	  1.1959e+00	  1.0686e+00	  2.3391e-04	
              0              0           0.08	           0.59	 1	  1.7700e+00	  1.0345e-01	  1.1968e+00	  1.0954e+00	  5.8925e-04	
              0              0           0.08	            0.6	 1	  1.8000e+00	  8.0677e-02	  1.1975e+00	  1.1160e+00	  1.6485e-03	
              0              0           0.08	           0.61	 1	  1.8300e+00	  6.1747e-02	  1.1981e+00	  1.1246e+00	  6.8413e-03	
              0              0           0.08	           0.62	 1	  1.8600e+00	  4.5043e-02	  1.1985e+00	  1.0077e+00	  7.3640e-02	
              0              0           0.08	           0.63	 1	  1.8900e+00	  3.0849e-02	  1.1989e+00	  6.1390e-01	  2.7762e-01	
              0              0           0.08	           0.64	 1	  1.9200e+00	  2.1835e-02	  1.1991e+00	  4.0418e-01	  3.8699e-01	
              0              0           0.08	           0.65	 1	  1.9500e+00	  1.5657e-02	  1.1993e+00	  2.7892e-01	  4.5271e-01	
              0              0           0.08	           0.66	 1	  1.9800e+00	  1.1301e-02	  1.1995e+00	  1.9632e-01	  4.9619e-01	
              0              0           0.08	           0.67	 1	  2.0100e+00	  8.1910e-03	  1.1996e+00	  1.3985e-01	  5.2598e-01	
              0              0           0.08	           0.68	 1	  2.0400e+00	  5.9545e-03	  1.1997e+00	  1.0044e-01	  5.4680e-01	
              0              0           0.08	           0.69	 1	  2.0700e+00	  4.3380e-03	  1.1998e+00	  7.2575e-02	  5.6154e-01	
              0              0           0.08	            0.7	 1	  2.1000e+00	  3.1656e-03	  1.1998e+00	  5.2683e-02	  5.7208e-01	
              0              0           0.08	           0.71	 1	  2.1300e+00	  2.3129e-03	  1.1999e+00	  3.8383e-02	  5.7965e-01	
              0              0           0.08	           0.72	 1	  2.1600e+00	  1.6916e-03	  1.1999e+00	  2.8047e-02	  5.8513e-01	
              0              0           0.08	           0.73	 1	  2.1900e+00	  1.2382e-03	  1.1999e+00	  2.0544e-02	  5.8911e-01	
              0              0           0.08	           0.74	 1	  2.2200e+00	  9.0685e-04	  1.1999e+00	  1.5079e-02	  5.9201e-01	
              0              0           0.08	           0.75	 1	  2.2500e+00	  6.6451e-04	  1.2000e+00	  1.1087e-02	  5.9412e-01	
              0              0           0.08	           0.76	 1	  2.2800e+00	  4.8712e-04	  1.2000e+00	  8.1633e-03	  5.9567e-01	
              0              0           0.08	           0.77	 1	  2.3100e+00	  3.5719e-04	  1.2000e+00	  6.0182e-03	  5.9681e-01	
              0              0           0.08	           0.78	 1	  2.3400e+00	  2.6197e-04	  1.2000e+00	  4.4416e-03	  5.9765e-01	
              0              0           0.08	           0.79	 1	  2.3700e+00	  1.9217e-04	  1.2000e+00	  3.2811e-03	  5.9826e-01	
              0              0           0.08	            0.8	 1	  2.4000e+00	  1.4099e-04	  1.2000e+00	  2.4258e-03	  5.9872e-01	
              0              0           0.08	           0.81	 1	  2.4300e+00	  1.0344e-04	  1.2000e+00	  1.7947e-03	  5.9905e-01	
              0              0           0.08	           0.82	 1	  2.4600e+00	  7.5900e-05	  1.2000e+00	  1.3287e-03	  5.9930e-01	
              0              0           0.08	           0.83	 1	  2.4900e+00	  5.5691e-05	  1.2000e+00	  9.8420e-04	  5.9948e-01	
              0              0           0.08	           0.84	 1	  2.5200e+00	  4.0862e-05	  1.2000e+00	  7.2939e-04	  5.9961e-01	
              0              0           0.08	           0.85	 1	  2.5500e+00	  2.9981e-05	  1.2000e+00	  5.4079e-04	  5.9971e-01	
              0              0           0.08	           0.86	 1	  2.5800e+00	  2.1996e-05	  1.2000e+00	  4.0111e-04	  5.9979e-01	
              0              0           0.08	           0.87	 1	  2.6100e+00	  1.6136e-05	  1.2000e+00	  2.9761e-04	  5.9984e-01	
              0              0           0.08	           0.88	 1	  2.6400e+00	  1.1837e-05	  1.2000e+00	  2.2089e-04	  5.9988e-01	
              0              0           0.08	           0.89	 1	  2.6700e+00	  8.6821e-06	  1.2000e+00	  1.6399e-04	  5.9991e-01	
              0              0           0.08	            0.9	 1	  2.7000e+00	  6.3674e-06	  1.2000e+00	  1.2178e-04	  5.9994e-01	
              0              0           0.08	           0.91	 1	  2.7300e+00	  4.6693e-06	  1.2000e+00	  9.0451e-05	  5.9995e-01	
              0              0           0.08	           0.92	 1	  2.7600e+00	  3.4237e-06	  1.2000e+00	  6.7196e-05	  5.9996e-01	
              0              0           0.08	           0.93	 1	  2.7900e+00	  2.5100e-06	  1.2000e+00	  4.9928e-05	  5.9997e-01	
              0              0           0.08	           0.94	 1	  2.8200e+00	  1.8399e-06	  1.2000e+00	  3.7104e-05	  5.9998e-01	
              0              0           0.08	           0.95	 1	  2.8500e+00	  1.3485e-06	  1.2000e+00	  2.7578e-05	  5.9999e-01	
              0              0           0.08	           0.96	 1	  2.8800e+00	  9.8822e-07	  1.2000e+00	  2.0500e-05	  5.9999e-01	
              0              0           0.08	           0.97	 1	  2.9100e+00	  7.2408e-07	  1.2000e+00	  1.5240e-05	  5.9999e-01	
              0              0           0.08	           0.98	 1	  2.9400e+00	  5.3047e-07	  1.2000e+00	  1.1331e-05	  5.9999e-01	
              0              0           0.08	           0.99	 1	  2.9700e+00	  3.8857e-07	  1.2000e+00	  8.4253e-06	  6.0000e-01	
              0              0           0.08	              1	 1	  3.0000e+00	  2.8458e-07	  1.2000e+00	  6.2652e-06	  6.0000e-01	
