              x	              y	              z	           time	in	        Pore_volume	                 Na	                 Cl	                  K	                 Ca	
              0	              0	           0.08	           0.01	 1	   0.0000000000e+00	   1.0000000000e+00	   0.0000000000e+00	   2.0000000000e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.02	 1	   0.0000000000e+00	   1.0000000000e+00	   0.0000000000e+00	   2.0000000000e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.03	 1	   0.0000000000e+00	   1.0000000000e+00	   0.0000000000e+00	   2.0000000000e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.04	 1	   0.0000000000e+00	   1.0000000000e+00	   7.1611520123e-14	   2.0000000000e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.05	 1	   0.0000000000e+00	   1.0000000000e+00	   2.6621718556e-12	   2.0000000000e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.06	 1	   0.0000000000e+00	   1.0000000000e+00	   5.8866939766e-11	   2.0000000000e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.07	 1	   0.0000000000e+00	   1.0000000000e+00	   8.9230986768e-10	   2.0000000000e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.08	 1	   0.0000000000e+00	   1.0000000000e+00	   9.8286705833e-09	   2.0000000002e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.09	 1	   0.0000000000e+00	   1.0000000002e+00	   8.2180817505e-08	   2.0000000007e-01	   0.0000000000e+00	
              0	              0	           0.08	            0.1	 1	   0.0000000000e+00	   1.0000000002e+00	   5.4020058879e-07	   2.0000000009e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.11	 1	   0.0000000000e+00	   1.0000000008e+00	   2.8739556918e-06	   2.0000000024e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.12	 1	   0.0000000000e+00	   1.0000000031e+00	   1.2684978564e-05	   2.0000000077e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.13	 1	   0.0000000000e+00	   1.0000000095e+00	   4.7454412606e-05	   2.0000000230e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.14	 1	   0.0000000000e+00	   1.0000000230e+00	   1.5330832203e-04	   2.0000000575e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.15	 1	   0.0000000000e+00	   1.0000000398e+00	   4.3481870475e-04	   2.0000001112e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.16	 1	   0.0000000000e+00	   1.0000000241e+00	   1.0985506148e-03	   2.0000001302e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.17	 1	   0.0000000000e+00	   1.0000000102e+00	   2.5043110720e-03	   2.0000002272e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.18	 1	   0.0000000000e+00	   9.9999998279e-01	   5.2102292105e-03	   2.0000004654e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.19	 1	   0.0000000000e+00	   9.9999992510e-01	   9.9931015629e-03	   2.0000010083e-01	   0.0000000000e+00	
              0	              0	           0.08	            0.2	 1	   0.0000000000e+00	   9.9999980411e-01	   1.7827428769e-02	   2.0000021863e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.21	 1	   0.0000000000e+00	   9.9999955568e-01	   2.9815756821e-02	   2.0000046409e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.22	 1	   0.0000000000e+00	   9.9999905932e-01	   4.7076252068e-02	   2.0000095777e-01	   0.0000000000e+00	
              0	              0	           0.08	           0.23	 1	   0.0000000000e+00	   9.9999809505e-01	   7.0605882660e-02	   2.0000191965e-01	   1.3045508722e-17	
              0	              0	           0.08	           0.24	 1	   0.0000000000e+00	   9.9999627214e-01	   1.0114473037e-01	   2.0000374049e-01	   6.3447579959e-17	
              0	              0	           0.08	           0.25	 1	   0.0000000000e+00	   9.9999291320e-01	   1.3906682379e-01	   2.0000709769e-01	   1.6992523822e-16	
              0	              0	           0.08	           0.26	 1	   0.0000000000e+00	   9.9998686968e-01	   1.8431628225e-01	   2.0001313976e-01	   4.0873278257e-16	
              0	              0	           0.08	           0.27	 1	   0.0000000000e+00	   9.9997623292e-01	   2.3639723915e-01	   2.0002377536e-01	   9.3396460585e-16	
              0	              0	           0.08	           0.28	 1	   0.0000000000e+00	   9.9995788811e-01	   2.9441526794e-01	   2.0004211924e-01	   2.0499259638e-15	
              0	              0	           0.08	           0.29	 1	   0.0000000000e+00	   9.9992683475e-01	   3.5715952592e-01	   2.0007317189e-01	   4.5796578052e-15	
              0	              0	           0.08	            0.3	 1	   0.0000000000e+00	   9.9987516227e-01	   4.2320997752e-01	   2.0012484383e-01	   1.0020806591e-14	
              0	              0	           0.08	           0.31	 1	   0.0000000000e+00	   9.9979052074e-01	   4.9105301480e-01	   2.0020948498e-01	   2.1796509211e-14	
              0	              0	           0.08	           0.32	 1	   0.0000000000e+00	   9.9965385560e-01	   5.5919080024e-01	   2.0034614985e-01	   4.8363929430e-14	
              0	              0	           0.08	           0.33	 1	   0.0000000000e+00	   9.9943607577e-01	   6.2623352629e-01	   2.0056392951e-01	   1.0475673975e-13	
              0	              0	           0.08	           0.34	 1	   0.0000000000e+00	   9.9909318248e-01	   6.9096831748e-01	   2.0090682270e-01	   2.2975917616e-13	
              0	              0	           0.08	           0.35	 1	   0.0000000000e+00	   9.9855918778e-01	   7.5240274609e-01	   2.0144081739e-01	   5.0728692847e-13	
              0	              0	           0.08	           0.36	 1	   0.0000000000e+00	   9.9773587756e-01	   8.0978430635e-01	   2.0226412771e-01	   1.0979086395e-12	
              0	              0	           0.08	           0.37	 1	   0.0000000000e+00	   9.9647810506e-01	   8.6259945447e-01	   2.0352190030e-01	   2.4343767559e-12	
              0	              0	           0.08	           0.38	 1	   0.0000000000e+00	   9.9457282979e-01	   9.1055699645e-01	   2.0542717575e-01	   5.3569139644e-12	
              0	              0	           0.08	           0.39	 1	   0.0000000000e+00	   9.9170957033e-01	   9.5356087948e-01	   2.0829043603e-01	   1.1725067571e-11	
              0	              0	           0.08	            0.4	 1	   0.0000000000e+00	   9.8743946536e-01	   9.9167707100e-01	   2.1256053877e-01	   2.6363572005e-11	
              0	              0	           0.08	           0.41	 1	   0.0000000000e+00	   9.8112016825e-01	   1.0250984495e+00	   2.1887983524e-01	   5.8527745547e-11	
              0	              0	           0.08	           0.42	 1	   0.0000000000e+00	   9.7184550471e-01	   1.0541107021e+00	   2.2815449850e-01	   1.3224367785e-10	
              0	              0	           0.08	           0.43	 1	   0.0000000000e+00	   9.5836502008e-01	   1.0790612885e+00	   2.4163498297e-01	   3.0634920539e-10	
              0	              0	           0.08	           0.44	 1	   0.0000000000e+00	   9.3901512076e-01	   1.1003326916e+00	   2.6098488197e-01	   7.0872889983e-10	
              0	              0	           0.08	           0.45	 1	   0.0000000000e+00	   9.1172025520e-01	   1.1183204923e+00	   2.8827974627e-01	   1.7126638338e-09	
              0	              0	           0.08	           0.46	 1	   0.0000000000e+00	   8.7418465780e-01	   1.1334162890e+00	   3.2581533962e-01	   4.2345103414e-09	
              0	              0	           0.08	           0.47	 1	   0.0000000000e+00	   8.2444554787e-01	   1.1459951314e+00	   3.7555443795e-01	   1.0649189238e-08	
              0	              0	           0.08	           0.48	 1	   0.0000000000e+00	   7.6184889698e-01	   1.1564069265e+00	   4.3815105557e-01	   2.8010900791e-08	
