              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
              0	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
           6000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          12000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          18000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          24000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          30000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          36000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          42000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          48000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          54000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          60000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          66000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          72000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          78000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          84000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          90000	              0	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
              0	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
           6000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          12000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          18000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          24000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          30000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          36000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          42000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          48000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          54000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
          60000	           6000	            200	              0	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
