 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  0.0000000e+00	  1	  3.7903563e-06	  4.9058158e-04	  7.4921600e-10	  4.7564206e-05	  1.8652861e-02	  2.3546436e-01	  3.9144573e-03	  1.2419090e-01	  1.5150240e-04	 -4.3896235e-14	  7.8907351e+00	  7.5807142e-06	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.5000000e+04	  1	  2.9534426e-02	  7.6395261e-02	  1.3066860e-08	  2.3473876e-02	  1.5579804e-01	  2.6310086e+00	  7.6998026e-02	  2.2098024e+00	  2.0136597e-03	  2.7700784e-02	  5.5999901e+00	  1.2655904e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.6000000e+04	  1	  3.2535075e-02	  8.1335291e-02	  1.1514650e-08	  2.5402217e-02	  1.3723278e-01	  2.3608427e+00	  6.9766720e-02	  1.9945575e+00	  1.8310150e-03	  3.0795665e-02	  5.6335974e+00	  1.3253827e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.7000000e+04	  1	  3.5154106e-02	  8.5528252e-02	  1.0037831e-08	  2.7041429e-02	  1.2055941e-01	  2.1141204e+00	  6.2942401e-02	  1.7976261e+00	  1.6642193e-03	  3.3406757e-02	  5.6697054e+00	  1.3771494e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.8000000e+04	  1	  3.7352306e-02	  8.8948297e-02	  8.7150874e-09	  2.8385965e-02	  1.0566946e-01	  1.8901402e+00	  5.6558953e-02	  1.6184434e+00	  1.5127983e-03	  3.5509124e-02	  5.7076301e+00	  1.4222337e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.9000000e+04	  1	  3.9117111e-02	  9.1610639e-02	  7.5776314e-09	  2.9445301e-02	  9.2435640e-02	  1.6877995e+00	  5.0636091e-02	  1.4561387e+00	  1.3760066e-03	  3.7110116e-02	  5.7468185e+00	  1.4617299e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.0000000e+04	  1	  4.0455825e-02	  9.3556794e-02	  6.6256708e-09	  3.0238040e-02	  8.0721439e-02	  1.5057436e+00	  4.5180936e-02	  1.3096506e+00	  1.2529284e-03	  3.8237628e-02	  5.7868511e+00	  1.4964876e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.1000000e+04	  1	  4.1389961e-02	  9.4844090e-02	  5.8427597e-09	  3.0787818e-02	  7.0388187e-02	  1.3424796e+00	  4.0189950e-02	  1.1778152e+00	  1.1425544e-03	  3.8931512e-02	  5.8274251e+00	  1.5271586e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.2000000e+04	  1	  4.1950562e-02	  9.5538354e-02	  5.2057393e-09	  3.1120578e-02	  6.1300088e-02	  1.1964612e+00	  3.5651039e-02	  1.0594304e+00	  1.0438391e-03	  3.9237675e-02	  5.8683317e+00	  1.5542470e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.3000000e+04	  1	  4.2174426e-02	  9.5708819e-02	  4.6906809e-09	  3.1262780e-02	  5.3327565e-02	  1.0661490e+00	  3.1545591e-02	  9.5330351e-01	  9.5574204e-04	  3.9204126e-02	  5.9094339e+00	  1.5781506e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.4000000e+04	  1	  4.2101110e-02	  9.5424561e-02	  4.2759721e-09	  3.1240246e-02	  4.6349290e-02	  9.5005287e-01	  2.7850324e-02	  8.5828221e-01	  8.7725571e-04	  3.8878388e-02	  5.9506480e+00	  1.5991904e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.5000000e+04	  1	  4.1770677e-02	  9.4752060e-02	  3.9436071e-09	  3.1077412e-02	  4.0253254e-02	  8.4675942e-01	  2.4538888e-02	  7.7327586e-01	  8.0742455e-04	  3.8305847e-02	  5.9919288e+00	  1.6176297e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.6000000e+04	  1	  4.1222066e-02	  9.3753594e-02	  3.6794513e-09	  3.0796888e-02	  3.4937165e-02	  7.5494823e-01	  2.1583188e-02	  6.9726750e-01	  7.4535593e-04	  3.7528733e-02	  6.0332582e+00	  1.6336866e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.7000000e+04	  1	  4.0491996e-02	  9.2486262e-02	  3.4729811e-09	  3.0419205e-02	  3.0308385e-02	  6.7340057e-01	  1.8954442e-02	  6.2931991e-01	  6.9022593e-04	  3.6585563e-02	  6.0746370e+00	  1.6475416e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.8000000e+04	  1	  3.9614286e-02	  9.1001486e-02	  3.3167961e-09	  2.9962724e-02	  2.6283581e-02	  6.0100205e-01	  1.6624012e-02	  5.6857720e-01	  6.4128118e-04	  3.5510891e-02	  6.1160782e+00	  1.6593433e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.9000000e+04	  1	  3.8619500e-02	  8.9344867e-02	  3.2060713e-09	  2.9443643e-02	  2.2788196e-02	  5.3674140e-01	  1.4564020e-02	  5.1426336e-01	  5.9783799e-04	  3.4335296e-02	  6.1576032e+00	  1.6692120e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  3.0000000e+04	  1	  3.7534830e-02	  8.7556296e-02	  3.1380340e-09	  2.8876078e-02	  1.9755830e-02	  4.7970644e-01	  1.2747790e-02	  4.6567883e-01	  5.5927972e-04	  3.3085498e-02	  6.1992378e+00	  1.6772431e-02	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  3.1000000e+04	  1	  3.6384140e-02	  8.5670235e-02	  3.1115057e-09	  2.8272194e-02	  1.7127578e-02	  4.2907850e-01	  1.1150159e-02	  4.2219580e-01	  5.2505289e-04	  3.1784593e-02	  6.2410109e+00	  1.6835102e-02	
