              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
              0	              0	            200	          12000	 1	     5.69442	  1.7822e+04	  3.8217e+03	  1.1993e+05	  2.2705e+05	  2.6109e+02	  4.3823e+02	  8.0041e-01	
           6000	              0	            200	          12000	 1	     5.60998	  1.5084e+04	  3.4820e+03	  1.0511e+05	  1.9829e+05	  3.7430e+02	  3.8557e+02	  1.0557e+00	
          12000	              0	            200	          12000	 1	     5.50894	  9.6411e+03	  2.6182e+03	  7.2925e+04	  1.3604e+05	  9.1280e+02	  2.7160e+02	  1.3498e+00	
          18000	              0	            200	          12000	 1	     5.69731	  4.4665e+03	  1.4664e+03	  3.8590e+04	  6.9962e+04	  1.5751e+03	  1.5064e+02	  5.8212e-01	
          24000	              0	            200	          12000	 1	     6.07497	  1.3458e+03	  5.1501e+02	  1.5017e+04	  2.5370e+04	  1.6186e+03	  6.9000e+01	  1.5832e-01	
          30000	              0	            200	          12000	 1	     6.71869	  1.6966e+02	  7.1924e+01	  3.5086e+03	  4.8786e+03	  1.1210e+03	  3.1488e+01	  1.0510e-01	
          36000	              0	            200	          12000	 1	     7.06337	  5.3146e+01	  2.2992e+01	  1.8581e+03	  2.0150e+03	  1.1007e+03	  2.6246e+01	  1.8846e-01	
          42000	              0	            200	          12000	 1	      7.1187	  4.3344e+01	  1.8785e+01	  1.7063e+03	  1.7134e+03	  1.1339e+03	  2.5694e+01	  2.1534e-01	
          48000	              0	            200	          12000	 1	     7.94483	  6.4964e+00	  2.8338e+00	  5.4181e+02	  2.9464e+02	  7.1670e+02	  2.3097e+01	  3.4431e+00	
          54000	              0	            200	          12000	 1	     8.44617	  2.3101e+00	  9.8647e-01	  2.8618e+02	  4.8209e+01	  5.7914e+02	  2.2646e+01	  2.5633e+01	
          60000	              0	            200	          12000	 1	      8.5718	  1.8110e+00	  7.6499e-01	  2.4903e+02	  1.5870e+01	  5.5643e+02	  2.2587e+01	  4.3108e+01	
          66000	              0	            200	          12000	 1	     8.59189	  1.7445e+00	  7.3548e-01	  2.4468e+02	  1.2848e+01	  5.5309e+02	  2.2582e+01	  4.6874e+01	
          72000	              0	            200	          12000	 1	     8.60357	  1.7115e+00	  7.2085e-01	  2.4060e+02	  1.1351e+01	  5.4889e+02	  2.2579e+01	  4.9197e+01	
