 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.5000000E+04	  1	  2.9534426E-02	  7.6395261E-02	  1.3066860E-08	  2.3473876E-02	  1.5579804E-01	  2.6310086E+00	  7.6998026E-02	  2.2098024E+00	  2.0136597E-03	  2.7700784E-02	  5.5999901E+00	  1.2655904E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.6000000E+04	  1	  3.2535075E-02	  8.1335291E-02	  1.1514650E-08	  2.5402217E-02	  1.3723278E-01	  2.3608427E+00	  6.9766721E-02	  1.9945575E+00	  1.8310150E-03	  3.0795665E-02	  5.6335974E+00	  1.3253827E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.7000000E+04	  1	  3.5154106E-02	  8.5528252E-02	  1.0037831E-08	  2.7041429E-02	  1.2055941E-01	  2.1141204E+00	  6.2942401E-02	  1.7976261E+00	  1.6642193E-03	  3.3406757E-02	  5.6697054E+00	  1.3771494E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.8000000E+04	  1	  3.7352306E-02	  8.8948297E-02	  8.7150874E-09	  2.8385965E-02	  1.0566946E-01	  1.8901402E+00	  5.6558953E-02	  1.6184434E+00	  1.5127983E-03	  3.5509124E-02	  5.7076301E+00	  1.4222337E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.9000000E+04	  1	  3.9117111E-02	  9.1610639E-02	  7.5776314E-09	  2.9445301E-02	  9.2435640E-02	  1.6877995E+00	  5.0636092E-02	  1.4561387E+00	  1.3760066E-03	  3.7110116E-02	  5.7468185E+00	  1.4617299E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+04	  1	  4.0455826E-02	  9.3556795E-02	  6.6256708E-09	  3.0238040E-02	  8.0721440E-02	  1.5057436E+00	  4.5180936E-02	  1.3096506E+00	  1.2529284E-03	  3.8237628E-02	  5.7868511E+00	  1.4964876E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.1000000E+04	  1	  4.1389961E-02	  9.4844090E-02	  5.8427597E-09	  3.0787818E-02	  7.0388187E-02	  1.3424796E+00	  4.0189950E-02	  1.1778152E+00	  1.1425544E-03	  3.8931512E-02	  5.8274251E+00	  1.5271586E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+04	  1	  4.1950562E-02	  9.5538354E-02	  5.2057393E-09	  3.1120578E-02	  6.1300088E-02	  1.1964612E+00	  3.5651039E-02	  1.0594305E+00	  1.0438392E-03	  3.9237675E-02	  5.8683317E+00	  1.5542470E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.3000000E+04	  1	  4.2174426E-02	  9.5708820E-02	  4.6906809E-09	  3.1262780E-02	  5.3327565E-02	  1.0661490E+00	  3.1545591E-02	  9.5330352E-01	  9.5574205E-04	  3.9204126E-02	  5.9094339E+00	  1.5781506E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.4000000E+04	  1	  4.2101110E-02	  9.5424561E-02	  4.2759721E-09	  3.1240246E-02	  4.6349290E-02	  9.5005287E-01	  2.7850324E-02	  8.5828221E-01	  8.7725571E-04	  3.8878388E-02	  5.9506480E+00	  1.5991904E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.5000000E+04	  1	  4.1770677E-02	  9.4752060E-02	  3.9436071E-09	  3.1077412E-02	  4.0253254E-02	  8.4675942E-01	  2.4538889E-02	  7.7327586E-01	  8.0742455E-04	  3.8305847E-02	  5.9919288E+00	  1.6176297E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.6000000E+04	  1	  4.1222066E-02	  9.3753594E-02	  3.6794513E-09	  3.0796888E-02	  3.4937165E-02	  7.5494823E-01	  2.1583188E-02	  6.9726751E-01	  7.4535593E-04	  3.7528734E-02	  6.0332582E+00	  1.6336866E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.7000000E+04	  1	  4.0491996E-02	  9.2486262E-02	  3.4729811E-09	  3.0419205E-02	  3.0308385E-02	  6.7340057E-01	  1.8954442E-02	  6.2931992E-01	  6.9022593E-04	  3.6585563E-02	  6.0746370E+00	  1.6475416E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.8000000E+04	  1	  3.9614286E-02	  9.1001486E-02	  3.3167961E-09	  2.9962724E-02	  2.6283581E-02	  6.0100205E-01	  1.6624013E-02	  5.6857720E-01	  6.4128118E-04	  3.5510892E-02	  6.1160782E+00	  1.6593433E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.9000000E+04	  1	  3.8619500E-02	  8.9344868E-02	  3.2060713E-09	  2.9443643E-02	  2.2788196E-02	  5.3674140E-01	  1.4564020E-02	  5.1426336E-01	  5.9783800E-04	  3.4335296E-02	  6.1576032E+00	  1.6692120E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.0000000E+04	  1	  3.7534830E-02	  8.7556296E-02	  3.1380339E-09	  2.8876078E-02	  1.9755831E-02	  4.7970644E-01	  1.2747790E-02	  4.6567883E-01	  5.5927972E-04	  3.3085498E-02	  6.1992378E+00	  1.6772431E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.1000000E+04	  1	  3.6384140E-02	  8.5670235E-02	  3.1115057E-09	  2.8272194E-02	  1.7127579E-02	  4.2907850E-01	  1.1150159E-02	  4.2219580E-01	  5.2505289E-04	  3.1784593E-02	  6.2410109E+00	  1.6835102E-02	
