              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
              0	              0	            200	          12000	 1	   5.8663606484e+00	   1.7663030653e+04	   3.8329272834e+03	   1.1937958698e+05	   2.2595008342e+05	   2.5990032045e+02	   4.3622246027e+02	   8.0568860403e-01	
           6000	              0	            200	          12000	 1	   5.7792799084e+00	   1.4596551983e+04	   3.4517273960e+03	   1.0299482992e+05	   1.9411764082e+05	   3.5053371915e+02	   3.7794428048e+02	   1.0816060378e+00	
          12000	              0	            200	          12000	 1	   5.6244775149e+00	   8.8578783372e+03	   2.5094401174e+03	   6.9166380198e+04	   1.2864496118e+05	   8.3472780665e+02	   2.5807734218e+02	   1.5416542385e+00	
          18000	              0	            200	          12000	 1	   5.7689508657e+00	   3.9065254499e+03	   1.3296367010e+03	   3.5467806510e+04	   6.3854883619e+04	   1.5050093271e+03	   1.3945838698e+02	   7.5153593316e-01	
          24000	              0	            200	          12000	 1	   6.1385419169e+00	   1.1266377053e+03	   4.3952146620e+02	   1.3569234783e+04	   2.2623741831e+04	   1.5454508706e+03	   6.3973255071e+01	   2.3903565181e-01	
          30000	              0	            200	          12000	 1	   6.8003019549e+00	   1.3544623660e+02	   5.7807391612e+01	   3.1625554550e+03	   4.3052069029e+03	   1.0708579655e+03	   3.0438829768e+01	   2.1622118809e-01	
          36000	              0	            200	          12000	 1	   7.1634726292e+00	   4.1726736216e+01	   1.8124964443e+01	   1.6802887424e+03	   1.7763218733e+03	   1.0431199064e+03	   2.5809656206e+01	   4.6286950805e-01	
          42000	              0	            200	          12000	 1	   7.2223685675e+00	   3.3952074097e+01	   1.4769473321e+01	   1.5442651875e+03	   1.5105310977e+03	   1.0716194867e+03	   2.5323110614e+01	   5.4421035768e-01	
          48000	              0	            200	          12000	 1	   8.0406177926e+00	   5.2947910332e+00	   2.3078500707e+00	   5.0344536559e+02	   2.6029798984e+02	   6.9431235427e+02	   2.3034783583e+01	   9.5820152224e+00	
          54000	              0	            200	          12000	 1	   8.4986204338e+00	   2.0750497964e+00	   8.8365655316e-01	   2.7939280362e+02	   4.3063716027e+01	   5.7599683108e+02	   2.2637127324e+01	   6.0651277748e+01	
          60000	              0	            200	          12000	 1	   8.6101236318e+00	   1.6760288832e+00	   7.0626249603e-01	   2.4690046059e+02	   1.4522929819e+01	   5.5646094347e+02	   2.2584881083e+01	   9.6145483538e+01	
          66000	              0	            200	          12000	 1	   8.6283552332e+00	   1.6207608261e+00	   6.8166019400e-01	   2.4307230408e+02	   1.1847008296e+01	   5.5354546686e+02	   2.2579982873e+01	   1.0371175846e+02	
          72000	              0	            200	          12000	 1	   8.6383575286e+00	   1.5951995409e+00	   6.7031843320e-01	   2.3935038912e+02	   1.0513850056e+01	   5.4969180220e+02	   2.2577542621e+01	   1.0807892993e+02	
          78000	              0	            200	          12000	 1	   8.6488712299e+00	   1.5695675327e+00	   6.5894835398e-01	   2.3539174715e+02	   9.3778224637e+00	   5.4535409837e+02	   2.2575463291e+01	   1.1286725916e+02	
          84000	              0	            200	          12000	 1	   8.6604506875e+00	   1.5419646349e+00	   6.4670066278e-01	   2.3119685409e+02	   8.2877819119e+00	   5.4065825986e+02	   2.2573468190e+01	   1.1839014911e+02	
          90000	              0	            200	          12000	 1	   8.6719995509e+00	   1.5139782659e+00	   6.3426704033e-01	   2.2765507947e+02	   7.3189787435e+00	   5.3672294791e+02	   2.2571695022e+01	   1.2418283710e+02	
              0	           6000	            200	          12000	 1	   5.8624094852e+00	   1.7514452794e+04	   3.8161131052e+03	   1.1860209387e+05	   2.2443905775e+05	   2.6316763462e+02	   4.3345610705e+02	   8.1756453930e-01	
           6000	           6000	            200	          12000	 1	   5.7608340135e+00	   1.4150295312e+04	   3.3908799870e+03	   1.0048722392e+05	   1.8926827285e+05	   3.7386432739e+02	   3.6906614094e+02	   1.1385413615e+00	
