              x	              y	              z	           time	in	    Distance	        Time	          Na	          Cl	          Br	
              0	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.9750e-04	  2.5574e-06	
            0.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.9525e-04	  4.8114e-06	
            0.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.9188e-04	  8.1824e-06	
            0.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.8705e-04	  1.3012e-05	
            0.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.8038e-04	  1.9680e-05	
            0.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.7147e-04	  2.8588e-05	
            0.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.5992e-04	  4.0139e-05	
            0.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.4535e-04	  5.4713e-05	
            0.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.2743e-04	  7.2637e-05	
            0.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.0590e-04	  9.4161e-05	
              1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  8.8063e-04	  1.1943e-04	
            1.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  8.5158e-04	  1.4849e-04	
            1.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  8.1885e-04	  1.8122e-04	
            1.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.8266e-04	  2.1740e-04	
            1.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.4338e-04	  2.5669e-04	
            1.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.0146e-04	  2.9861e-04	
            1.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  6.5746e-04	  3.4261e-04	
            1.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  6.1198e-04	  3.8810e-04	
            1.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  5.6567e-04	  4.3441e-04	
            1.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  5.1918e-04	  4.8090e-04	
              2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  4.7314e-04	  5.2694e-04	
            2.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  4.2813e-04	  5.7196e-04	
            2.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.8467e-04	  6.1542e-04	
            2.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.4320e-04	  6.5689e-04	
            2.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.0409e-04	  6.9600e-04	
            2.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.6758e-04	  7.3251e-04	
            2.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.3388e-04	  7.6622e-04	
            2.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.0306e-04	  7.9703e-04	
            2.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.7516e-04	  8.2494e-04	
            2.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.5012e-04	  8.4997e-04	
              3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.2786e-04	  8.7223e-04	
            3.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.0824e-04	  8.9186e-04	
            3.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.1075e-05	  9.0902e-04	
            3.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.6187e-05	  9.2391e-04	
            3.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  6.3368e-05	  9.3673e-04	
            3.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  5.2412e-05	  9.4769e-04	
            3.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  4.3115e-05	  9.5699e-04	
            3.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.5279e-05	  9.6482e-04	
            3.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.8717e-05	  9.7138e-04	
            3.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.3259e-05	  9.7684e-04	
              4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.8745e-05	  9.8136e-04	
            4.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.5034e-05	  9.8507e-04	
