              x	              y	              z	           time	in	    Distance	        Time	          Na	          Cl	          Br	
              0	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.9750e-04	  2.5564e-06	
            0.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.9525e-04	  4.8096e-06	
            0.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.9188e-04	  8.1794e-06	
            0.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.8705e-04	  1.3007e-05	
            0.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.8039e-04	  1.9673e-05	
            0.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.7148e-04	  2.8578e-05	
            0.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.5993e-04	  4.0126e-05	
            0.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.4537e-04	  5.4695e-05	
            0.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.2745e-04	  7.2614e-05	
            0.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.0593e-04	  9.4132e-05	
              1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  8.8066e-04	  1.1940e-04	
            1.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  8.5162e-04	  1.4844e-04	
            1.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  8.1890e-04	  1.8117e-04	
            1.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.8272e-04	  2.1735e-04	
            1.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.4344e-04	  2.5663e-04	
            1.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.0153e-04	  2.9854e-04	
            1.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  6.5753e-04	  3.4254e-04	
            1.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  6.1205e-04	  3.8802e-04	
            1.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  5.6575e-04	  4.3433e-04	
            1.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  5.1926e-04	  4.8082e-04	
              2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  4.7322e-04	  5.2686e-04	
            2.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  4.2821e-04	  5.7188e-04	
            2.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.8475e-04	  6.1534e-04	
            2.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.4328e-04	  6.5681e-04	
            2.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.0416e-04	  6.9593e-04	
            2.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.6765e-04	  7.3244e-04	
            2.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.3394e-04	  7.6615e-04	
            2.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.0312e-04	  7.9697e-04	
            2.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.7521e-04	  8.2488e-04	
            2.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.5018e-04	  8.4992e-04	
              3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.2791e-04	  8.7219e-04	
            3.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.0828e-04	  8.9182e-04	
            3.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.1112e-05	  9.0899e-04	
            3.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.6219e-05	  9.2388e-04	
            3.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  6.3396e-05	  9.3670e-04	
            3.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  5.2437e-05	  9.4766e-04	
            3.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  4.3136e-05	  9.5696e-04	
            3.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.5297e-05	  9.6480e-04	
            3.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.8733e-05	  9.7137e-04	
            3.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.3271e-05	  9.7683e-04	
              4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.8755e-05	  9.8135e-04	
            4.1	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.5043e-05	  9.8506e-04	
            4.2	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.2009e-05	  9.8809e-04	
            4.3	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  9.5438e-06	  9.9056e-04	
            4.4	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  7.5507e-06	  9.9255e-04	
            4.5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  5.9479e-06	  9.9415e-04	
            4.6	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  4.6656e-06	  9.9544e-04	
            4.7	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  3.6447e-06	  9.9646e-04	
            4.8	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.8357e-06	  9.9727e-04	
            4.9	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  2.1977e-06	  9.9791e-04	
              5	              0	              0	            0.2	 1	  0.0000e+00	  2.0014e-01	  1.0001e-03	  1.6967e-06	  9.9841e-04	
