              x	              y	              z	           time	in	          Cl	
              0	              0	              0	             10	 1	  1.0000e+00	
              1	              0	              0	             10	 1	  9.9266e-01	
              2	              0	              0	             10	 1	  9.8010e-01	
              3	              0	              0	             10	 1	  9.6053e-01	
              4	              0	              0	             10	 1	  9.3192e-01	
              5	              0	              0	             10	 1	  8.9195e-01	
              6	              0	              0	             10	 1	  8.6450e-01	
              7	              0	              0	             10	 1	  8.3771e-01	
              8	              0	              0	             10	 1	  8.1399e-01	
              9	              0	              0	             10	 1	  7.9663e-01	
             10	              0	              0	             10	 1	  7.9000e-01	
              0	              1	              0	             10	 1	  1.0000e+00	
              1	              1	              0	             10	 1	  9.9263e-01	
              2	              1	              0	             10	 1	  9.8003e-01	
              3	              1	              0	             10	 1	  9.6047e-01	
              4	              1	              0	             10	 1	  9.3196e-01	
              5	              1	              0	             10	 1	  8.9222e-01	
              6	              1	              0	             10	 1	  8.6496e-01	
              7	              1	              0	             10	 1	  8.3839e-01	
              8	              1	              0	             10	 1	  8.1488e-01	
              9	              1	              0	             10	 1	  7.9768e-01	
             10	              1	              0	             10	 1	  7.9112e-01	
              0	              2	              0	             10	 1	  1.0000e+00	
              1	              2	              0	             10	 1	  9.9248e-01	
              2	              2	              0	             10	 1	  9.7975e-01	
              3	              2	              0	             10	 1	  9.6019e-01	
              4	              2	              0	             10	 1	  9.3199e-01	
              5	              2	              0	             10	 1	  8.9299e-01	
              6	              2	              0	             10	 1	  8.6636e-01	
              7	              2	              0	             10	 1	  8.4047e-01	
              8	              2	              0	             10	 1	  8.1762e-01	
              9	              2	              0	             10	 1	  8.0093e-01	
             10	              2	              0	             10	 1	  7.9457e-01	
              0	              3	              0	             10	 1	  1.0000e+00	
              1	              3	              0	             10	 1	  9.9209e-01	
              2	              3	              0	             10	 1	  9.7899e-01	
              3	              3	              0	             10	 1	  9.5937e-01	
              4	              3	              0	             10	 1	  9.3176e-01	
              5	              3	              0	             10	 1	  8.9424e-01	
              6	              3	              0	             10	 1	  8.6877e-01	
              7	              3	              0	             10	 1	  8.4411e-01	
              8	              3	              0	             10	 1	  8.2243e-01	
              9	              3	              0	             10	 1	  8.0664e-01	
             10	              3	              0	             10	 1	  8.0064e-01	
              0	              4	              0	             10	 1	  1.0000e+00	
              1	              4	              0	             10	 1	  9.9110e-01	
              2	              4	              0	             10	 1	  9.7714e-01	
              3	              4	              0	             10	 1	  9.5736e-01	
              4	              4	              0	             10	 1	  9.3081e-01	
              5	              4	              0	             10	 1	  8.9611e-01	
              6	              4	              0	             10	 1	  8.7243e-01	
              7	              4	              0	             10	 1	  8.4959e-01	
              8	              4	              0	             10	 1	  8.2968e-01	
              9	              4	              0	             10	 1	  8.1532e-01	
             10	              4	              0	             10	 1	  8.0989e-01	
              0	              5	              0	             10	 1	  1.0000e+00	
              1	              5	              0	             10	 1	  9.8856e-01	
              2	              5	              0	             10	 1	  9.7299e-01	
              3	              5	              0	             10	 1	  9.5298e-01	
              4	              5	              0	             10	 1	  9.2845e-01	
              5	              5	              0	             10	 1	  8.9953e-01	
              6	              5	              0	             10	 1	  8.7774e-01	
              7	              5	              0	             10	 1	  8.5729e-01	
              8	              5	              0	             10	 1	  8.3992e-01	
              9	              5	              0	             10	 1	  8.2773e-01	
             10	              5	              0	             10	 1	  8.2322e-01	
              0	              6	              0	             10	 1	  1.0000e+00	
              1	              6	              0	             10	 1	  9.8761e-01	
              2	              6	              0	             10	 1	  9.7155e-01	
              3	              6	              0	             10	 1	  9.5162e-01	
              4	              6	              0	             10	 1	  9.2797e-01	
              5	              6	              0	             10	 1	  9.0130e-01	
              6	              6	              0	             10	 1	  8.8044e-01	
              7	              6	              0	             10	 1	  8.6117e-01	
              8	              6	              0	             10	 1	  8.4503e-01	
              9	              6	              0	             10	 1	  8.3388e-01	
             10	              6	              0	             10	 1	  8.2979e-01	
              0	              7	              0	             10	 1	  1.0000e+00	
              1	              7	              0	             10	 1	  9.8719e-01	
              2	              7	              0	             10	 1	  9.7090e-01	
              3	              7	              0	             10	 1	  9.5107e-01	
              4	              7	              0	             10	 1	  9.2800e-01	
