              x	              y	              z	           time	in	        Cl(mol/kgw)	
              0	              0	              0	             10	 1	   1.0000000000e+00	
              1	              0	              0	             10	 1	   9.9226120100e-01	
              2	              0	              0	             10	 1	   9.7902432803e-01	
              3	              0	              0	             10	 1	   9.5843805396e-01	
              4	              0	              0	             10	 1	   9.2842767693e-01	
              5	              0	              0	             10	 1	   8.8665291467e-01	
              6	              0	              0	             10	 1	   8.5806911031e-01	
              7	              0	              0	             10	 1	   8.3025565005e-01	
              8	              0	              0	             10	 1	   8.0570216243e-01	
              9	              0	              0	             10	 1	   7.8776286082e-01	
             10	              0	              0	             10	 1	   7.8092792545e-01	
              0	              1	              0	             10	 1	   1.0000000000e+00	
              1	              1	              0	             10	 1	   9.9222382820e-01	
              2	              1	              0	             10	 1	   9.7895241583e-01	
              3	              1	              0	             10	 1	   9.5837482893e-01	
              4	              1	              0	             10	 1	   9.2846602605e-01	
              5	              1	              0	             10	 1	   8.8692846849e-01	
              6	              1	              0	             10	 1	   8.5854798415e-01	
              7	              1	              0	             10	 1	   8.3096034494e-01	
              8	              1	              0	             10	 1	   8.0662343532e-01	
              9	              1	              0	             10	 1	   7.8885109758e-01	
             10	              1	              0	             10	 1	   7.8208147962e-01	
              0	              2	              0	             10	 1	   1.0000000000e+00	
              1	              2	              0	             10	 1	   9.9207247684e-01	
              2	              2	              0	             10	 1	   9.7865649929e-01	
              3	              2	              0	             10	 1	   9.5808361710e-01	
              4	              2	              0	             10	 1	   9.2849606801e-01	
              5	              2	              0	             10	 1	   8.8773352143e-01	
              6	              2	              0	             10	 1	   8.6000210022e-01	
              7	              2	              0	             10	 1	   8.3312078459e-01	
              8	              2	              0	             10	 1	   8.0945747234e-01	
              9	              2	              0	             10	 1	   7.9220502102e-01	
             10	              2	              0	             10	 1	   7.8563920750e-01	
              0	              3	              0	             10	 1	   1.0000000000e+00	
              1	              3	              0	             10	 1	   9.9166099626e-01	
              2	              3	              0	             10	 1	   9.7785381874e-01	
              3	              3	              0	             10	 1	   9.5722357716e-01	
              4	              3	              0	             10	 1	   9.2825188728e-01	
              5	              3	              0	             10	 1	   8.8903948316e-01	
              6	              3	              0	             10	 1	   8.6251324686e-01	
              7	              3	              0	             10	 1	   8.3689283529e-01	
              8	              3	              0	             10	 1	   8.1442726041e-01	
              9	              3	              0	             10	 1	   7.9810692034e-01	
             10	              3	              0	             10	 1	   7.9190923999e-01	
              0	              4	              0	             10	 1	   1.0000000000e+00	
              1	              4	              0	             10	 1	   9.9061541493e-01	
              2	              4	              0	             10	 1	   9.7591031340e-01	
              3	              4	              0	             10	 1	   9.5510269628e-01	
              4	              4	              0	             10	 1	   9.2726130625e-01	
