     x	y	z	time	in	head	
          0   	          0   	          0   	    172800.    	    1	    200.000    	
    100.000    	          0   	          0   	    172800.    	    1	    200.000    	
    200.000    	          0   	          0   	    172800.    	    1	    200.000    	
    300.000    	          0   	          0   	    172800.    	    1	    200.000    	
    400.000    	          0   	          0   	    172800.    	    1	    200.000    	
          0   	    100.000    	          0   	    172800.    	    1	    256.163    	
    100.000    	    100.000    	          0   	    172800.    	    1	    256.163    	
    200.000    	    100.000    	          0   	    172800.    	    1	    256.163    	
    300.000    	    100.000    	          0   	    172800.    	    1	    256.163    	
    400.000    	    100.000    	          0   	    172800.    	    1	    256.163    	
          0   	    200.000    	          0   	    172800.    	    1	    266.914    	
    100.000    	    200.000    	          0   	    172800.    	    1	    266.914    	
    200.000    	    200.000    	          0   	    172800.    	    1	    266.914    	
    300.000    	    200.000    	          0   	    172800.    	    1	    266.914    	
    400.000    	    200.000    	          0   	    172800.    	    1	    266.914    	
          0   	    300.000    	          0   	    172800.    	    1	    238.474    	
    100.000    	    300.000    	          0   	    172800.    	    1	    238.474    	
    200.000    	    300.000    	          0   	    172800.    	    1	    238.474    	
    300.000    	    300.000    	          0   	    172800.    	    1	    238.474    	
    400.000    	    300.000    	          0   	    172800.    	    1	    238.474    	
          0   	    400.000    	          0   	    172800.    	    1	    150.000    	
    100.000    	    400.000    	          0   	    172800.    	    1	    150.000    	
    200.000    	    400.000    	          0   	    172800.    	    1	    150.000    	
    300.000    	    400.000    	          0   	    172800.    	    1	    150.000    	
    400.000    	    400.000    	          0   	    172800.    	    1	    150.000    	
          0   	          0   	    275.000    	    172800.    	    1	    200.000    	
    100.000    	          0   	    275.000    	    172800.    	    1	    200.000    	
    200.000    	          0   	    275.000    	    172800.    	    1	    200.000    	
    300.000    	          0   	    275.000    	    172800.    	    1	    200.000    	
    400.000    	          0   	    275.000    	    172800.    	    1	    200.000    	
          0   	    100.000    	    275.000    	    172800.    	    1	    256.165    	
    100.000    	    100.000    	    275.000    	    172800.    	    1	    256.165    	
    200.000    	    100.000    	    275.000    	    172800.    	    1	    256.165    	
    300.000    	    100.000    	    275.000    	    172800.    	    1	    256.165    	
    400.000    	    100.000    	    275.000    	    172800.    	    1	    256.165    	
          0   	    200.000    	    275.000    	    172800.    	    1	    266.915    	
    100.000    	    200.000    	    275.000    	    172800.    	    1	    266.915    	
    200.000    	    200.000    	    275.000    	    172800.    	    1	    266.915    	
    300.000    	    200.000    	    275.000    	    172800.    	    1	    266.915    	
    400.000    	    200.000    	    275.000    	    172800.    	    1	    266.915    	
          0   	    300.000    	    275.000    	    172800.    	    1	    238.476    	
    100.000    	    300.000    	    275.000    	    172800.    	    1	    238.476    	
    200.000    	    300.000    	    275.000    	    172800.    	    1	    238.476    	
    300.000    	    300.000    	    275.000    	    172800.    	    1	    238.476    	
    400.000    	    300.000    	    275.000    	    172800.    	    1	    238.476    	
          0   	    400.000    	    275.000    	    172800.    	    1	    150.000    	
    100.000    	    400.000    	    275.000    	    172800.    	    1	    150.000    	
    200.000    	    400.000    	    275.000    	    172800.    	    1	    150.000    	
    300.000    	    400.000    	    275.000    	    172800.    	    1	    150.000    	
    400.000    	    400.000    	    275.000    	    172800.    	    1	    150.000    	
