     x	y	z	time	in	head	
   0.000000e+00	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -2.795857e-03	
    30.4800    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -2.852439e-03	
    60.9600    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -3.022189e-03	
    91.4400    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -3.305032e-03	
    121.920    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -3.700513e-03	
    152.400    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -4.207337e-03	
    182.880    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -4.822758e-03	
    213.360    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -5.541863e-03	
    243.840    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -6.356816e-03	
    274.320    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -7.256144e-03	
    304.800    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -8.224133e-03	
    335.280    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -9.240470e-03	
    365.760    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.028020e-02	
    396.240    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.131410e-02	
    426.720    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.230957e-02	
    457.200    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.323195e-02	
    487.680    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.404639e-02	
    518.160    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.471994e-02	
    548.640    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.522384e-02	
    579.120    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.553569e-02	
    609.600    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.564127e-02	
    640.080    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.553569e-02	
    670.560    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.522384e-02	
    701.040    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.471994e-02	
    731.520    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.404639e-02	
    762.000    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.323195e-02	
    792.480    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.230957e-02	
    822.960    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.131410e-02	
    853.440    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -1.028020e-02	
    883.920    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -9.240470e-03	
    914.400    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -8.224133e-03	
    944.880    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -7.256144e-03	
    975.360    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -6.356816e-03	
    1005.84    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -5.541863e-03	
    1036.32    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -4.822758e-03	
    1066.80    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -4.207337e-03	
    1097.28    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -3.700513e-03	
    1127.76    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -3.305032e-03	
    1158.24    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -3.022189e-03	
    1188.72    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -2.852439e-03	
    1219.20    	   0.000000e+00	   -30.4800    	    10.0000    	    1	  -2.795857e-03	
   0.000000e+00	    30.4800    	   -30.4800    	    10.0000    	    1	  -2.852439e-03	
    30.4800    	    30.4800    	   -30.4800    	    10.0000    	    1	  -2.910626e-03	
    60.9600    	    30.4800    	   -30.4800    	    10.0000    	    1	  -3.085223e-03	
    91.4400    	    30.4800    	   -30.4800    	    10.0000    	    1	  -3.376233e-03	
    121.920    	    30.4800    	   -30.4800    	    10.0000    	    1	  -3.783324e-03	
    152.400    	    30.4800    	   -30.4800    	    10.0000    	    1	  -4.305345e-03	
    182.880    	    30.4800    	   -30.4800    	    10.0000    	    1	  -4.939686e-03	
    213.360    	    30.4800    	   -30.4800    	    10.0000    	    1	  -5.681527e-03	
    243.840    	    30.4800    	   -30.4800    	    10.0000    	    1	  -6.523042e-03	
    274.320    	    30.4800    	   -30.4800    	    10.0000    	    1	  -7.452632e-03	
    304.800    	    30.4800    	   -30.4800    	    10.0000    	    1	  -8.454278e-03	
    335.280    	    30.4800    	   -30.4800    	    10.0000    	    1	  -9.507129e-03	
    365.760    	    30.4800    	   -30.4800    	    10.0000    	    1	  -1.058543e-02	
    396.240    	    30.4800    	   -30.4800    	    10.0000    	    1	  -1.165889e-02	
    426.720    	    30.4800    	   -30.4800    	    10.0000    	    1	  -1.269356e-02	
    457.200    	    30.4800    	   -30.4800    	    10.0000    	    1	  -1.365324e-02	
