     x	y	z	time	in	vx-node	vy-node	vz-node	
   0.000000e+00	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   0.000000e+00	   0.000000e+00	   0.000000e+00	
    30.4800    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.933924e-04	   0.000000e+00	   0.000000e+00	
    60.9600    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.258335e-04	   0.000000e+00	   0.000000e+00	
    91.4400    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.302741e-04	   0.000000e+00	   0.000000e+00	
    121.920    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.295184e-04	   0.000000e+00	   0.000000e+00	
    152.400    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.274625e-04	   0.000000e+00	   0.000000e+00	
    182.880    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.247544e-04	   0.000000e+00	   0.000000e+00	
    213.360    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.214826e-04	   0.000000e+00	   0.000000e+00	
    243.840    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.176391e-04	   0.000000e+00	   0.000000e+00	
    274.320    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.132004e-04	   0.000000e+00	   0.000000e+00	
    304.800    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.081434e-04	   0.000000e+00	   0.000000e+00	
    335.280    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.024508e-04	   0.000000e+00	   0.000000e+00	
    365.760    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.961136e-04	   0.000000e+00	   0.000000e+00	
    396.240    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.891352e-04	   0.000000e+00	   0.000000e+00	
    426.720    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.815337e-04	   0.000000e+00	   0.000000e+00	
    457.200    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.733442e-04	   0.000000e+00	   0.000000e+00	
    487.680    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.646209e-04	   0.000000e+00	   0.000000e+00	
    518.160    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.554369e-04	   0.000000e+00	   0.000000e+00	
    548.640    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.458834e-04	   0.000000e+00	   0.000000e+00	
    579.120    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.360671e-04	   0.000000e+00	   0.000000e+00	
    609.600    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.261053e-04	   0.000000e+00	   0.000000e+00	
    640.080    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.161213e-04	   0.000000e+00	   0.000000e+00	
    670.560    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.062376e-04	   0.000000e+00	   0.000000e+00	
    701.040    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   9.657022e-05	   0.000000e+00	   0.000000e+00	
    731.520    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   8.722289e-05	   0.000000e+00	   0.000000e+00	
    762.000    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   7.828292e-05	   0.000000e+00	   0.000000e+00	
    792.480    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   6.981832e-05	   0.000000e+00	   0.000000e+00	
    822.960    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   6.187658e-05	   0.000000e+00	   0.000000e+00	
    853.440    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   5.448489e-05	   0.000000e+00	   0.000000e+00	
    883.920    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   4.765153e-05	   0.000000e+00	   0.000000e+00	
    914.400    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   4.136805e-05	   0.000000e+00	   0.000000e+00	
    944.880    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   3.561194e-05	   0.000000e+00	   0.000000e+00	
    975.360    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   3.034936e-05	   0.000000e+00	   0.000000e+00	
    1005.84    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.553782e-05	   0.000000e+00	   0.000000e+00	
    1036.32    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   2.112849e-05	   0.000000e+00	   0.000000e+00	
    1066.80    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.706821e-05	   0.000000e+00	   0.000000e+00	
    1097.28    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   1.330101e-05	   0.000000e+00	   0.000000e+00	
    1127.76    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   9.769254e-06	   0.000000e+00	   0.000000e+00	
    1158.24    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   6.414448e-06	   0.000000e+00	   0.000000e+00	
    1188.72    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   3.177702e-06	   0.000000e+00	   0.000000e+00	
    1219.20    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	   0.000000e+00	   0.000000e+00	   0.000000e+00	
   0.000000e+00	    30.4800    	   -30.4800    	   0.000000e+00	    1	   0.000000e+00	   3.070633e-07	   0.000000e+00	
    30.4800    	    30.4800    	   -30.4800    	   0.000000e+00	    1	   1.935759e-04	   6.162097e-07	   0.000000e+00	
    60.9600    	    30.4800    	   -30.4800    	   0.000000e+00	    1	   2.260532e-04	   1.038735e-06	   0.000000e+00	
    91.4400    	    30.4800    	   -30.4800    	   0.000000e+00	    1	   2.305071e-04	   1.492777e-06	   0.000000e+00	
    121.920    	    30.4800    	   -30.4800    	   0.000000e+00	    1	   2.297625e-04	   1.968456e-06	   0.000000e+00	
    152.400    	    30.4800    	   -30.4800    	   0.000000e+00	    1	   2.277189e-04	   2.467560e-06	   0.000000e+00	
    182.880    	    30.4800    	   -30.4800    	   0.000000e+00	    1	   2.250243e-04	   2.992981e-06	   0.000000e+00	
