              x	              y	              z	           time	in	                  A	
              0	              0	              0	             40	 1	   0.0000000000e+00	
              4	              0	              0	             40	 1	   6.7543078631e-14	
              8	              0	              0	             40	 1	   3.1219595489e-13	
             12	              0	              0	             40	 1	   6.3052440299e-13	
             16	              0	              0	             40	 1	   8.2581985068e-13	
             20	              0	              0	             40	 1	   8.1699292875e-13	
             24	              0	              0	             40	 1	   6.5939678151e-13	
             28	              0	              0	             40	 1	   4.5381340460e-13	
             32	              0	              0	             40	 1	   2.7438042547e-13	
             36	              0	              0	             40	 1	   1.4915969763e-13	
             40	              0	              0	             40	 1	   7.0475618456e-14	
             44	              0	              0	             40	 1	   2.9883966430e-14	
             48	              0	              0	             40	 1	   1.1969470728e-14	
             52	              0	              0	             40	 1	   0.0000000000e+00	
             56	              0	              0	             40	 1	   0.0000000000e+00	
             60	              0	              0	             40	 1	   0.0000000000e+00	
             64	              0	              0	             40	 1	   0.0000000000e+00	
             68	              0	              0	             40	 1	   0.0000000000e+00	
             72	              0	              0	             40	 1	   0.0000000000e+00	
             76	              0	              0	             40	 1	   0.0000000000e+00	
             80	              0	              0	             40	 1	   0.0000000000e+00	
             84	              0	              0	             40	 1	   0.0000000000e+00	
             88	              0	              0	             40	 1	   0.0000000000e+00	
             92	              0	              0	             40	 1	   0.0000000000e+00	
             96	              0	              0	             40	 1	   0.0000000000e+00	
            100	              0	              0	             40	 1	   0.0000000000e+00	
              0	            0.5	              0	             40	 1	   0.0000000000e+00	
              4	            0.5	              0	             40	 1	   7.9656000510e-14	
              8	            0.5	              0	             40	 1	   3.5654486330e-13	
             12	            0.5	              0	             40	 1	   7.1171364157e-13	
             16	            0.5	              0	             40	 1	   9.2470997325e-13	
             20	            0.5	              0	             40	 1	   9.0857601115e-13	
             24	            0.5	              0	             40	 1	   7.2922166809e-13	
             28	            0.5	              0	             40	 1	   4.9925698082e-13	
             32	            0.5	              0	             40	 1	   3.0043581363e-13	
             36	            0.5	              0	             40	 1	   1.6257792419e-13	
             40	            0.5	              0	             40	 1	   7.7220241306e-14	
             44	            0.5	              0	             40	 1	   3.2682848177e-14	
             48	            0.5	              0	             40	 1	   1.3021786006e-14	
             52	            0.5	              0	             40	 1	   0.0000000000e+00	
             56	            0.5	              0	             40	 1	   0.0000000000e+00	
             60	            0.5	              0	             40	 1	   0.0000000000e+00	
             64	            0.5	              0	             40	 1	   0.0000000000e+00	
             68	            0.5	              0	             40	 1	   0.0000000000e+00	
             72	            0.5	              0	             40	 1	   0.0000000000e+00	
             76	            0.5	              0	             40	 1	   0.0000000000e+00	
             80	            0.5	              0	             40	 1	   0.0000000000e+00	
             84	            0.5	              0	             40	 1	   0.0000000000e+00	
             88	            0.5	              0	             40	 1	   0.0000000000e+00	
             92	            0.5	              0	             40	 1	   0.0000000000e+00	
             96	            0.5	              0	             40	 1	   0.0000000000e+00	
            100	            0.5	              0	             40	 1	   0.0000000000e+00	
              0	            1.5	              0	             40	 1	   0.0000000000e+00	
              4	            1.5	              0	             40	 1	   1.7126884754e-13	
              8	            1.5	              0	             40	 1	   7.4296796516e-13	
             12	            1.5	              0	             40	 1	   1.4205411967e-12	
             16	            1.5	              0	             40	 1	   1.7823584426e-12	
             20	            1.5	              0	             40	 1	   1.6982466344e-12	
             24	            1.5	              0	             40	 1	   1.3233046769e-12	
             28	            1.5	              0	             40	 1	   8.8461220246e-13	
             32	            1.5	              0	             40	 1	   5.2075666491e-13	
             36	            1.5	              0	             40	 1	   2.7570451854e-13	
             40	            1.5	              0	             40	 1	   1.3476908450e-13	
             44	            1.5	              0	             40	 1	   5.6418043606e-14	
             48	            1.5	              0	             40	 1	   2.1895402931e-14	
             52	            1.5	              0	             40	 1	   0.0000000000e+00	
