              x	              y	              z	           time	in	          Na	          Cl	
              0              0              0              0 1	  1.0000e-03	  1.0000e-03	
              1	              0              0              0 1	  1.1000e-03	  1.1000e-03	
              2	              0              0              0 1	  1.2000e-03	  1.2000e-03	
              3	              0              0              0 1	  1.3000e-03	  1.3000e-03	
              4	              0              0              0 1	  1.4000e-03	  1.4000e-03	
              5	              0              0              0 1	  1.5000e-03	  1.5000e-03	
              6	              0              0              0 1	  1.6000e-03	  1.6000e-03	
              7	              0              0              0 1	  1.7000e-03	  1.7000e-03	
              8	              0              0              0 1	  1.8000e-03	  1.8000e-03	
              9	              0              0              0 1	  1.9000e-03	  1.9000e-03	
             10	              0              0              0 1	  2.0000e-03	  2.0000e-03	
              0              1	              0              0 1	  1.0000e-03	  1.0000e-03	
              1	              1	              0              0 1	  1.1000e-03	  1.1000e-03	
              2	              1	              0              0 1	  1.2000e-03	  1.2000e-03	
              3	              1	              0              0 1	  1.3000e-03	  1.3000e-03	
              4	              1	              0              0 1	  1.4000e-03	  1.4000e-03	
              5	              1	              0              0 1	  1.5000e-03	  1.5000e-03	
              6	              1	              0              0 1	  1.6000e-03	  1.6000e-03	
              7	              1	              0              0 1	  1.7000e-03	  1.7000e-03	
              8	              1	              0              0 1	  1.8000e-03	  1.8000e-03	
              9	              1	              0              0 1	  1.9000e-03	  1.9000e-03	
             10	              1	              0              0 1	  2.0000e-03	  2.0000e-03	
              0              2	              0              0 1	  1.0000e-03	  1.0000e-03	
              1	              2	              0              0 1	  1.1000e-03	  1.1000e-03	
              2	              2	              0              0 1	  1.2000e-03	  1.2000e-03	
              3	              2	              0              0 1	  1.3000e-03	  1.3000e-03	
              4	              2	              0              0 1	  1.4000e-03	  1.4000e-03	
              5	              2	              0              0 1	  1.5000e-03	  1.5000e-03	
              6	              2	              0              0 1	  1.6000e-03	  1.6000e-03	
              7	              2	              0              0 1	  1.7000e-03	  1.7000e-03	
              8	              2	              0              0 1	  1.8000e-03	  1.8000e-03	
              9	              2	              0              0 1	  1.9000e-03	  1.9000e-03	
             10	              2	              0              0 1	  2.0000e-03	  2.0000e-03	
              0              3	              0              0 1	  1.0000e-03	  1.0000e-03	
              1	              3	              0              0 1	  1.1000e-03	  1.1000e-03	
              2	              3	              0              0 1	  1.2000e-03	  1.2000e-03	
              3	              3	              0              0 1	  1.3000e-03	  1.3000e-03	
              4	              3	              0              0 1	  1.4000e-03	  1.4000e-03	
              5	              3	              0              0 1	  1.5000e-03	  1.5000e-03	
              6	              3	              0              0 1	  1.6000e-03	  1.6000e-03	
