         x         y         z         A         B         C         D
   0.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
   4.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
   8.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  12.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  16.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  20.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  24.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  28.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  32.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  36.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
  40.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00001
  44.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00001
  48.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00001
  52.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00002
  56.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00002
  60.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00003
  64.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00003
  68.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00004
  72.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00004
  76.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00004
  80.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00003
  84.00000  12.50000  -5.00000   0.00000   0.00000   0.00001   0.00003
  88.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00002
  92.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00002
  96.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00001
 100.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00001
 104.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00001
 108.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 112.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 116.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 120.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 124.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 128.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 132.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 136.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 140.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 144.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 148.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
 150.00000  12.50000  -5.00000   0.00000   0.00000   0.00000   0.00000
   0.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
   4.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
   8.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  12.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  16.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  20.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  24.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  28.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  32.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  36.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
  40.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00001
  44.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00001
  48.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00002
  52.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00003
  56.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00003
  60.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00004
  64.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00005
  68.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00005
  72.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00005
  76.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00005
  80.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00005
  84.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00004
  88.00000  12.50000  -4.50000   0.00000   0.00000   0.00001   0.00003
  92.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00003
  96.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00002
 100.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00001
 104.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00001
 108.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00001
 112.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 116.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 120.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 124.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 128.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 132.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 136.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 140.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 144.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 148.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
 150.00000  12.50000  -4.50000   0.00000   0.00000   0.00000   0.00000
   0.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
   4.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
   8.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
  12.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
  16.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
  20.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
  24.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
  28.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
  32.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00001
  36.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00001
  40.00000  12.50000  -3.50000   0.00000   0.00000   0.00001   0.00002
  44.00000  12.50000  -3.50000   0.00000   0.00000   0.00001   0.00003
  48.00000  12.50000  -3.50000   0.00000   0.00000   0.00001   0.00004
  52.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00006
  56.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00008
  60.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00009
  64.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00010
  68.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00011
  72.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00011
  76.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00011
  80.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00010
  84.00000  12.50000  -3.50000   0.00000   0.00000   0.00002   0.00008
  88.00000  12.50000  -3.50000   0.00000   0.00000   0.00001   0.00007
  92.00000  12.50000  -3.50000   0.00000   0.00000   0.00001   0.00005
  96.00000  12.50000  -3.50000   0.00000   0.00000   0.00001   0.00004
 100.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00003
 104.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00002
