     x	y	z	time	in	head	
    0.00000    	    0.00000    	    0.00000    	    0.00000    	    1	    329.433    	
    3000.00    	    0.00000    	    0.00000    	    0.00000    	    1	    329.507    	
    6000.00    	    0.00000    	    0.00000    	    0.00000    	    1	    329.726    	
    9000.00    	    0.00000    	    0.00000    	    0.00000    	    1	    330.079    	
    12000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    330.554    	
    15000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    331.134    	
    18000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    331.799    	
    21000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    332.525    	
    24000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    333.288    	
    27000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    334.062    	
    30000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    334.840    	
    33000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    335.655    	
    36000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    336.665    	
    39000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    338.404    	
    42000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    340.113    	
    45000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    340.772    	
    48000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    340.931    	
    51000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    340.794    	
    54000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    340.437    	
    57000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    339.888    	
    60000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    339.167    	
    63000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    338.295    	
    66000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    337.305    	
    69000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    336.238    	
    72000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    335.142    	
    75000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    334.072    	
    78000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    333.085    	
    81000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    332.240    	
    84000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    331.591    	
    87000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    331.180    	
    90000.0    	    0.00000    	    0.00000    	    0.00000    	    1	    331.040    	
    0.00000    	    3000.00    	    0.00000    	    0.00000    	    1	    330.773    	
    3000.00    	    3000.00    	    0.00000    	    0.00000    	    1	    330.858    	
    6000.00    	    3000.00    	    0.00000    	    0.00000    	    1	    331.108    	
    9000.00    	    3000.00    	    0.00000    	    0.00000    	    1	    331.512    	
    12000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    332.054    	
    15000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    332.716    	
    18000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    333.475    	
    21000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    334.303    	
    24000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    335.170    	
    27000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    336.047    	
    30000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    336.913    	
    33000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    337.777    	
    36000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    338.695    	
    39000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    339.743    	
    42000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    340.650    	
    45000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    341.107    	
    48000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    341.213    	
    51000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    341.065    	
    54000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    340.707    	
    57000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    340.160    	
    60000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    339.439    	
    63000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    338.567    	
    66000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    337.574    	
    69000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    336.503    	
    72000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    335.401    	
    75000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    334.324    	
    78000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    333.332    	
    81000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    332.481    	
    84000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    331.827    	
    87000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    331.414    	
    90000.0    	    3000.00    	    0.00000    	    0.00000    	    1	    331.273    	
    0.00000    	    6000.00    	    0.00000    	    0.00000    	    1	    331.944    	
    3000.00    	    6000.00    	    0.00000    	    0.00000    	    1	    332.038    	
    6000.00    	    6000.00    	    0.00000    	    0.00000    	    1	    332.315    	
    9000.00    	    6000.00    	    0.00000    	    0.00000    	    1	    332.763    	
    12000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    333.365    	
    15000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    334.099    	
    18000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    334.938    	
    21000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    335.853    	
    24000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    336.806    	
    27000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    337.761    	
    30000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    338.681    	
    33000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    339.546    	
    36000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    340.348    	
    39000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    341.076    	
    42000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    341.630    	
    45000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    341.917    	
    48000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    341.961    	
    51000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    341.795    	
    54000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    341.436    	
    57000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    340.891    	
    60000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    340.169    	
    63000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    339.291    	
    66000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    338.288    	
    69000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    337.201    	
    72000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    336.080    	
    75000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    334.983    	
    78000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    333.969    	
    81000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    333.100    	
    84000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    332.432    	
    87000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    332.011    	
    90000.0    	    6000.00    	    0.00000    	    0.00000    	    1	    331.867    	
    0.00000    	    9000.00    	    0.00000    	    0.00000    	    1	    332.926    	
    3000.00    	    9000.00    	    0.00000    	    0.00000    	    1	    333.028    	
    6000.00    	    9000.00    	    0.00000    	    0.00000    	    1	    333.329    	
    9000.00    	    9000.00    	    0.00000    	    0.00000    	    1	    333.815    	
    12000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    334.468    	
    15000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    335.263    	
    18000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    336.171    	
    21000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    337.159    	
    24000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    338.185    	
    27000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    339.204    	
    30000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    340.169    	
    33000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    341.040    	
    36000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    341.785    	
    39000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    342.378    	
    42000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    342.784    	
    45000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    342.983    	
    48000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    342.989    	
    51000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    342.811    	
    54000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    342.448    	
    57000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    341.898    	
    60000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    341.167    	
    63000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    340.272    	
    66000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    339.245    	
    69000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    338.129    	
    72000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    336.974    	
    75000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    335.839    	
    78000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    334.789    	
    81000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    333.887    	
    84000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    333.193    	
    87000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    332.757    	
    90000.0    	    9000.00    	    0.00000    	    0.00000    	    1	    332.608    	
    0.00000    	    12000.0    	    0.00000    	    0.00000    	    1	    333.705    	
    3000.00    	    12000.0    	    0.00000    	    0.00000    	    1	    333.814    	
    6000.00    	    12000.0    	    0.00000    	    0.00000    	    1	    334.135    	
    9000.00    	    12000.0    	    0.00000    	    0.00000    	    1	    334.653    	
    12000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    335.348    	
    15000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    336.195    	
    18000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    337.161    	
    21000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    338.212    	
    24000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    339.301    	
    27000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    340.379    	
    30000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    341.391    	
    33000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    342.288    	
    36000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    343.029    	
    39000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    343.587    	
    42000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    343.949    	
    45000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    344.120    	
    48000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    344.111    	
    51000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    343.924    	
    54000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    343.550    	
    57000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    342.983    	
    60000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    342.228    	
    63000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    341.303    	
    66000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    340.239    	
    69000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    339.079    	
    72000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    337.875    	
    75000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    336.690    	
    78000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    335.589    	
    81000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    334.643    	
    84000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    333.916    	
    87000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    333.459    	
    90000.0    	    12000.0    	    0.00000    	    0.00000    	    1	    333.303    	
    0.00000    	    15000.0    	    0.00000    	    0.00000    	    1	    334.268    	
    3000.00    	    15000.0    	    0.00000    	    0.00000    	    1	    334.383    	
    6000.00    	    15000.0    	    0.00000    	    0.00000    	    1	    334.720    	
    9000.00    	    15000.0    	    0.00000    	    0.00000    	    1	    335.263    	
    12000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    335.993    	
    15000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    336.883    	
    18000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    337.899    	
    21000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    339.003    	
    24000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    340.149    	
    27000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    341.283    	
    30000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    342.348    	
    33000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    343.289    	
    36000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    344.062    	
    39000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    344.637    	
    42000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    345.008    	
    45000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    345.182    	
    48000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    345.171    	
    51000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    344.972    	
    54000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    344.577    	
    57000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    343.980    	
    60000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    343.188    	
    63000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    342.219    	
    66000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    341.108    	
    69000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    339.896    	
    72000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    338.639    	
    75000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    337.397    	
    78000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    336.244    	
    81000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    335.252    	
    84000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    334.492    	
    87000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    334.015    	
    90000.0    	    15000.0    	    0.00000    	    0.00000    	    1	    333.852    	
    0.00000    	    18000.0    	    0.00000    	    0.00000    	    1	    334.606    	
    3000.00    	    18000.0    	    0.00000    	    0.00000    	    1	    334.725    	
    6000.00    	    18000.0    	    0.00000    	    0.00000    	    1	    335.074    	
    9000.00    	    18000.0    	    0.00000    	    0.00000    	    1	    335.638    	
    12000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    336.394    	
    15000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    337.318    	
    18000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    338.374    	
    21000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    339.524    	
    24000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    340.720    	
    27000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    341.909    	
    30000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    343.029    	
    33000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    344.024    	
    36000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    344.845    	
    39000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    345.462    	
    42000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    345.865    	
    45000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    346.058    	
    48000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    346.048    	
    51000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    345.834    	
    54000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    345.409    	
    57000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    344.772    	
    60000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    343.935    	
    63000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    342.919    	
    66000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    341.759    	
    69000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    340.500    	
    72000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    339.196    	
    75000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    337.910    	
    78000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    336.717    	
    81000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    335.694    	
    84000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    334.912    	
    87000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    334.424    	
    90000.0    	    18000.0    	    0.00000    	    0.00000    	    1	    334.258    	
    0.00000    	    21000.0    	    0.00000    	    0.00000    	    1	    334.711    	
    3000.00    	    21000.0    	    0.00000    	    0.00000    	    1	    334.833    	
    6000.00    	    21000.0    	    0.00000    	    0.00000    	    1	    335.190    	
    9000.00    	    21000.0    	    0.00000    	    0.00000    	    1	    335.768    	
    12000.0    	    21000.0    	    0.00000    	    0.00000    	    1	    336.544    	
    15000.0    	    21000.0    	    0.00000    	    0.00000    	    1	    337.492    	
    18000.0    	    21000.0    	    0.00000    	    0.00000    	    1	    338.579    	
    21000.0    	    21000.0    	    0.00000    	    0.00000    	    1	    339.766    	
    24000.0    	    21000.0    	    0.00000    	    0.00000    	    1	    341.005    	
    27000.0    	    21000.0    	    0.00000    	    0.00000    	    1	    342.243    	
    30000.0    	    21000.0    	    0.00000    	    0.00000    	    1	    343.417    	
