              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
              0	              0	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
           6000	              0	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9144e+03	  1.2424e+05	  2.3544e+05	  2.4157e+02	  4.5359e+02	  7.4298e-01	
          12000	              0	            100	           1000	 1	     5.71306	  1.8649e+04	  3.9140e+03	  1.2422e+05	  2.3540e+05	  2.4163e+02	  4.5352e+02	  7.4318e-01	
          18000	              0	            100	           1000	 1	      5.7127	  1.8622e+04	  3.9113e+03	  1.2407e+05	  2.3511e+05	  2.4209e+02	  4.5299e+02	  7.4464e-01	
          24000	              0	            100	           1000	 1	      5.7107	  1.8473e+04	  3.8960e+03	  1.2323e+05	  2.3351e+05	  2.4466e+02	  4.5006e+02	  7.5277e-01	
          30000	              0	            100	           1000	 1	     5.69729	  1.7451e+04	  3.7865e+03	  1.1744e+05	  2.2246e+05	  2.6398e+02	  4.2982e+02	  8.0842e-01	
          36000	              0	            100	           1000	 1	     5.69857	  1.7551e+04	  3.7975e+03	  1.1801e+05	  2.2354e+05	  2.6195e+02	  4.3180e+02	  8.0303e-01	
          42000	              0	            100	           1000	 1	      5.6994	  1.7614e+04	  3.8045e+03	  1.1837e+05	  2.2423e+05	  2.6068e+02	  4.3307e+02	  7.9957e-01	
          48000	              0	            100	           1000	 1	     5.69091	  1.6947e+04	  3.7296e+03	  1.1456e+05	  2.1696e+05	  2.7474e+02	  4.1976e+02	  8.3553e-01	
          54000	              0	            100	           1000	 1	     5.68507	  1.6471e+04	  3.6739e+03	  1.1183e+05	  2.1174e+05	  2.8575e+02	  4.1021e+02	  8.6062e-01	
          60000	              0	            100	           1000	 1	     5.71043	  1.8452e+04	  3.8939e+03	  1.2312e+05	  2.3329e+05	  2.4501e+02	  4.4965e+02	  7.5389e-01	
          66000	              0	            100	           1000	 1	     5.71281	  1.8631e+04	  3.9122e+03	  1.2412e+05	  2.3521e+05	  2.4194e+02	  4.5316e+02	  7.4417e-01	
          72000	              0	            100	           1000	 1	     5.71306	  1.8649e+04	  3.9141e+03	  1.2423e+05	  2.3541e+05	  2.4162e+02	  4.5353e+02	  7.4316e-01	
          78000	              0	            100	           1000	 1	      5.7131	  1.8652e+04	  3.9144e+03	  1.2424e+05	  2.3544e+05	  2.4157e+02	  4.5358e+02	  7.4300e-01	
          84000	              0	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9144e+03	  1.2424e+05	  2.3544e+05	  2.4157e+02	  4.5360e+02	  7.4297e-01	
          90000	              0	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
              0	           6000	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
