     x	y	z	time	in	head	
   0.000000e+00	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -3.478243e-02	
    30.4800    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -6.953248e-02	
    60.9600    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.116092    	
    91.4400    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.164481    	
    121.920    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.212908    	
    152.400    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.260980    	
    182.880    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.308542    	
    213.360    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.355475    	
    243.840    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.401661    	
    274.320    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.446979    	
    304.800    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.491299    	
    335.280    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.534490    	
    365.760    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.576417    	
    396.240    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.616944    	
    426.720    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.655937    	
    457.200    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.693267    	
    487.680    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.728817    	
    518.160    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.762480    	
    548.640    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.794169    	
    579.120    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.823815    	
    609.600    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.851376    	
    640.080    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.876835    	
    670.560    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.900198    	
    701.040    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.921501    	
    731.520    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.940800    	
    762.000    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.958173    	
    792.480    	   0.000000e+00	   -30.4800    	   0.000000e+00	    1	  -0.973713    	
