 x	y	z_datum	Time	Well_no	H2O                           	H                             	O                             	Charge                        	As                            	C                             	Ca                            	Cl                            	Mg                            	Na                            	S                             	pH	pe	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  0.0000000E+00	  1	  8.7961152E-01	  3.4709861E-06	  4.3512951E-04	 -2.6169671E-16	  6.5901952E-10	  4.2298659E-05	  1.6374103E-02	  2.0711517E-01	  3.4642638E-03	  1.0923983E-01	  1.3326336E-04	  5.8851619E+00	  1.4789405E+01	  3.9143751E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.5000000E+04	  1	  5.2846899E+01	  1.2357312E-02	  6.2190949E-02	  2.3564297E-02	  1.5306332E-08	  2.1167206E-02	  1.3201466E-01	  2.3142528E+00	  6.8066598E-02	  1.9535970E+00	  1.7882493E-03	  5.6468231E+00	  1.5021240E+01	  1.3437185E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.6000000E+04	  1	  5.3118613E+01	  1.2973369E-02	  6.6075151E-02	  2.6645363E-02	  1.3915623E-08	  2.3111156E-02	  1.1600596E-01	  2.0766147E+00	  6.1459835E-02	  1.7645698E+00	  1.6287386E-03	  5.6761361E+00	  1.4987717E+01	  1.3978544E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.7000000E+04	  1	  5.3366722E+01	  1.3495212E-02	  6.9361455E-02	  2.9279368E-02	  1.2544586E-08	  2.4776314E-02	  1.0167730E-01	  1.8595976E+00	  5.5235863E-02	  1.5915245E+00	  1.4830695E-03	  5.7098561E+00	  1.4950029E+01	  1.4435467E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.8000000E+04	  1	  5.3591894E+01	  1.3942758E-02	  7.2046183E-02	  3.1423992E-02	  1.1289117E-08	  2.6151699E-02	  8.8916241E-02	  1.6625845E+00	  4.9430989E-02	  1.4339729E+00	  1.3508277E-03	  5.7465862E+00	  1.4909605E+01	  1.4829908E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.9000000E+04	  1	  5.3795214E+01	  1.4331880E-02	  7.4157328E-02	  3.3077294E-02	  1.0192287E-08	  2.7244647E-02	  7.7601086E-02	  1.4846055E+00	  4.4065329E-02	  1.2911610E+00	  1.2313622E-03	  5.7853464E+00	  1.4867443E+01	  1.5177169E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+04	  1	  5.3978036E+01	  1.4674216E-02	  7.5739521E-02	  3.4262823E-02	  9.2628066E-09	  2.8073214E-02	  6.7606615E-02	  1.3244690E+00	  3.9145052E-02	  1.1621689E+00	  1.1238732E-03	  5.8254668E+00	  1.4824213E+01	  1.5487456E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.1000000E+04	  1	  5.4141861E+01	  1.4977956E-02	  7.6844940E-02	  3.5018784E-02	  8.4906187E-09	  2.8661113E-02	  5.8808522E-02	  1.1808619E+00	  3.4665014E-02	  1.0459870E+00	  1.0274794E-03	  5.8664993E+00	  1.4780357E+01	  1.5767449E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+04	  1	  5.4288250E+01	  1.5248780E-02	  7.7528006E-02	  3.5390715E-02	  7.8576030E-09	  2.9034493E-02	  5.1086645E-02	  1.0524240E+00	  3.0611368E-02	  9.4157232E-01	  9.4126751E-04	  5.9081519E+00	  1.4736153E+01	  1.6021516E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.3000000E+04	  1	  5.4418760E+01	  1.5490638E-02	  7.7842294E-02	  3.5426752E-02	  7.3441024E-09	  2.9219933E-02	  4.4327164E-02	  9.3780129E-01	  2.6963957E-02	  8.4788929E-01	  8.6432890E-04	  5.9502408E+00	  1.4691767E+01	  1.6252551E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.4000000E+04	  1	  5.4534903E+01	  1.5706321E-02	  7.7838739E-02	  3.5174622E-02	  6.9324805E-09	  2.9243217E-02	  3.8423960E-02	  8.3568311E-01	  2.3698355E-02	  7.6393702E-01	  7.9578375E-04	  5.9926568E+00	  1.4647290E+01	  1.6462500E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.5000000E+04	  1	  5.4638112E+01	  1.5897844E-02	  7.7564600E-02	  3.4679803E-02	  6.6087548E-09	  2.9128588E-02	  3.3279308E-02	  7.4482613E-01	  2.0787549E-02	  6.8876750E-01	  7.3479750E-04	  6.0353408E+00	  1.4602761E+01	  1.6652685E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.6000000E+04	  1	  5.4729728E+01	  1.6066688E-02	  7.7062903E-02	  3.3984453E-02	  6.3630649E-09	  2.8898333E-02	  2.8804098E-02	  6.6406895E-01	  1.8203270E-02	  6.2149619E-01	  6.8059058E-04	  6.0782678E+00	  1.4558185E+01	  1.6823993E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.7000000E+04	  1	  5.4810990E+01	  1.6213963E-02	  7.6372210E-02	  3.3126849E-02	  6.1894889E-09	  2.8572575E-02	  2.4917712E-02	  5.9233958E-01	  1.5917019E-02	  5.6130726E-01	  6.3244342E-04	  6.1214347E+00	  1.4513547E+01	  1.6976977E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.8000000E+04	  1	  5.4883028E+01	  1.6340499E-02	  7.5526611E-02	  3.2141181E-02	  6.0855404E-09	  2.8169222E-02	  2.1547696E-02	  5.2865780E-01	  1.3900829E-02	  5.0745508E-01	  5.8969808E-04	  6.1648522E+00	  1.4468819E+01	  1.7111926E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.9000000E+04	  1	  5.4946872E+01	  1.6446914E-02	  7.4555864E-02	  3.1057571E-02	  6.0515500E-09	  2.7704003E-02	  1.8629287E-02	  4.7213409E-01	  1.2127811E-02	  4.5926297E-01	  5.5175747E-04	  6.2085391E+00	  1.4423964E+01	  1.7228900E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.0000000E+04	  1	  5.5003446E+01	  1.6533662E-02	  7.3485656E-02	  2.9902237E-02	  6.0900510E-09	  2.7190578E-02	  1.6104871E-02	  4.2196610E-01	  1.0572531E-02	  4.1612031E-01	  5.1808303E-04	  6.2525187E+00	  1.4378944E+01	  1.7327771E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.1000000E+04	  1	  5.5053582E+01	  1.6601062E-02	  7.2337917E-02	  2.8697757E-02	  6.2052387E-09	  2.6640690E-02	  1.3923407E-02	  3.7743374E-01	  9.2112482E-03	  3.7747848E-01	  4.8819142E-04	  6.2968156E+00	  1.4333720E+01	  1.7408254E-02	
