              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
              0	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
           6000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          12000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          18000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          24000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          30000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          36000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          42000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          48000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          54000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          60000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          66000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          72000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          78000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
          84000	              0	            200	              0	 1	   5.8851619253e+00	   1.8615153370e+04	   3.9384019848e+03	   1.2424609431e+05	   2.3544216385e+05	   2.4422085250e+02	   4.5360034433e+02	   7.4296056398e-01	
