              x	              y	              z	           time	in	          Cl	
              0              0              0           1000	 1	  9.9994e-01	
             10	              0              0           1000	 1	  9.9989e-01	
             20	              0              0           1000	 1	  9.9979e-01	
             30	              0              0           1000	 1	  9.9957e-01	
             40	              0              0           1000	 1	  9.9916e-01	
             50	              0              0           1000	 1	  9.9839e-01	
             60	              0              0           1000	 1	  9.9699e-01	
             70	              0              0           1000	 1	  9.9453e-01	
             80	              0              0           1000	 1	  9.9036e-01	
             90	              0              0           1000	 1	  9.8355e-01	
            100	              0              0           1000	 1	  9.7280e-01	
            110	              0              0           1000	 1	  9.5651e-01	
            120	              0              0           1000	 1	  9.3279e-01	
            130	              0              0           1000	 1	  8.9968e-01	
            140	              0              0           1000	 1	  8.5545e-01	
            150	              0              0           1000	 1	  7.9904e-01	
            160	              0              0           1000	 1	  7.3039e-01	
            170	              0              0           1000	 1	  6.5087e-01	
            180	              0              0           1000	 1	  5.6328e-01	
            190	              0              0           1000	 1	  4.7171e-01	
            200	              0              0           1000	 1	  3.8095e-01	
            210	              0              0           1000	 1	  2.9576e-01	
            220	              0              0           1000	 1	  2.2015e-01	
            230	              0              0           1000	 1	  1.5672e-01	
            240	              0              0           1000	 1	  1.0647e-01	
            250	              0              0           1000	 1	  6.8920e-02	
            260	              0              0           1000	 1	  4.2446e-02	
            270	              0              0           1000	 1	  2.4862e-02	
            280	              0              0           1000	 1	  1.3916e-02	
            290	              0              0           1000	 1	  7.7754e-03	
            300	              0              0           1000	 1	  5.7014e-03	
              0             10	              0           1000	 1	  9.9989e-01	
             10	             10	              0           1000	 1	  9.9985e-01	
             20	             10	              0           1000	 1	  9.9973e-01	
             30	             10	              0           1000	 1	  9.9950e-01	
             40	             10	              0           1000	 1	  9.9906e-01	
             50	             10	              0           1000	 1	  9.9825e-01	
             60	             10	              0           1000	 1	  9.9679e-01	
             70	             10	              0           1000	 1	  9.9425e-01	
             80	             10	              0           1000	 1	  9.8996e-01	
             90	             10	              0           1000	 1	  9.8297e-01	
            100	             10	              0           1000	 1	  9.7200e-01	
            110	             10	              0           1000	 1	  9.5543e-01	
            120	             10	              0           1000	 1	  9.3137e-01	
            130	             10	              0           1000	 1	  8.9788e-01	
            140	             10	              0           1000	 1	  8.5327e-01	
            150	             10	              0           1000	 1	  7.9648e-01	
            160	             10	              0           1000	 1	  7.2753e-01	
            170	             10	              0           1000	 1	  6.4781e-01	
            180	             10	              0           1000	 1	  5.6016e-01	
            190	             10	              0           1000	 1	  4.6868e-01	
            200	             10	              0           1000	 1	  3.7815e-01	
            210	             10	              0           1000	 1	  2.9331e-01	
            220	             10	              0           1000	 1	  2.1811e-01	
            230	             10	              0           1000	 1	  1.5512e-01	
            240	             10	              0           1000	 1	  1.0529e-01	
            250	             10	              0           1000	 1	  6.8085e-02	
            260	             10	              0           1000	 1	  4.1891e-02	
            270	             10	              0           1000	 1	  2.4514e-02	
            280	             10	              0           1000	 1	  1.3709e-02	
            290	             10	              0           1000	 1	  7.6524e-03	
            300	             10	              0           1000	 1	  5.6081e-03	
              0             20	              0           1000	 1	  9.9979e-01	
             10	             20	              0           1000	 1	  9.9973e-01	
             20	             20	              0           1000	 1	  9.9958e-01	
             30	             20	              0           1000	 1	  9.9930e-01	
             40	             20	              0           1000	 1	  9.9878e-01	
             50	             20	              0           1000	 1	  9.9785e-01	
             60	             20	              0           1000	 1	  9.9620e-01	
             70	             20	              0           1000	 1	  9.9339e-01	
             80	             20	              0           1000	 1	  9.8873e-01	
             90	             20	              0           1000	 1	  9.8124e-01	
            100	             20	              0           1000	 1	  9.6961e-01	
            110	             20	              0           1000	 1	  9.5220e-01	
            120	             20	              0           1000	 1	  9.2716e-01	
            130	             20	              0           1000	 1	  8.9257e-01	
            140	             20	              0           1000	 1	  8.4682e-01	
            150	             20	              0           1000	 1	  7.8896e-01	
            160	             20	              0           1000	 1	  7.1912e-01	
            170	             20	              0           1000	 1	  6.3883e-01	
            180	             20	              0           1000	 1	  5.5102e-01	
            190	             20	              0           1000	 1	  4.5982e-01	
            200	             20	              0           1000	 1	  3.6999e-01	
            210	             20	              0           1000	 1	  2.8618e-01	
            220	             20	              0           1000	 1	  2.1220e-01	
            230	             20	              0           1000	 1	  1.5048e-01	
            240	             20	              0           1000	 1	  1.0185e-01	
            250	             20	              0           1000	 1	  6.5675e-02	
            260	             20	              0           1000	 1	  4.0295e-02	
            270	             20	              0           1000	 1	  2.3514e-02	
            280	             20	              0           1000	 1	  1.3113e-02	
            290	             20	              0           1000	 1	  7.2997e-03	
            300	             20	              0           1000	 1	  5.3408e-03	
              0             30	              0           1000	 1	  9.9957e-01	
             10	             30	              0           1000	 1	  9.9950e-01	
             20	             30	              0           1000	 1	  9.9930e-01	
             30	             30	              0           1000	 1	  9.9893e-01	
             40	             30	              0           1000	 1	  9.9826e-01	
             50	             30	              0           1000	 1	  9.9711e-01	
             60	             30	              0           1000	 1	  9.9514e-01	
             70	             30	              0           1000	 1	  9.9187e-01	
             80	             30	              0           1000	 1	  9.8657e-01	
             90	             30	              0           1000	 1	  9.7821e-01	
            100	             30	              0           1000	 1	  9.6546e-01	
            110	             30	              0           1000	 1	  9.4667e-01	
            120	             30	              0           1000	 1	  9.1999e-01	
            130	             30	              0           1000	 1	  8.8361e-01	
            140	             30	              0           1000	 1	  8.3602e-01	
            150	             30	              0           1000	 1	  7.7645e-01	
            160	             30	              0           1000	 1	  7.0524e-01	
            170	             30	              0           1000	 1	  6.2410e-01	
            180	             30	              0           1000	 1	  5.3611e-01	
            190	             30	              0           1000	 1	  4.4545e-01	
            200	             30	              0           1000	 1	  3.5682e-01	
            210	             30	              0           1000	 1	  2.7473e-01	
            220	             30	              0           1000	 1	  2.0277e-01	
            230	             30	              0           1000	 1	  1.4312e-01	
            240	             30	              0           1000	 1	  9.6408e-02	
            250	             30	              0           1000	 1	  6.1877e-02	
            260	             30	              0           1000	 1	  3.7790e-02	
            270	             30	              0           1000	 1	  2.1951e-02	
            280	             30	              0           1000	 1	  1.2186e-02	
            290	             30	              0           1000	 1	  6.7531e-03	
            300	             30	              0           1000	 1	  4.9277e-03	
              0             40	              0           1000	 1	  9.9916e-01	
             10	             40	              0           1000	 1	  9.9906e-01	
             20	             40	              0           1000	 1	  9.9878e-01	
             30	             40	              0           1000	 1	  9.9826e-01	
             40	             40	              0           1000	 1	  9.9737e-01	
             50	             40	              0           1000	 1	  9.9587e-01	
             60	             40	              0           1000	 1	  9.9341e-01	
             70	             40	              0           1000	 1	  9.8945e-01	
             80	             40	              0           1000	 1	  9.8319e-01	
             90	             40	              0           1000	 1	  9.7357e-01	
            100	             40	              0           1000	 1	  9.5921e-01	
            110	             40	              0           1000	 1	  9.3846e-01	
            120	             40	              0           1000	 1	  9.0951e-01	
            130	             40	              0           1000	 1	  8.7067e-01	
            140	             40	              0           1000	 1	  8.2060e-01	
            150	             40	              0           1000	 1	  7.5879e-01	
            160	             40	              0           1000	 1	  6.8585e-01	
            170	             40	              0           1000	 1	  6.0373e-01	
            180	             40	              0           1000	 1	  5.1567e-01	
            190	             40	              0           1000	 1	  4.2592e-01	
            200	             40	              0           1000	 1	  3.3908e-01	
            210	             40	              0           1000	 1	  2.5942e-01	
            220	             40	              0           1000	 1	  1.9024e-01	
            230	             40	              0           1000	 1	  1.3341e-01	
            240	             40	              0           1000	 1	  8.9293e-02	
            250	             40	              0           1000	 1	  5.6944e-02	
            260	             40	              0           1000	 1	  3.4556e-02	
            270	             40	              0           1000	 1	  1.9947e-02	
            280	             40	              0           1000	 1	  1.1004e-02	
            290	             40	              0           1000	 1	  6.0601e-03	
            300	             40	              0           1000	 1	  4.4056e-03	
              0             50	              0           1000	 1	  9.9839e-01	
             10	             50	              0           1000	 1	  9.9825e-01	
             20	             50	              0           1000	 1	  9.9785e-01	
             30	             50	              0           1000	 1	  9.9711e-01	
             40	             50	              0           1000	 1	  9.9587e-01	
             50	             50	              0           1000	 1	  9.9388e-01	
             60	             50	              0           1000	 1	  9.9071e-01	
             70	             50	              0           1000	 1	  9.8576e-01	
             80	             50	              0           1000	 1	  9.7818e-01	
             90	             50	              0           1000	 1	  9.6685e-01	
            100	             50	              0           1000	 1	  9.5034e-01	
            110	             50	              0           1000	 1	  9.2702e-01	
            120	             50	              0           1000	 1	  8.9518e-01	
            130	             50	              0           1000	 1	  8.5325e-01	
            140	             50	              0           1000	 1	  8.0017e-01	
            150	             50	              0           1000	 1	  7.3573e-01	
            160	             50	              0           1000	 1	  6.6086e-01	
            170	             50	              0           1000	 1	  5.7780e-01	
            180	             50	              0           1000	 1	  4.8999e-01	
            190	             50	              0           1000	 1	  4.0166e-01	
            200	             50	              0           1000	 1	  3.1728e-01	
            210	             50	              0           1000	 1	  2.4081e-01	
            220	             50	              0           1000	 1	  1.7517e-01	
            230	             50	              0           1000	 1	  1.2185e-01	
            240	             50	              0           1000	 1	  8.0889e-02	
            250	             50	              0           1000	 1	  5.1168e-02	
            260	             50	              0           1000	 1	  3.0802e-02	
            270	             50	              0           1000	 1	  1.7640e-02	
            280	             50	              0           1000	 1	  9.6547e-03	
            290	             50	              0           1000	 1	  5.2753e-03	
            300	             50	              0           1000	 1	  3.8169e-03	
              0             60	              0           1000	 1	  9.9699e-01	
             10	             60	              0           1000	 1	  9.9679e-01	
             20	             60	              0           1000	 1	  9.9620e-01	
             30	             60	              0           1000	 1	  9.9514e-01	
             40	             60	              0           1000	 1	  9.9341e-01	
             50	             60	              0           1000	 1	  9.9071e-01	
             60	             60	              0           1000	 1	  9.8655e-01	
             70	             60	              0           1000	 1	  9.8026e-01	
             80	             60	              0           1000	 1	  9.7093e-01	
             90	             60	              0           1000	 1	  9.5736e-01	
            100	             60	              0           1000	 1	  9.3813e-01	
            110	             60	              0           1000	 1	  9.1164e-01	
            120	             60	              0           1000	 1	  8.7629e-01	
            130	             60	              0           1000	 1	  8.3075e-01	
            140	             60	              0           1000	 1	  7.7426e-01	
            150	             60	              0           1000	 1	  7.0697e-01	
            160	             60	              0           1000	 1	  6.3021e-01	
            170	             60	              0           1000	 1	  5.4649e-01	
            180	             60	              0           1000	 1	  4.5942e-01	
            190	             60	              0           1000	 1	  3.7319e-01	
            200	             60	              0           1000	 1	  2.9204e-01	
            210	             60	              0           1000	 1	  2.1954e-01	
            220	             60	              0           1000	 1	  1.5815e-01	
            230	             60	              0           1000	 1	  1.0894e-01	
            240	             60	              0           1000	 1	  7.1619e-02	
            250	             60	              0           1000	 1	  4.4867e-02	
            260	             60	              0           1000	 1	  2.6751e-02	
            270	             60	              0           1000	 1	  1.5175e-02	
            280	             60	              0           1000	 1	  8.2275e-03	
            290	             60	              0           1000	 1	  4.4533e-03	
            300	             60	              0           1000	 1	  3.2040e-03	
              0             70	              0           1000	 1	  9.9453e-01	
             10	             70	              0           1000	 1	  9.9425e-01	
             20	             70	              0           1000	 1	  9.9339e-01	
             30	             70	              0           1000	 1	  9.9187e-01	
             40	             70	              0           1000	 1	  9.8945e-01	
             50	             70	              0           1000	 1	  9.8576e-01	
             60	             70	              0           1000	 1	  9.8026e-01	
             70	             70	              0           1000	 1	  9.7221e-01	
             80	             70	              0           1000	 1	  9.6061e-01	
             90	             70	              0           1000	 1	  9.4425e-01	
            100	             70	              0           1000	 1	  9.2169e-01	
            110	             70	              0           1000	 1	  8.9144e-01	
            120	             70	              0           1000	 1	  8.5206e-01	
            130	             70	              0           1000	 1	  8.0251e-01	
            140	             70	              0           1000	 1	  7.4240e-01	
            150	             70	              0           1000	 1	  6.7231e-01	
            160	             70	              0           1000	 1	  5.9394e-01	
            170	             70	              0           1000	 1	  5.1010e-01	
            180	             70	              0           1000	 1	  4.2449e-01	
            190	             70	              0           1000	 1	  3.4119e-01	
            200	             70	              0           1000	 1	  2.6409e-01	
            210	             70	              0           1000	 1	  1.9634e-01	
            220	             70	              0           1000	 1	  1.3986e-01	
            230	             70	              0           1000	 1	  9.5259e-02	
            240	             70	              0           1000	 1	  6.1924e-02	
            250	             70	              0           1000	 1	  3.8361e-02	
            260	             70	              0           1000	 1	  2.2620e-02	
            270	             70	              0           1000	 1	  1.2691e-02	
            280	             70	              0           1000	 1	  6.8064e-03	
            290	             70	              0           1000	 1	  3.6443e-03	
            300	             70	              0           1000	 1	  2.6048e-03	
              0             80	              0           1000	 1	  9.9036e-01	
             10	             80	              0           1000	 1	  9.8996e-01	
             20	             80	              0           1000	 1	  9.8873e-01	
             30	             80	              0           1000	 1	  9.8657e-01	
             40	             80	              0           1000	 1	  9.8319e-01	
             50	             80	              0           1000	 1	  9.7818e-01	
             60	             80	              0           1000	 1	  9.7093e-01	
             70	             80	              0           1000	 1	  9.6061e-01	
             80	             80	              0           1000	 1	  9.4620e-01	
             90	             80	              0           1000	 1	  9.2645e-01	
            100	             80	              0           1000	 1	  8.9999e-01	
            110	             80	              0           1000	 1	  8.6545e-01	
            120	             80	              0           1000	 1	  8.2165e-01	
            130	             80	              0           1000	 1	  7.6790e-01	
            140	             80	              0           1000	 1	  7.0424e-01	
            150	             80	              0           1000	 1	  6.3167e-01	
            160	             80	              0           1000	 1	  5.5229e-01	
            170	             80	              0           1000	 1	  4.6912e-01	
            180	             80	              0           1000	 1	  3.8589e-01	
            190	             80	              0           1000	 1	  3.0646e-01	
            200	             80	              0           1000	 1	  2.3431e-01	
            210	             80	              0           1000	 1	  1.7202e-01	
            220	             80	              0           1000	 1	  1.2099e-01	
            230	             80	              0           1000	 1	  8.1368e-02	
            240	             80	              0           1000	 1	  5.2227e-02	
            250	             80	              0           1000	 1	  3.1949e-02	
            260	             80	              0           1000	 1	  1.8606e-02	
            270	             80	              0           1000	 1	  1.0311e-02	
            280	             80	              0           1000	 1	  5.4624e-03	
            290	             80	              0           1000	 1	  2.8890e-03	
            300	             80	              0           1000	 1	  2.0497e-03	
              0             90	              0           1000	 1	  9.8355e-01	
             10	             90	              0           1000	 1	  9.8297e-01	
             20	             90	              0           1000	 1	  9.8124e-01	
             30	             90	              0           1000	 1	  9.7821e-01	
             40	             90	              0           1000	 1	  9.7357e-01	
             50	             90	              0           1000	 1	  9.6685e-01	
             60	             90	              0           1000	 1	  9.5736e-01	
             70	             90	              0           1000	 1	  9.4425e-01	
             80	             90	              0           1000	 1	  9.2645e-01	
             90	             90	              0           1000	 1	  9.0275e-01	
            100	             90	              0           1000	 1	  8.7189e-01	
            110	             90	              0           1000	 1	  8.3270e-01	
            120	             90	              0           1000	 1	  7.8432e-01	
            130	             90	              0           1000	 1	  7.2647e-01	
            140	             90	              0           1000	 1	  6.5963e-01	
            150	             90	              0           1000	 1	  5.8526e-01	
            160	             90	              0           1000	 1	  5.0576e-01	
            170	             90	              0           1000	 1	  4.2432e-01	
            180	             90	              0           1000	 1	  3.4455e-01	
            190	             90	              0           1000	 1	  2.6999e-01	
            200	             90	              0           1000	 1	  2.0361e-01	
            210	             90	              0           1000	 1	  1.4742e-01	
            220	             90	              0           1000	 1	  1.0225e-01	
            230	             90	              0           1000	 1	  6.7804e-02	
            240	             90	              0           1000	 1	  4.2915e-02	
            250	             90	              0           1000	 1	  2.5890e-02	
            260	             90	              0           1000	 1	  1.4871e-02	
            270	             90	              0           1000	 1	  8.1301e-03	
            280	             90	              0           1000	 1	  4.2491e-03	
            290	             90	              0           1000	 1	  2.2172e-03	
            300	             90	              0           1000	 1	  1.5601e-03	
              0            100	              0           1000	 1	  9.7280e-01	
             10	            100	              0           1000	 1	  9.7200e-01	
             20	            100	              0           1000	 1	  9.6961e-01	
             30	            100	              0           1000	 1	  9.6546e-01	
             40	            100	              0           1000	 1	  9.5921e-01	
             50	            100	              0           1000	 1	  9.5034e-01	
             60	            100	              0           1000	 1	  9.3813e-01	
             70	            100	              0           1000	 1	  9.2169e-01	
             80	            100	              0           1000	 1	  8.9999e-01	
             90	            100	              0           1000	 1	  8.7189e-01	
            100	            100	              0           1000	 1	  8.3630e-01	
            110	            100	              0           1000	 1	  7.9234e-01	
            120	            100	              0           1000	 1	  7.3953e-01	
            130	            100	              0           1000	 1	  6.7802e-01	
            140	            100	              0           1000	 1	  6.0876e-01	
            150	            100	              0           1000	 1	  5.3360e-01	
            160	            100	              0           1000	 1	  4.5517e-01	
            170	            100	              0           1000	 1	  3.7669e-01	
            180	            100	              0           1000	 1	  3.0156e-01	
            190	            100	              0           1000	 1	  2.3287e-01	
            200	            100	              0           1000	 1	  1.7301e-01	
            210	            100	              0           1000	 1	  1.2338e-01	
            220	            100	              0           1000	 1	  8.4278e-02	
            230	            100	              0           1000	 1	  5.5039e-02	
            240	            100	              0           1000	 1	  3.4310e-02	
            250	            100	              0           1000	 1	  2.0388e-02	
            260	            100	              0           1000	 1	  1.1537e-02	
            270	            100	              0           1000	 1	  6.2148e-03	
            280	            100	              0           1000	 1	  3.2007e-03	
            290	            100	              0           1000	 1	  1.6458e-03	
            300	            100	              0           1000	 1	  1.1476e-03	
              0            110	              0           1000	 1	  9.5651e-01	
             10	            110	              0           1000	 1	  9.5543e-01	
             20	            110	              0           1000	 1	  9.5220e-01	
             30	            110	              0           1000	 1	  9.4667e-01	
             40	            110	              0           1000	 1	  9.3846e-01	
             50	            110	              0           1000	 1	  9.2702e-01	
             60	            110	              0           1000	 1	  9.1164e-01	
             70	            110	              0           1000	 1	  8.9144e-01	
             80	            110	              0           1000	 1	  8.6545e-01	
             90	            110	              0           1000	 1	  8.3270e-01	
            100	            110	              0           1000	 1	  7.9234e-01	
            110	            110	              0           1000	 1	  7.4384e-01	
            120	            110	              0           1000	 1	  6.8713e-01	
            130	            110	              0           1000	 1	  6.2281e-01	
            140	            110	              0           1000	 1	  5.5227e-01	
            150	            110	              0           1000	 1	  4.7764e-01	
            160	            110	              0           1000	 1	  4.0169e-01	
            170	            110	              0           1000	 1	  3.2753e-01	
            180	            110	              0           1000	 1	  2.5819e-01	
            190	            110	              0           1000	 1	  1.9624e-01	
            200	            110	              0           1000	 1	  1.4347e-01	
            210	            110	              0           1000	 1	  1.0066e-01	
            220	            110	              0           1000	 1	  6.7639e-02	
            230	            110	              0           1000	 1	  4.3454e-02	
            240	            110	              0           1000	 1	  2.6649e-02	
            250	            110	              0           1000	 1	  1.5581e-02	
            260	            110	              0           1000	 1	  8.6768e-03	
            270	            110	              0           1000	 1	  4.6006e-03	
            280	            110	              0           1000	 1	  2.3323e-03	
            290	            110	              0           1000	 1	  1.1805e-03	
            300	            110	              0           1000	 1	  8.1516e-04	
              0            120	              0           1000	 1	  9.3279e-01	
             10	            120	              0           1000	 1	  9.3137e-01	
             20	            120	              0           1000	 1	  9.2716e-01	
             30	            120	              0           1000	 1	  9.1999e-01	
             40	            120	              0           1000	 1	  9.0951e-01	
             50	            120	              0           1000	 1	  8.9518e-01	
             60	            120	              0           1000	 1	  8.7629e-01	
             70	            120	              0           1000	 1	  8.5206e-01	
