              x	              y	              z	           time	in	           Distance	               Time	                 Na	                 Cl	                 Br	
              0	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000585596e-03	   9.9750956148e-04	   2.5489981119e-06	
            0.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000586595e-03	   9.9526300773e-04	   4.7956517286e-06	
            0.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000588088e-03	   9.9190308553e-04	   8.1557232940e-06	
            0.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000590228e-03	   9.8708929220e-04	   1.2969730609e-05	
            0.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000593183e-03	   9.8044294679e-04	   1.9616371478e-05	
            0.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000597130e-03	   9.7156298966e-04	   2.8496723354e-05	
            0.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000602249e-03	   9.6004711355e-04	   4.0013111389e-05	
            0.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000608709e-03	   9.4551684352e-04	   5.4544027349e-05	
            0.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000616654e-03	   9.2764450917e-04	   7.2417156195e-05	
            0.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000626196e-03	   9.0617962214e-04	   9.3882997427e-05	
              1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000637401e-03	   8.8097206608e-04	   1.1909167407e-04	
            1.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000650285e-03	   8.5198974621e-04	   1.4807528232e-04	
            1.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000664805e-03	   8.1932889201e-04	   1.8073758845e-04	
            1.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000680858e-03	   7.8321597130e-04	   2.1685211455e-04	
            1.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000698291e-03	   7.4400104025e-04	   2.5606878889e-04	
            1.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000716899e-03	   7.0214319763e-04	   2.9792849231e-04	
            1.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000736439e-03	   6.5818952706e-04	   3.4188411686e-04	
            1.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000756640e-03	   6.1274942023e-04	   3.8732624376e-04	
            1.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000777215e-03	   5.6646643845e-04	   4.3361128309e-04	
            1.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000797877e-03	   5.1998988862e-04	   4.8008989910e-04	
              2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000818346e-03	   4.7394809356e-04	   5.2613374102e-04	
            2.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000838362e-03	   4.2892497696e-04	   5.7115885922e-04	
            2.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000857694e-03	   3.8544112432e-04	   6.1464464504e-04	
            2.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000876144e-03	   3.4393998580e-04	   6.5614762862e-04	
            2.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000893554e-03	   3.0477941069e-04	   6.9530994476e-04	
            2.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000909805e-03	   2.6822829000e-04	   7.3186269051e-04	
            2.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000924815e-03	   2.3446775984e-04	   7.6562472171e-04	
            2.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000938542e-03	   2.0359619712e-04	   7.9649765707e-04	
            2.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000950974e-03	   1.7563712003e-04	   8.2445797737e-04	
            2.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000962130e-03	   1.5054907714e-04	   8.4954713588e-04	
              3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000972053e-03	   1.2823665533e-04	   8.7186054999e-04	
            3.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000980804e-03	   1.0856183618e-04	   8.9153624425e-04	
            3.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000988458e-03	   9.1355064182e-05	   9.0874378171e-04	
            3.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000995101e-03	   7.6425538475e-05	   9.2367397172e-04	
            3.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001000822e-03	   6.3570388338e-05	   9.3652969403e-04	
            3.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001005715e-03	   5.2582529860e-05	   9.4751804176e-04	
            3.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001009869e-03	   4.3257119262e-05	   9.5684386779e-04	
            3.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001013373e-03	   3.5396613821e-05	   9.6470472364e-04	
            3.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001016309e-03	   2.8814522896e-05	   9.7128710822e-04	
            3.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001018754e-03	   2.3337980365e-05	   9.7676389535e-04	
              4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001020779e-03	   1.8809298542e-05	   9.8129277970e-04	
            4.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001022446e-03	   1.5086675662e-05	   9.8501556933e-04	
            4.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001023812e-03	   1.2044228036e-05	   9.8805815352e-04	
            4.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001024924e-03	   9.5715076128e-06	   9.9053098521e-04	
            4.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001025826e-03	   7.5726491751e-06	   9.9252993387e-04	
            4.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001026554e-03	   5.9652714358e-06	   9.9413738445e-04	
            4.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001027139e-03	   4.6792351764e-06	   9.9542347930e-04	
            4.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001027609e-03	   3.6553407732e-06	   9.9644742070e-04	
            4.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001027984e-03	   2.8440282013e-06	   9.9725877089e-04	
            4.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001028284e-03	   2.2041255246e-06	   9.9789870358e-04	
              5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001028523e-03	   1.7016773157e-06	   9.9840117572e-04	
            5.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001028713e-03	   1.3088724919e-06	   9.9879399960e-04	
            5.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001028868e-03	   1.0030815756e-06	   9.9909980614e-04	
            5.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029004e-03	   7.6600617205e-07	   9.9933689526e-04	
            5.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029085e-03	   5.8293820755e-07	   9.9951997131e-04	
            5.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029214e-03	   4.4212288864e-07	   9.9966079976e-04	
            5.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029214e-03	   3.3421701880e-07	   9.9976870545e-04	
            5.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029203e-03	   2.5183320759e-07	   9.9985108798e-04	
            5.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029186e-03	   1.8915988556e-07	   9.9991375949e-04	
            5.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029168e-03	   1.4164733810e-07	   9.9996127003e-04	
              6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029149e-03	   1.0575036121e-07	   9.9999716503e-04	
            6.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029132e-03	   7.8718925397e-08	   1.0000241946e-03	
            6.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029116e-03	   5.8429097771e-08	   1.0000444828e-03	
            6.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029103e-03	   4.3247391127e-08	   1.0000596632e-03	
            6.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029092e-03	   3.1922616960e-08	   1.0000709868e-03	
            6.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029083e-03	   2.3500180667e-08	   1.0000794082e-03	
            6.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029075e-03	   1.7254547003e-08	   1.0000856531e-03	
            6.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029069e-03	   1.2636310967e-08	   1.0000902707e-03	
            6.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029064e-03	   9.2309292711e-09	   1.0000936755e-03	
            6.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029060e-03	   6.7267020894e-09	   1.0000961794e-03	
              7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029057e-03	   4.8900489146e-09	   1.0000980157e-03	
            7.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029055e-03	   3.5465033152e-09	   1.0000993590e-03	
            7.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029053e-03	   2.5661673249e-09	   1.0001003392e-03	
            7.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029052e-03	   1.8526256003e-09	   1.0001010526e-03	
            7.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029051e-03	   1.3345304821e-09	   1.0001015706e-03	
            7.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029050e-03	   9.5923929521e-10	   1.0001019458e-03	
            7.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029050e-03	   6.8802144237e-10	   1.0001022170e-03	
            7.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029049e-03	   4.9246108614e-10	   1.0001024125e-03	
            7.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029049e-03	   3.5176664978e-10	   1.0001025531e-03	
            7.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029049e-03	   2.5076537476e-10	   1.0001026541e-03	
              8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029049e-03	   1.7841342101e-10	   1.0001027265e-03	
            8.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029049e-03	   1.2669250680e-10	   1.0001027782e-03	
            8.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029048e-03	   8.9795331537e-11	   1.0001028151e-03	
            8.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029048e-03	   6.3526003509e-11	   1.0001028413e-03	
            8.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029048e-03	   4.4860009698e-11	   1.0001028600e-03	
            8.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029048e-03	   3.1622189991e-11	   1.0001028732e-03	
            8.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029048e-03	   2.2251719720e-11	   1.0001028825e-03	
            8.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029048e-03	   1.5631051705e-11	   1.0001028891e-03	
            8.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   1.0961736468e-11	   1.0001028938e-03	
            8.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   7.6745029881e-12	   1.0001028971e-03	
              9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   5.3643091376e-12	   1.0001028994e-03	
            9.1	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   3.7435415354e-12	   1.0001029010e-03	
            9.2	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   2.6083733221e-12	   1.0001029021e-03	
            9.3	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   1.8146381399e-12	   1.0001029029e-03	
            9.4	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   1.2605733286e-12	   1.0001029034e-03	
            9.5	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   8.7452101766e-13	   1.0001029038e-03	
            9.6	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   6.0623225139e-13	   1.0001029041e-03	
            9.7	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   4.2087923813e-13	   1.0001029043e-03	
            9.8	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   2.9537255552e-13	   1.0001029044e-03	
            9.9	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   2.1739151448e-13	   1.0001029045e-03	
             10	              0	              0	            0.2	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0001029047e-03	   1.8943484633e-13	   1.0001029045e-03	
              0	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000584518e-03	   1.0000098396e-03	   4.8612269507e-08	
            0.1	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000584566e-03	   9.9996628953e-04	   9.2167137195e-08	
            0.2	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000584635e-03	   9.9989834030e-04	   1.6012336361e-07	
            0.3	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000584729e-03	   9.9979559905e-04	   2.6287415859e-07	
            0.4	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000584851e-03	   9.9964427212e-04	   4.1421329685e-07	
            0.5	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000584994e-03	   9.9942638669e-04	   6.3211317684e-07	
            0.6	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000585143e-03	   9.9911893737e-04	   9.3957744286e-07	
            0.7	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000585222e-03	   9.9869297878e-04	   1.3655436966e-06	
            0.8	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000585462e-03	   9.9811274505e-04	   1.9458013791e-06	
            0.9	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000585791e-03	   9.9733470029e-04	   2.7238789999e-06	
              1	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000586232e-03	   9.9630677803e-04	   3.7518453608e-06	
            1.1	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000586813e-03	   9.9496772058e-04	   5.0909608924e-06	
            1.2	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000587566e-03	   9.9324664656e-04	   6.8121101295e-06	
            1.3	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000588525e-03	   9.9106290776e-04	   8.9959448461e-06	
            1.4	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000589732e-03	   9.8832630260e-04	   1.1732670643e-05	
            1.5	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000591229e-03	   9.8493770468e-04	   1.5121418313e-05	
            1.6	              0	              0	            0.4	 1	   0.0000000000e+00	   0.0000000000e+00	   1.0000593065e-03	   9.8079015134e-04	   1.9269155266e-05	
