x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.303401	2.47324	0.39376	0	0	4.01941e-013	0.976752	0	0	0	0	0	1.65888e-007	0.999974	0	0.303401	6.44991	2.37049	0	0	0.999974	0	0	0	0	0.25	0.250006	0	21.6116	-0.394552	1	3.11637	-0.179268	-0.607722	0.299867	1.37828	-0.051583	
2.1	0	-99999	0.299113	1.16036e-005	0.18376	2.04399e-015	0	8.56711e-008	2.1386e-006	1.7563e-010	8.63034e-027	0.0234751	0	0	0.823583	2.39267e-010	0.0882086	0.299113	-0.170712	0.254188	0.111684	0	1	0	0	0	0	0.25	0.25	1	15.0318	4.93412	0.985502	-0.228332	-0.207913	-0.598224	0.299113	0.254088	0.0234569	
2.1	1	-99999	0.303133	0.0775482	0.233447	0	0	1.28191e-011	0.0181571	0	0	0	0	0	0.00899584	0.991036	0	0.303133	3.06881	1.24264	0	0	1.00003	0	0	0	0	0.25	0.249992	2	19.8722	1.10914	2.05968	-0.364366	-0.197435	-0.670388	0.303869	0.241896	-0.0247906	
0	1	-99999	0.300804	4.53315e-012	0.129583	3.13411e-021	0	0.219295	5.89162e-013	6.89331e-010	9.41899e-019	2.9401e-034	0	0	3.86754e-007	4.72419e-036	0.500122	0.300804	-1.71966	0.129583	0.500122	0	1.00024	0	0	0	0	0.25	0.249939	3	9.53054	11.3423	2.01352	-0.213079	0.0145635	-0.611534	0.301027	0.126345	-0.00967553	
1	0	1	0.299113	1.54709e-005	0.172255	1.36264e-015	0	6.42559e-008	2.67284e-006	8.7817e-011	7.58515e-028	0.0407341	0	0	6.70804	4.3297e-009	1.64598	0.299113	-4.77498	0.29446	1.68671	0	10	0	0	0	0	3.75	0.375	4	15.1585	4.8092	1.00001	-0.0910206	-0.207912	-0.598224	0.299113	0.29448	0.0395896	
1.1	0	1	0.299113	1.61351e-005	0.173326	1.08592e-015	0	6.16106e-008	2.80493e-006	6.71023e-011	3.26493e-028	0.0391272	0	0	7.27785	5.36202e-009	1.36107	0.299113	-3.9267	0.29071	1.4002	0	10	0	0	0	0	3.75	0.375	5	15.1773	4.79094	1.00002	-0.102662	-0.207913	-0.598221	0.299113	0.290748	0.0391433	
1	0.9	1	0.267303	1.17101	0.17643	1.60191e-034	0	8.48924e-013	0.207213	1.36393e-034	0	0.168885	0	0	3.48822e-005	9.99991	1.20662e-044	0.267303	32.0535	10.8902	0.168885	0	9.99995	0	0	0	0	3.21429	0.32143	6	1.32342	-0.069845	0.965107	2.60482	-0.207606	-0.0406129	0.262748	0.95615	0.192187	
1.1	0.9	1	0.262706	0.891111	0.113675	2.04558e-033	0	1.11557e-012	0.101597	2.28875e-033	0	0.193436	0	0	0.000122855	9.9999	4.33711e-042	0.262706	31.7662	10.7955	0.193436	0	10	0	0	0	0	2.91667	0.291666	7	20.0202	0.0487819	1.03545	2.37096	-0.208032	0.0203901	0.258768	0.850743	0.214409	
0	0.298	-99999	3.99328e-006	5.51033e-005	1.86813e-009	0.000110192	0	1.80406e-008	1.03245e-013	1.99383	2.70312e-005	6.76216e-013	0	0	8.73892e-005	2.76402e-020	0.499956	3.99328e-006	-3.49375	2.70331e-005	2.49398	0	1	0	0	0	0	0.25	0.25	8	15.1509	4.25754	1	5.56642	-0.207897	3.9881	3.79787e-006	2.57441e-005	1.99403	
0	0.402	-99999	4.83033e-006	6.2992e-005	2.30416e-009	0.000125966	0	1.57813e-008	1.45574e-013	1.99379	2.91635e-005	2.47704e-012	0	0	9.99002e-005	5.8221e-020	0.49995	4.83033e-006	-3.4937	2.91659e-005	2.49396	0	1	0	0	0	0	0.25	0.25	9	15.0224	4.19943	1	5.5664	-0.207898	3.98809	4.60691e-006	2.79472e-005	1.99402	
