x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	2.94307e-006	0.0096214	9.86424e-011	0.0189224	0	1.03321e-010	9.51892e-013	1.96088	7.7759e-009	1.58899e-005	0	0	0.0152691	1.35749e-012	0.492365	2.94307e-006	-3.42829	4.76776e-005	2.47218	0	1	0	0	0	0	0.25	0.25	0	16.773	2.01548	1.09089	5.55302	-0.207912	3.98812	2.66305e-006	4.31413e-005	1.98059	
2.1	0	-99999	1.79911e-005	0.0522237	1.1021e-011	0.0955687	0	1.90353e-011	5.77263e-013	1.82458	1.28947e-010	9.71513e-005	0	0	0.0829153	1.31705e-010	0.458542	1.79911e-005	-3.14759	0.000291454	2.37878	0	1	0	0	0	0	0.25	0.25	1	17.7174	1.28085	1.61437	5.49709	-0.207919	3.98791	1.62793e-005	0.000263724	1.92422	
2.1	1	-99999	1.73356e-005	0.0453767	1.37066e-011	0.0839854	0	2.19076e-011	6.23805e-013	1.84538	1.90951e-010	9.36115e-005	0	0	0.0720599	9.3383e-011	0.46397	1.73356e-005	-3.19153	0.000280835	2.39342	0	1	0	0	0	0	0.25	0.25	2	17.6518	1.34188	1.64062	5.50566	-0.207919	3.98792	1.56862e-005	0.000254114	1.93281	
0	1	-99999	1.92194e-006	0.00469249	2.82269e-010	0.00930819	0	2.11848e-010	1.32848e-012	1.97777	4.68121e-008	1.03627e-005	0	0	0.00744452	2.19713e-013	0.496278	1.92194e-006	-3.46187	3.11352e-005	2.48336	0	1	0	0	0	0	0.25	0.25	3	16.4076	2.32731	1.78396	5.55983	-0.207913	3.98814	1.73908e-006	2.81729e-005	1.98743	
1	0	1	1.93286e-005	0.111284	3.30099e-012	0.185324	0	8.93298e-012	3.68436e-013	1.66041	1.36594e-011	0.000104375	0	0	0.593182	2.73068e-009	4.70341	1.93286e-005	-15.6589	0.000313127	6.54925	0	10	0	0	0	0	3.75	0.375	4	18.0564	0.952283	1.48989	5.43913	-0.20792	3.98789	1.74896e-005	0.000283331	1.86623	
1.1	0	1	1.94947e-005	0.11135	3.30727e-012	0.185415	0	8.9277e-012	3.69355e-013	1.66024	1.36731e-011	0.000105271	0	0	0.593552	2.74245e-009	4.70322	1.94947e-005	-15.6581	0.000315817	6.54898	0	10	0	0	0	0	3.75	0.375	5	18.0576	0.952026	1.49715	5.43903	-0.20792	3.98789	1.76398e-005	0.000285765	1.86613	
1	0.9	1	1.00909e-005	0.0307609	2.16989e-011	0.0583462	0	3.23169e-011	6.69455e-013	1.89116	4.79948e-010	5.44904e-005	0	0	0.157158	1.00442e-010	4.92142	1.00909e-005	-16.6244	0.000163472	6.87098	0	10	0	0	0	0	3.21429	0.321429	6	17.4219	1.51072	1.62357	5.52649	-0.207915	3.98802	9.13081e-006	0.000147918	1.95386	
1.1	0.9	1	1.05246e-005	0.0320774	2.0536e-011	0.0607082	0	3.09905e-011	6.60695e-013	1.88696	4.32686e-010	5.68322e-005	0	0	0.16401	1.12494e-010	4.91799	1.05246e-005	-16.6086	0.000170497	6.86572	0	10	0	0	0	0	2.91667	0.291667	7	17.4449	1.49251	1.62695	5.52486	-0.207915	3.98802	9.52321e-006	0.000154275	1.95221	
0	0.298	-99999	5.9063e-008	0.000187214	2.24746e-010	0.000374304	0	5.30993e-009	4.22005e-014	1.99342	9.56589e-007	5.32917e-013	0	0	0.000296905	4.43068e-019	0.499851	5.9063e-008	-3.4928	9.56816e-007	2.49365	0	1	0	0	0	0	0.25	0.25	8	6.10521	3.72638	1.00201	5.56618	-0.207901	3.98816	5.34434e-008	8.65779e-007	1.99382	
0	0.402	-99999	3.89248e-008	0.000102665	8.11971e-011	0.000205293	0	9.68288e-009	8.36085e-015	1.99372	6.30496e-007	1.2465e-015	0	0	0.000162817	1.44762e-020	0.499919	3.89248e-008	-3.49338	6.30578e-007	2.49385	0	1	0	0	0	0	0.25	0.25	9	5.30488	3.98729	1.00503	5.5663	-0.207901	3.98816	3.52213e-008	5.70581e-007	1.99394	
0.298	1	-99999	3.3749e-008	8.70632e-005	5.96979e-011	0.000174099	0	1.14181e-008	5.2129e-015	1.99378	5.4667e-007	2.17277e-016	0	0	0.000138073	5.50447e-021	0.499931	3.3749e-008	-3.49348	5.4673e-007	2.49388	0	1	0	0	0	0	0.25	0.25	10	5.12483	4.05888	1.99644	5.56632	-0.207901	3.98816	3.05379e-008	4.94711e-007	1.99396	
0.402	1	-99999	1.01561e-007	0.000278514	5.75071e-010	0.000556755	0	3.56928e-009	1.6064e-013	1.9931	1.64451e-006	6.5046e-011	0	0	0.000441702	5.55314e-018	0.499779	1.01561e-007	-3.49217	1.64528e-006	2.49344	0	1	0	0	0	0	0.25	0.25	11	7.60421	3.55387	1.99611	5.56605	-0.207901	3.98816	9.18979e-008	1.48874e-006	1.99369	
2.1	0.402	-99999	1.58627e-005	0.0430765	1.44936e-011	0.0800339	0	2.30774e-011	6.26186e-013	1.85246	2.15155e-010	8.5658e-005	0	0	0.0684103	8.0198e-011	0.465795	1.58627e-005	-3.20642	0.000256974	2.39837	0	1	0	0	0	0	0.25	0.25	12	17.6194	1.36447	1.63608	5.5086	-0.207918	3.98794	1.43535e-005	0.000232524	1.9358	
2.1	0.198	-99999	1.73951e-005	0.0501154	1.16591e-011	0.0920303	0	1.98361e-011	5.86036e-013	1.83094	1.43644e-010	9.3933e-005	0	0	0.0795741	1.18167e-010	0.460213	1.73951e-005	-3.16109	0.000281799	2.38328	0	1	0	0	0	0	0.25	0.25	13	17.6956	1.29874	1.61743	5.49972	-0.207919	3.98792	1.57401e-005	0.000254987	1.92688	
