x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.299113	0.231338	0.239477	0	0	4.29715e-012	0.0555644	0	0	0	0	0	0.0003332	0.999667	0	0.299113	3.2859	1.29471	0	0	1	0	0	0	0	0.25	0.25	0	19.3461	0.634466	1.09089	-0.128872	-0.207911	-0.598221	0.299113	0.295057	-5.2227e-023	
2.1	0	-99999	0.299113	0.198241	0.234415	0	0	5.01457e-012	0.0466086	0	0	0	0	0	0.00054082	0.999459	0	0.299113	3.24323	1.28048	0	0	1	0	0	0	0	0.25	0.25	1	19.2774	0.70152	1.61437	-0.170838	-0.207912	-0.598221	0.299113	0.28107	-3.19265e-022	
2.1	1	-99999	0.299113	0.206144	0.235642	0	0	4.82234e-012	0.0487201	0	0	0	0	0	0.000478503	0.999522	0	0.299113	3.25343	1.28388	0	0	1	0	0	0	0	0.25	0.25	2	19.2948	0.684544	1.64062	-0.160892	-0.207912	-0.598221	0.299113	0.284385	-3.07633e-022	
0	1	-99999	0.299113	0.236834	0.240298	0	0	4.19744e-012	0.0570796	0	0	0	0	0	0.000309485	0.999691	0	0.299113	3.29298	1.29707	0	0	1	0	0	0	0	0.25	0.25	3	19.3565	0.62427	1.78396	-0.121901	-0.207911	-0.598221	0.299113	0.297381	-3.41063e-023	
1	0	1	0.299113	0.0166839	0.202707	0	0	5.95842e-011	0.00339197	0	0	0	0	0	5.12142	4.87858	0	0.299113	14.6558	5.08468	0	0	10	0	0	0	0	3.75	0.375	4	18.1935	1.77642	1.48989	-0.206199	-0.207912	-0.598221	0.299113	0.269283	-3.43e-022	
1.1	0	1	0.299113	0.0165365	0.202678	0	0	6.01153e-011	0.00336152	0	0	0	0	0	5.18826	4.81174	0	0.299113	14.4551	5.01778	0	0	10	0	0	0	0	3.75	0.375	5	18.1897	1.78027	1.49715	-0.206262	-0.207912	-0.598221	0.299113	0.269262	-3.45947e-022	
1	0.9	1	0.299113	0.0271239	0.204735	0	0	3.66501e-011	0.00556969	0	0	0	0	0	1.94771	8.05229	0	0.299113	24.1896	8.26259	0	0	10	0	0	0	0	3.21429	0.321429	6	18.4051	1.56536	1.62357	-0.147718	-0.207911	-0.598221	0.299113	0.288776	-1.79071e-022	
1.1	0.9	1	0.299113	0.0256515	0.204451	0	0	3.87539e-011	0.00526001	0	0	0	0	0	2.2262	7.7738	0	0.299113	23.3523	7.98351	0	0	10	0	0	0	0	2.91667	0.291667	7	18.3808	1.5896	1.62695	-0.148945	-0.207911	-0.598221	0.299113	0.288367	-1.86766e-022	
0	0.298	-99999	0.299113	0.240723	0.240877	0	0	4.12962e-012	0.0581566	0	0	0	0	0	0.000294022	0.999706	0	0.299113	3.298	1.29874	0	0	1	0	0	0	0	0.25	0.25	8	19.3638	0.617196	1.00201	-0.116942	-0.20791	-0.598221	0.299113	0.299034	-1.04812e-024	
0	0.402	-99999	0.299113	0.240815	0.240891	0	0	4.12804e-012	0.0581822	0	0	0	0	0	0.000293668	0.999706	0	0.299113	3.29812	1.29878	0	0	1	0	0	0	0	0.25	0.25	9	19.364	0.61703	1.00503	-0.116825	-0.20791	-0.598221	0.299113	0.299073	-6.90749e-025	
0.298	1	-99999	0.299113	0.24083	0.240893	0	0	4.12779e-012	0.0581862	0	0	0	0	0	0.000293612	0.999706	0	0.299113	3.29814	1.29879	0	0	1	0	0	0	0	0.25	0.25	10	19.364	0.617004	1.99644	-0.116806	-0.20791	-0.598221	0.299113	0.299079	-5.989e-025	
0.402	1	-99999	0.299113	0.240669	0.240869	0	0	4.13055e-012	0.0581415	0	0	0	0	0	0.000294231	0.999706	0	0.299113	3.29793	1.29872	0	0	1	0	0	0	0	0.25	0.25	11	19.3637	0.617294	1.99611	-0.117011	-0.20791	-0.598221	0.299113	0.299011	-1.80227e-024	
2.1	0.402	-99999	0.299113	0.206503	0.235697	0	0	4.81394e-012	0.0488166	0	0	0	0	0	0.000475897	0.999524	0	0.299113	3.25389	1.28404	0	0	1	0	0	0	0	0.25	0.25	12	19.2955	0.683787	1.63608	-0.160416	-0.207912	-0.598221	0.299113	0.284544	-2.81496e-022	
2.1	0.198	-99999	0.299113	0.199997	0.234689	0	0	4.97054e-012	0.0470763	0	0	0	0	0	0.000526093	0.999474	0	0.299113	3.2455	1.28124	0	0	1	0	0	0	0	0.25	0.25	13	19.2813	0.69769	1.61743	-0.168621	-0.207912	-0.598221	0.299113	0.281809	-3.08689e-022	
1.25	1	-99999	0.299113	0.214989	0.237001	0	0	4.62392e-012	0.0511038	0	0	0	0	0	0.000419442	0.999581	0	0.299113	3.26483	1.28769	0	0	1	0	0	0	0	0.25	0.25	14	19.3134	0.666297	1.65109	-0.149652	-0.207911	-0.598221	0.299113	0.288131	-2.00355e-022	
0.825	1	-99999	0.299113	0.224528	0.238451	0	0	4.42749e-012	0.0536977	0	0	0	0	0	0.000366005	0.999634	0	0.299113	3.27713	1.29178	0	0	1	0	0	0	0	0.25	0.25	15	19.3328	0.647444	1.74478	-0.137544	-0.207911	-0.598221	0.299113	0.292167	-1.22609e-022	
0.269386	0.35	-99999	0.299113	0.233622	0.239819	0	0	4.25515e-012	0.0561931	0	0	0	0	0	0.000323066	0.999677	0	0.299113	3.28885	1.29569	0	0	1	0	0	0	0	0.25	0.25	16	19.3504	0.630201	1.15763	-0.125979	-0.207911	-0.598221	0.299113	0.296022	-4.92324e-023	
1.1	0.4	1	0.299113	0.0197251	0.203301	0	0	5.03975e-011	0.00402202	0	0	0	0	0	3.8777	6.1223	0	0.299113	18.3906	6.32962	0	0	10	0	0	0	0	3.75	0.375	17	18.2664	1.70369	1.56069	-0.166355	-0.207912	-0.598221	0.299113	0.282564	-2.50546e-022	
1	0.45	1	0.299113	0.0212508	0.203598	0	0	4.67792e-011	0.00433944	0	0	0	0	0	3.35891	6.64109	0	0.299113	19.9489	6.84903	0	0	10	0	0	0	0	4	0.4	18	18.2988	1.67134	1.54307	-0.161469	-0.207912	-0.598221	0.299113	0.284192	-2.26911e-022	
1.0375	1	-99999	0.299113	0.218443	0.237528	0	0	4.55083e-012	0.0520401	0	0	0	0	0	0.000398985	0.999601	0	0.299113	3.26929	1.28917	0	0	1	0	0	0	0	0.25	0.25	19	19.3205	0.659377	1.66773	-0.145268	-0.207911	-0.598221	0.299113	0.289592	-1.69016e-022	
0.35	0.730614	-99999	0.299113	0.232899	0.239711	0	0	4.26836e-012	0.0559938	0	0	0	0	0	0.000326232	0.999674	0	0.299113	3.28791	1.29538	0	0	1	0	0	0	0	0.25	0.25	20	19.3491	0.631547	1.68398	-0.126903	-0.207911	-0.598221	0.299113	0.295714	-5.91585e-023	
1	0.225	1	0.299113	0.0188283	0.203126	0	0	5.2798e-011	0.00383585	0	0	0	0	0	4.21593	5.78407	0	0.299113	17.3749	5.99103	0	0	10	0	0	0	0	3.75	0.375	21	18.2461	1.7239	1.51149	-0.179238	-0.207912	-0.598221	0.299113	0.27827	-2.79476e-022	
