x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.299113	0.168453	0.229645	6.99693e-035	0	5.90132e-012	0.0387992	4.14135e-034	0	6.96623e-005	0	0	0.000899437	0.999101	1.17709e-039	0.299113	3.20483	1.26775	6.96623e-005	0	1	0	0	0	0	0.25	0.25	0	1	-0.205613	-0.207913	-0.598221	0.299113	0.269455	6.79713e-005	
2.1	0	-99999	0.299067	1.29827e-005	0.184259	1.23308e-015	0	7.65706e-008	2.39928e-006	9.46975e-011	1.21241e-027	0.022374	0	0	0.907699	3.70351e-010	0.0461503	0.299067	-0.0489396	0.251383	0.0685243	0	1	0	0	0	0	0.25	0.25	1	1.00866	-0.236896	-0.207913	-0.59752	0.299067	0.251363	0.0223645	
2.1	1	-99999	0.299113	6.42995e-006	0.17896	3.06641e-014	0	1.54604e-007	1.15412e-006	4.75485e-009	3.00975e-022	0.0306714	0	0	0.188156	9.05822e-012	0.405922	0.299113	-1.09507	0.270976	0.436593	0	1	0	0	0	0	0.25	0.25	2	1.99274	-0.168971	-0.207913	-0.59822	0.299113	0.271271	0.0312639	
0	1	-99999	0.298936	6.77806e-006	0.179882	2.22678e-014	0	1.46664e-007	1.22287e-006	3.27556e-009	9.38231e-023	0.0279296	0	0	0.232371	1.31714e-011	0.383815	0.298936	-1.03972	0.263672	0.411744	0	1	0	0	0	0	0.25	0.25	3	1.99883	-0.192522	-0.207913	-0.595513	0.298936	0.263616	0.0279722	
1	0	1	0.299044	1.20671e-005	0.187056	1.27032e-015	0	8.23803e-008	2.26393e-006	1.0496e-010	1.80305e-027	0.0179991	0	0	5.55884	1.84891e-009	2.22058	0.299044	-6.58972	0.241056	2.23858	0	10	0	0	0	0	3.75	0.375	4	0.99977	-0.271614	-0.207913	-0.597165	0.299044	0.241118	0.0180249	
1.1	0	1	0.298967	1.41471e-005	0.185685	7.43759e-016	0	7.02684e-008	2.63469e-006	5.24177e-011	1.90158e-028	0.0194731	0	0	7.25288	3.85864e-009	1.37356	0.298967	-4.04277	0.244106	1.39303	0	10	0	0	0	0	3.75	0.375	5	0.999516	-0.260088	-0.207913	-0.596001	0.298968	0.244092	0.0194654	
1	0.9	1	0.299113	0.132319	0.218281	2.72807e-032	0	7.51286e-012	0.0289684	2.05564e-031	0	0.00887965	0	0	0.019504	9.9805	4.45282e-034	0.299113	30.1383	10.2544	0.00887965	0	10	0	0	0	0	3.21429	0.321429	6	0.994143	-0.183748	-0.207909	-0.59822	0.299113	0.273815	0.00884627	
1.1	0.9	1	0.299113	0.0642579	0.204578	7.50627e-031	0	1.54704e-011	0.0131847	1.16469e-029	0	0.0111869	0	0	0.178805	9.8212	8.99089e-030	0.299113	29.5858	10.0725	0.0111869	0	10	0	0	0	0	2.91667	0.291667	7	1.02615	-0.195142	-0.207912	-0.598219	0.299113	0.269244	0.0111708	
0	0.298	-99999	0.299113	0.24091	0.240905	0	0	4.12642e-012	0.0582083	0	0	4.83401e-013	0	0	0.000293306	0.999707	6.14938e-050	0.299113	3.29824	1.29882	4.83401e-013	0	1	0	0	0	0	0.25	0.25	8	1	-0.116705	-0.20791	-0.598221	0.299113	0.299113	4.71629e-013	
0	0.402	-99999	0.299113	0.240909	0.240905	0	0	4.12642e-012	0.0582083	0	0	3.48812e-011	0	0	0.000293306	0.999707	4.43728e-048	0.299113	3.29824	1.29882	3.48812e-011	0	1	0	0	0	0	0.25	0.25	9	1	-0.116705	-0.20791	-0.598221	0.299113	0.299113	3.48209e-011	
