x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	0	19.3641	0.61686	1.08987	-0.116708	-0.207912	-0.598221	0.299113	0.299113	-5.97995e-067	
2.1	0	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	1	19.3641	0.61686	1.61491	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.69169e-066	
2.1	1	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	2	19.3641	0.61686	1.64172	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.4918e-066	
0	1	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	3	19.3641	0.61686	1.77874	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.80348e-067	
1	0	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	3.75	0.375	4	19.3641	0.61686	1.48456	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-4.00293e-066	
1.1	0	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	3.75	0.375	5	19.3641	0.61686	1.4938	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-4.04967e-066	
1	0.9	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	3.21429	0.321429	6	19.3641	0.61686	1.62486	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-2.05584e-066	
1.1	0.9	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	2.91667	0.291667	7	19.3641	0.61686	1.63029	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-2.15197e-066	
0	0.298	-99999	0.299113	0.240909	0.240905	0	0	4.12642e-012	0.0582083	0	0	0	0	0	0.000293306	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	8	19.3641	0.61686	1.00212	-0.116705	-0.20791	-0.598221	0.299113	0.299113	-1.26879e-068	
0	0.402	-99999	0.299113	0.240909	0.240905	0	0	4.12642e-012	0.0582083	0	0	0	0	0	0.000293306	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	9	19.3641	0.61686	1.00508	-0.116705	-0.20791	-0.598221	0.299113	0.299113	-8.30998e-069	
