x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0.299161	0.139931	4.8694e-011	0.013781	0	7.1042e-012	6.83399e-012	0.0981932	3.3142e-014	0.0622815	3.44338e-008	0.126548	0.61808	8.34454e-008	0.190988	0.299161	-1.29449	0.186845	0.61834	0	1.00006	5.49015	100.006	0	0	0.25	0.249986	0	20.0992	0.852801	1	0.523691	-0.202132	9.18949e-010	0.299144	0.186785	0.385256	-0.017642	
2.1	0	-99999	0.299066	0.12824	3.43095e-011	0.0106075	0	7.75184e-012	4.41289e-012	0.0824712	1.50963e-014	0.011829	5.03392e-009	0.150673	0.618046	4.52531e-008	0.190977	0.299066	-1.68523	0.0354871	0.597232	0	1	17.9974	99.9999	0	0	0.25	0.25	1	19.2129	0.890691	0.985347	0.0950745	-0.20791	-8.94009e-009	0.299067	0.0349313	0.406108	-3.17709e-006	
2.1	1	-99999	0.299119	0.128776	3.11876e-011	0.0109987	0	7.71956e-012	4.02813e-012	0.0851573	1.50447e-014	0.0093677	3.94214e-009	0.156676	0.613992	4.13804e-008	0.193002	0.299119	-1.75132	0.0281032	0.611877	0	0.999997	14.2144	99.9997	0	0	0.25	0.250001	2	19.7942	0.888879	2.0597	0.0870383	-0.206971	8.34571e-009	0.29912	0.028201	0.417885	-0.00150538	
0	1	-99999	0.299015	0.146832	4.92904e-011	0.0159223	0	6.77028e-012	7.25888e-012	0.108118	4.26786e-014	0.0904859	5.78006e-008	0.114932	0.618045	9.75867e-008	0.190977	0.299015	-1.09173	0.271458	0.635367	0	1	13.6193	99.9999	0	0	0.25	0.25	3	20.0521	0.831893	2.01262	0.838923	-0.203261	-8.67321e-008	0.299019	0.271038	0.441615	-0.00928187	
1	0	1	0.298989	0.128608	3.48434e-011	0.0107412	0	7.72967e-012	4.49442e-012	0.0832721	1.57371e-014	0.0126907	5.42579e-009	0.150997	2.69716	2.02289e-007	3.65142	0.298989	-12.0661	0.0380722	4.06012	0	10	20.5922	99.9999	0	0	3.75	0.375	4	19.2441	0.889447	0.999603	0.106301	-0.207909	-2.09463e-008	0.298991	0.0377491	0.408881	-4.71163e-006	
1.1	0	1	0.298889	0.129424	3.7937e-011	0.0109083	0	7.68094e-012	4.9245e-012	0.0840344	1.74981e-014	0.0170609	7.46032e-009	0.148048	2.70119	2.24803e-007	3.64941	0.298889	-12.019	0.0511829	4.05751	0	10	24.7541	100	0	0	3.75	0.375	5	19.2158	0.8867	0.999289	0.144037	-0.20791	-4.3912e-008	0.298894	0.0506019	0.408059	-2.27406e-006	
1	0.9	1	0.299112	0.0845061	6.64848e-011	0.0012171	0.00157465	1.17636e-011	5.63503e-012	0.01436	2.34351e-016	0.00186229	5.6556e-010	0.055789	3.90026	1.58352e-007	3.04973	0.299112	-9.5179	0.00558704	3.17875	0.00157465	9.99972	0	99.4855	0	0	3.21429	0.321438	6	18.9373	1.07183	0.965103	-0.269581	-0.206354	1.69208e-009	0.299121	0.00506632	0.126005	0.00192753	
1.1	0.9	1	0.299109	0.0934015	6.24387e-011	0.00197338	0.00227841	1.06432e-011	5.84917e-012	0.0210654	6.28614e-016	0.00373243	1.27449e-009	0.0658547	3.63562	1.87171e-007	3.18209	0.299109	-9.98583	0.0111975	3.34057	0.00227841	9.99979	0	99.3893	0	0	2.91667	0.291673	7	18.9975	1.02836	1.03542	-0.224414	-0.206746	5.87274e-010	0.299115	0.0104356	0.154948	0.00282711	
0	0.298	-99999	0.299113	0.163799	2.81081e-009	6.90399e-013	0.195789	6.06899e-012	4.61773e-010	4.20245e-012	0	1.12679e-006	0.031992	9.0096e-023	0.999987	1.24998e-005	1.56154e-011	0.299113	8.8124	0.0959919	1.12681e-006	0.195789	1	0	54.8044	2.78445	0	0.25	0.25	8	19.1678	0.784402	1	-0.116035	-0.207891	1.2593e-009	0.299113	0.000355827	1.12588e-006	0.298681	
0	0.402	-99999	0.299113	0.163799	2.81079e-009	1.5265e-012	0.195787	6.06898e-012	4.61771e-010	9.29174e-012	0	2.49134e-006	0.0319921	4.40442e-022	0.999987	1.24998e-005	3.45259e-011	0.299113	8.79656	0.0959962	2.49138e-006	0.195787	1	0	54.796	2.77915	0	0.25	0.25	9	19.1678	0.784401	1	-0.115995	-0.207891	1.25861e-009	0.299113	0.000380108	2.49367e-006	0.298647	
