x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	3.30447e-006	0.242593	5.12767e-012	0.177078	0.204889	4.09778e-012	1.24763e-012	0.727777	8.19613e-013	0.00844197	9.86247e-009	0.25603	0.465558	3.44886e-008	0.267221	3.30447e-006	17.0509	0.025326	1.69258	0.204889	1	1.28567	0	0	20.4126	0.25	0.25	0	19.4123	0.613835	1.09089	2.68298	-0.207904	1.49555	2.98924e-006	0.0235577	1.44134	0.0912208	
2.1	0	-99999	2.02003e-005	0.244426	9.41089e-012	0.160572	0.0466792	4.06705e-012	2.30709e-012	0.654993	1.08834e-012	0.0487706	6.57363e-008	0.198224	0.485254	6.7482e-008	0.257373	2.02003e-005	-2.57339	0.146312	1.51816	0.0466792	1	0.235095	60.1612	0	0	0.25	0.25	1	19.4062	0.610566	1.61437	2.805	-0.207912	1.49547	1.82733e-005	0.13353	1.27566	0.0491086	
2.1	1	-99999	1.94643e-005	0.243545	9.32232e-012	0.161147	0.0461675	4.08177e-012	2.27714e-012	0.659717	1.10558e-012	0.0468935	6.16303e-008	0.205499	0.48288	6.58028e-008	0.25856	1.94643e-005	-2.64827	0.140681	1.53732	0.0461675	1	0.282515	59.4312	0	0	0.25	0.25	2	19.4053	0.612135	1.64062	2.80528	-0.207912	1.49548	1.76075e-005	0.128451	1.29171	0.0485661	
0	1	-99999	2.15795e-006	0.240086	5.9252e-012	0.171013	0.134845	4.14057e-012	1.42678e-012	0.710191	8.8927e-013	0.0120673	1.37156e-008	0.259487	0.466155	3.86794e-008	0.266922	2.15795e-006	-3.2985	0.0362019	1.67917	0.134845	1	1.31525	45.8318	0	0	0.25	0.25	3	19.4054	0.618347	1.78396	2.73192	-0.207911	1.49555	1.95209e-006	0.0281365	1.42691	0.14087	
1	0	1	2.1702e-005	0.251431	9.43597e-012	0.155112	0.050051	3.95375e-012	2.37953e-012	0.615093	8.78541e-013	0.0531715	8.78969e-008	0.147551	2.0272	3.07667e-007	3.9864	2.1702e-005	-13.2906	0.159515	5.10488	0.050051	10	0.0282782	61.8979	0	0	3.75	0.375	4	19.4134	0.598296	1.48989	2.75435	-0.207912	1.49547	1.96318e-005	0.145283	1.18618	0.0526737	
1.1	0	1	2.18885e-005	0.251658	9.45032e-012	0.154964	0.0494676	3.95017e-012	2.38531e-012	0.61395	8.74189e-013	0.0535573	8.91021e-008	0.146206	2.0305	3.09478e-007	3.98475	2.18885e-005	-13.272	0.160673	5.09963	0.0494676	10	0.0260638	62.0732	0	0	3.75	0.375	5	19.4137	0.597902	1.49715	2.75646	-0.207912	1.49546	1.98005e-005	0.146382	1.18562	0.0520612	
1	0.9	1	1.133e-005	0.23969	8.01968e-012	0.162993	0.0548025	4.14741e-012	1.92794e-012	0.678003	1.04899e-012	0.0283298	3.3451e-008	0.238852	1.85991	2.07848e-007	4.07004	1.133e-005	-14.4459	0.0849898	5.41707	0.0548025	10	0.436854	46.5036	0	0	3.21429	0.321429	6	19.4004	0.619063	1.62357	2.72934	-0.207908	1.49551	1.02492e-005	0.0763466	1.36292	0.0576765	
1.1	0.9	1	1.18169e-005	0.239927	8.11733e-012	0.162843	0.0543618	4.14332e-012	1.95334e-012	0.676711	1.05467e-012	0.0294664	3.50318e-008	0.236539	1.86315	2.1137e-007	4.06842	1.18169e-005	-14.4165	0.0883994	5.41052	0.0543618	10	0.410728	47.2084	0	0	2.91667	0.291667	7	19.4007	0.618635	1.62695	2.73348	-0.207908	1.49551	1.06897e-005	0.0795301	1.358	0.0572064	
0	0.298	-99999	6.63156e-008	0.24063	1.40252e-012	0.178971	0.206561	4.13121e-012	3.3849e-013	0.741558	2.39092e-013	0.000169011	1.86066e-010	0.279098	0.459896	9.09421e-009	0.270052	6.63156e-008	221.027	0.000507042	1.74894	0.206561	1	1.54661	0	0	225.236	0.25	0.25	8	19.4106	0.617363	1.00201	2.57695	-0.207891	1.49556	5.99894e-008	0.000471801	1.49455	0.00120163	
0	0.402	-99999	4.37045e-008	0.240618	1.21255e-012	0.178983	0.206572	4.13143e-012	2.92626e-013	0.741649	2.06795e-013	0.0001092	1.20173e-010	0.279256	0.459859	7.86052e-009	0.27007	4.37045e-008	221.088	0.00032761	1.74932	0.206572	1	1.54806	0	0	225.299	0.25	0.25	9	19.4105	0.617386	1.00503	2.57697	-0.207891	1.49556	3.95354e-008	0.000305067	1.4949	0.00137253	
0.298	1	-99999	3.78931e-008	0.240617	1.1882e-012	0.178983	0.206572	4.13144e-012	2.86749e-013	0.741649	2.02643e-013	0.000102751	1.13074e-010	0.279261	0.459858	7.70258e-009	0.270071	3.78931e-008	220.699	0.000308262	1.74933	0.206572	1	1.54828	0	0	224.909	0.25	0.25	10	19.4105	0.617388	1.99644	2.57706	-0.207891	1.49556	3.42784e-008	0.000288668	1.4949	0.00150821	
0.402	1	-99999	1.14032e-007	0.240647	1.65082e-012	0.178965	0.206546	4.13092e-012	3.98444e-013	0.741485	2.81319e-013	0.000275674	3.03628e-010	0.278926	0.459934	1.07074e-008	0.270033	1.14032e-007	220.152	0.000827033	1.74861	0.206546	1	1.54318	0	0	224.356	0.25	0.25	11	19.4106	0.617333	1.99611	2.577	-0.207891	1.49556	1.03154e-007	0.000768478	1.49422	0.000692606	
2.1	0.402	-99999	1.78106e-005	0.242864	9.10358e-012	0.161445	0.0489117	4.09322e-012	2.21749e-012	0.662789	1.09786e-012	0.0432628	5.58082e-008	0.210932	0.481194	6.34988e-008	0.259403	1.78106e-005	-2.71254	0.129789	1.54876	0.0489117	1	0.293275	57.6048	0	0	0.25	0.25	12	19.4044	0.613351	1.63608	2.78875	-0.207912	1.49548	1.61115e-005	0.118196	1.30307	0.0514412	
2.1	0.198	-99999	1.95312e-005	0.244023	9.32891e-012	0.160778	0.0474609	4.07378e-012	2.28322e-012	0.656917	1.0902e-012	0.0472544	6.29833e-008	0.201378	0.484225	6.64221e-008	0.257887	1.95312e-005	-2.60856	0.141763	1.52559	0.0474609	1	0.24646	59.4345	0	0	0.25	0.25	13	19.4058	0.611284	1.61743	2.79988	-0.207912	1.49548	1.7668e-005	0.129294	1.28242	0.0499261	
1.25	1	-99999	1.26767e-005	0.240149	8.28092e-012	0.162601	0.0517105	4.1395e-012	1.99455e-012	0.675082	1.06719e-012	0.0313533	3.75381e-008	0.234099	0.474496	5.50677e-008	0.262752	1.26767e-005	-2.97057	0.0940599	1.59999	0.0517105	1	0.408504	48.5232	0	0	0.25	0.25	14	19.4009	0.618233	1.65109	2.74071	-0.207909	1.49551	1.14674e-005	0.0849122	1.35187	0.0544115	
0.825	1	-99999	7.7576e-006	0.237025	7.1787e-012	0.162935	0.0401855	4.19405e-012	1.70658e-012	0.685382	9.80895e-013	0.0194236	2.14542e-008	0.261018	0.467761	4.52477e-008	0.266119	7.7576e-006	-3.25716	0.0582709	1.6559	0.0401855	1	0.772535	27.3036	0	0	0.25	0.25	15	19.3964	0.62392	1.74478	2.68381	-0.207903	1.49553	7.01757e-006	0.0522224	1.40505	0.0423721	
0.269386	0.35	-99999	3.115e-006	0.242249	4.99064e-012	0.177649	0.205181	4.10361e-012	1.21256e-012	0.731165	8.10054e-013	0.0077639	8.96428e-009	0.260635	0.464344	3.33368e-008	0.267828	3.115e-006	68.0601	0.0232918	1.70568	0.205181	1	1.30907	0	0	71.6183	0.25	0.25	16	19.4122	0.614453	1.15763	2.63994	-0.207899	1.49555	2.81784e-006	0.0216763	1.45324	0.0419231	
1.1	0.4	1	1.58523e-005	0.24281	8.82534e-012	0.161252	0.0550964	4.09413e-012	2.14924e-012	0.662145	1.06145e-012	0.039334	5.07329e-008	0.210804	1.90165	2.43111e-007	4.04917	1.58523e-005	-14.096	0.118002	5.33351	0.0550964	10	0.232763	54.9549	0	0	3.75	0.375	17	19.4041	0.613448	1.56069	2.76207	-0.207911	1.49549	1.43401e-005	0.106916	1.30372	0.0579422	
1	0.45	1	1.43569e-005	0.242023	8.58954e-012	0.161923	0.0582274	4.10744e-012	2.08503e-012	0.667063	1.05971e-012	0.0359458	4.52803e-008	0.218154	1.88986	2.32871e-007	4.05507	1.43569e-005	-14.1917	0.107838	5.35631	0.0582274	10	0.275282	52.6994	0	0	4	0.4	18	19.4033	0.614857	1.54307	2.75273	-0.207911	1.4955	1.29874e-005	0.0973728	1.31971	0.0612313	
1.0375	1	-99999	1.06939e-005	0.239022	7.88821e-012	0.162898	0.0499957	4.15901e-012	1.89104e-012	0.679506	1.04158e-012	0.0266443	3.09558e-008	0.243967	0.471894	5.14375e-008	0.264053	1.06939e-005	-3.0778	0.079933	1.62104	0.0499957	1	0.498363	45.6002	0	0	0.25	0.25	19	19.3994	0.620276	1.66773	2.71994	-0.207907	1.49552	9.67373e-006	0.0718757	1.37197	0.0526413	
0.35	0.730614	-99999	3.74303e-006	0.242573	5.28026e-012	0.177417	0.204906	4.09813e-012	1.28465e-012	0.729232	8.49145e-013	0.00923281	1.07603e-008	0.257185	0.465207	3.54792e-008	0.267397	3.74303e-006	29.5795	0.0276985	1.69765	0.204906	1	1.24019	0	0	32.9865	0.25	0.25	20	19.4125	0.613871	1.68398	2.66677	-0.207901	1.49555	3.38597e-006	0.0257723	1.44541	0.0643045	
1	0.225	1	1.76828e-005	0.244721	9.08415e-012	0.159807	0.0541919	4.06216e-012	2.22967e-012	0.651087	1.03063e-012	0.0438666	5.98399e-008	0.194458	1.9295	2.59947e-007	4.03525	1.76828e-005	-13.8923	0.1316	5.27893	0.0541919	10	0.148537	57.7368	0	0	3.75	0.375	21	19.4061	0.610044	1.51149	2.76447	-0.207912	1.49548	1.59959e-005	0.119489	1.26934	0.0570007	
1.1	0.2	1	1.85259e-005	0.245242	9.19081e-012	0.159418	0.0523621	4.05353e-012	2.26066e-012	0.64812	1.02635e-012	0.0457066	6.33056e-008	0.190244	1.93711	2.65728e-007	4.03144	1.85259e-005	-13.8363	0.13712	5.26518	0.0523621	10	0.13437	58.688	0	0	3.75	0.375	22	19.4067	0.609119	1.52793	2.76926	-0.207912	1.49548	1.67586e-005	0.124665	1.26053	0.0550817	
1.1	0.65	1	1.34438e-005	0.241053	8.42442e-012	0.162383	0.0559535	4.12397e-012	2.03675e-012	0.671647	1.06518e-012	0.0334667	4.10375e-008	0.226556	1.87731	2.2416e-007	4.06135	1.34438e-005	-14.2932	0.100401	5.38195	0.0559535	10	0.328758	50.819	0	0	3.92857	0.392857	23	19.4021	0.616601	1.59977	2.74758	-0.20791	1.4955	1.21613e-005	0.0905849	1.33728	0.0588585	
1	0.675	1	1.23042e-005	0.240553	8.21644e-012	0.162835	0.0583608	4.13254e-012	1.98235e-012	0.674918	1.05633e-012	0.0308776	3.72896e-008	0.231638	1.86974	2.16391e-007	4.06513	1.23042e-005	-14.3594	0.0926331	5.39704	0.0583608	10	0.374501	49.5896	0	0	3.75	0.375	24	19.4016	0.617504	1.58069	2.73934	-0.20791	1.49551	1.11305e-005	0.0832788	1.34842	0.0613948	
1.6	0	-99999	2.02298e-005	0.244815	9.41134e-012	0.160211	0.04731	4.0606e-012	2.31087e-012	0.65248	1.07421e-012	0.0489779	6.67985e-008	0.19484	0.486412	6.79695e-008	0.256794	2.02298e-005	-2.54085	0.146934	1.50814	0.04731	1	0.209352	60.2359	0	0	0.25	0.25	25	19.4066	0.609876	1.59877	2.7997	-0.207912	1.49547	1.83e-005	0.134041	1.26815	0.0497735	
1.43	0.3	-99999	1.7666e-005	0.243076	9.08217e-012	0.161279	0.0502994	4.08965e-012	2.2142e-012	0.661529	1.08809e-012	0.0430642	5.59013e-008	0.209033	0.481794	6.35948e-008	0.259103	1.7666e-005	-2.69577	0.129193	1.54304	0.0502994	1	0.270781	57.2602	0	0	0.25	0.25	26	19.4046	0.612972	1.61557	2.78398	-0.207911	1.49548	1.59808e-005	0.117523	1.29885	0.0529043	
1.77246	0.3	-99999	1.80882e-005	0.243157	9.1407e-012	0.161267	0.0491986	4.08828e-012	2.22922e-012	0.661258	1.09339e-012	0.0439576	5.71801e-008	0.208443	0.481972	6.40926e-008	0.259014	1.80882e-005	-2.68685	0.131873	1.54238	0.0491986	1	0.275258	57.8689	0	0	0.25	0.25	27	19.4047	0.612827	1.62522	2.78929	-0.207912	1.49548	1.63627e-005	0.120078	1.29766	0.0517454	
0.643247	0.3375	-99999	7.60812e-006	0.238567	7.17261e-012	0.164701	0.0671621	4.16694e-012	1.71622e-012	0.688333	9.86361e-013	0.0200988	2.28332e-008	0.253225	0.469171	4.62363e-008	0.265414	7.60812e-006	-3.19141	0.0602966	1.645	0.0671621	1	0.896368	43.9968	0	0	0.25	0.25	28	19.3996	0.621104	1.34153	2.70427	-0.207908	1.49553	6.88235e-006	0.0528923	1.39518	0.0707052	
1.1	0.1	1	2.05163e-005	0.247965	9.39316e-012	0.157458	0.0505791	4.00902e-012	2.33608e-012	0.633125	9.67081e-013	0.0503689	7.54687e-008	0.169906	1.9768	2.86476e-007	4.0116	2.05163e-005	-13.5777	0.151107	5.19237	0.0505791	10	0.0685808	60.7621	0	0	3.75	0.375	29	19.4096	0.604324	1.50902	2.76627	-0.207912	1.49547	1.85591e-005	0.137584	1.22066	0.0532221	
0.130053	0.35	-99999	1.4688e-006	0.241357	3.89866e-012	0.178353	0.205939	4.11878e-012	9.43758e-013	0.736775	6.49879e-013	0.00366155	4.11879e-009	0.270573	0.461914	2.56211e-008	0.269043	1.4688e-006	146.336	0.0109847	1.72898	0.205939	1	1.44234	0	0	150.232	0.25	0.25	30	19.4113	0.616055	1.07614	2.60693	-0.207895	1.49556	1.32868e-006	0.0102225	1.47547	0.0210264	
1.0625	0.9	1	1.17341e-005	0.239908	8.10105e-012	0.162881	0.054721	4.14365e-012	1.94927e-012	0.676924	1.05363e-012	0.0292871	3.4794e-008	0.2368	1.86276	2.10851e-007	4.06862	1.17341e-005	-14.4201	0.0878615	5.41131	0.054721	10	0.41416	47.1909	0	0	3.75	0.375	31	19.4007	0.618669	1.62378	2.73294	-0.207908	1.49551	1.06147e-005	0.0790147	1.35862	0.0575842	
1.15083	0.931206	-99999	1.19555e-005	0.239835	8.14427e-012	0.16277	0.0524681	4.14491e-012	1.95907e-012	0.676669	1.05838e-012	0.0297019	3.52464e-008	0.237054	0.473685	5.38548e-008	0.263157	1.19555e-005	-3.00393	0.0891059	1.60641	0.0524681	1	0.427167	47.5053	0	0	0.25	0.25	32	19.4005	0.618801	1.64484	2.73386	-0.207908	1.49551	1.0815e-005	0.0802749	1.35813	0.0552175	
1.1	0.775	1	1.25145e-005	0.240411	8.25274e-012	0.162677	0.0553293	4.13499e-012	1.98993e-012	0.674663	1.06042e-012	0.0311845	3.75634e-008	0.232285	1.86906	2.16884e-007	4.06547	1.25145e-005	-14.3642	0.0935538	5.39856	0.0553293	10	0.371985	48.9521	0	0	3.92857	0.392857	33	19.4013	0.61776	1.61506	2.73996	-0.207909	1.49551	1.13207e-005	0.0842661	1.34926	0.0582121	
1.09219	0.942092	-99999	1.15084e-005	0.239613	8.05603e-012	0.162871	0.0526068	4.14876e-012	1.93605e-012	0.677717	1.05276e-012	0.0286582	3.37982e-008	0.239116	0.47313	5.30609e-008	0.263435	1.15084e-005	-3.0267	0.0859747	1.61091	0.0526068	1	0.446314	46.9162	0	0	0.25	0.25	34	19.4002	0.619204	1.64406	2.7296	-0.207908	1.49551	1.04106e-005	0.0773619	1.36245	0.0553699	
1.08438	0.9	1	1.17995e-005	0.239934	8.11397e-012	0.162857	0.0545778	4.1432e-012	1.95259e-012	0.676749	1.05438e-012	0.0294357	3.49985e-008	0.236524	1.86315	2.11301e-007	4.06842	1.17995e-005	-14.4165	0.0883074	5.41051	0.0545778	10	0.410947	47.2588	0	0	3.75	0.375	35	19.4007	0.618622	1.62499	2.73344	-0.207908	1.49551	1.06739e-005	0.0794349	1.35801	0.057433	
1.1	0.8375	1	1.20524e-005	0.240108	8.16377e-012	0.162801	0.0549563	4.1402e-012	1.966e-012	0.67603	1.05671e-012	0.0300579	3.5906e-008	0.234999	1.86525	2.133e-007	4.06737	1.20524e-005	-14.3978	0.0901739	5.40626	0.0549563	10	0.396248	47.8929	0	0	3.75	0.375	36	19.4009	0.618308	1.62084	2.73585	-0.207909	1.49551	1.09027e-005	0.0811487	1.35489	0.0578263	
1.1	0.86875	1	1.19011e-005	0.240011	8.1341e-012	0.16284	0.0548316	4.14187e-012	1.95806e-012	0.676461	1.0553e-012	0.0296904	3.53731e-008	0.235867	1.86405	2.12131e-007	4.06798	1.19011e-005	-14.4086	0.0890714	5.4087	0.0548316	10	0.404632	47.5501	0	0	3.75	0.375	37	19.4008	0.618483	1.62244	2.73447	-0.207909	1.49551	1.07658e-005	0.0801319	1.35668	0.0576975	
1.07344	0.875	1	1.18622e-005	0.240001	8.1265e-012	0.162858	0.0549902	4.14204e-012	1.95615e-012	0.676565	1.05485e-012	0.0296056	3.52594e-008	0.235999	1.86385	2.11884e-007	4.06807	1.18622e-005	-14.4104	0.0888171	5.4091	0.0549902	10	0.406467	47.5536	0	0	5	0.5	38	19.4008	0.618501	1.62117	2.73421	-0.207909	1.49551	1.07306e-005	0.0798889	1.35699	0.0578642	
1.08231	0.853125	1	1.19797e-005	0.240072	8.14961e-012	0.162827	0.0550454	4.14081e-012	1.9623e-012	0.676235	1.05599e-012	0.0298888	3.5667e-008	0.235348	1.86476	2.12779e-007	4.06762	1.19797e-005	-14.4023	0.0896666	5.40727	0.0550454	10	0.400061	47.821	0	0	5	0.5	39	19.4009	0.618372	1.62052	2.73527	-0.207909	1.49551	1.08369e-005	0.0806743	1.35564	0.0579202	
1	0.7875	1	1.17332e-005	0.240071	8.10244e-012	0.162972	0.0568092	4.14084e-012	1.95093e-012	0.676844	1.05272e-012	0.0293982	3.50487e-008	0.235783	1.86399	2.11457e-007	4.068	1.17332e-005	-14.4095	0.0881949	5.40878	0.0568092	10	0.410497	48.0069	0	0	3.75	0.375	40	19.401	0.618375	1.60247	2.73405	-0.207909	1.49551	1.06139e-005	0.079231	1.35689	0.059774	
1.05666	0.80625	1	1.21357e-005	0.240248	8.18034e-012	0.162841	0.0561916	4.13779e-012	1.97114e-012	0.675799	1.05715e-012	0.0303192	3.63364e-008	0.234017	1.86652	2.14253e-007	4.06674	1.21357e-005	-14.3866	0.090958	5.40373	0.0561916	10	0.391179	48.8801	0	0	5	0.5	41	19.4012	0.618054	1.61194	2.73735	-0.207909	1.49551	1.0978e-005	0.0818217	1.35308	0.0591188	
1.07479	0.826783	1	1.21423e-005	0.240187	8.18136e-012	0.162792	0.0553111	4.13884e-012	1.97088e-012	0.675768	1.05741e-012	0.0302907	3.62579e-008	0.234352	1.86613	2.14072e-007	4.06693	1.21423e-005	-14.39	0.0908724	5.40449	0.0553111	10	0.391106	48.3077	0	0	5	0.5	42	19.4011	0.618165	1.61802	2.73683	-0.207909	1.49551	1.09839e-005	0.0817808	1.3536	0.0581963	
1	0.84375	1	1.15931e-005	0.23991	8.07348e-012	0.16297	0.0557981	4.14361e-012	1.94265e-012	0.677289	1.05173e-012	0.029006	3.44431e-008	0.237042	1.86232	2.1009e-007	4.06884	1.15931e-005	-14.4242	0.0870184	5.41219	0.0557981	10	0.420255	47.3389	0	0	3.75	0.375	43	19.4007	0.618665	1.61332	2.7323	-0.207909	1.49551	1.04871e-005	0.0781844	1.35934	0.0587157	
1.06229	0.857745	1	1.19213e-005	0.240077	8.13793e-012	0.162883	0.055631	4.14074e-012	1.95952e-012	0.676455	1.05549e-012	0.0297727	3.552e-008	0.235477	1.86451	2.12458e-007	4.06774	1.19213e-005	-14.4043	0.0893184	5.40781	0.055631	10	0.403849	48.2264	0	0	5	0.5	44	19.4009	0.618364	1.61868	2.73524	-0.207909	1.49551	1.07841e-005	0.0803259	1.35604	0.0585302	
1.03125	0.9	1	1.15905e-005	0.239841	8.07246e-012	0.162928	0.0548934	4.14481e-012	1.94185e-012	0.677307	1.05199e-012	0.0289541	3.43309e-008	0.237465	1.86182	2.09825e-007	4.06909	1.15905e-005	-14.4286	0.0868625	5.41321	0.0548934	10	0.421682	46.9962	0	0	3.92857	0.392857	45	19.4006	0.618791	1.62234	2.73174	-0.207908	1.49551	1.04849e-005	0.0780801	1.36004	0.0577673	
1.05904	0.838429	1	1.20134e-005	0.240147	8.15616e-012	0.162864	0.0558358	4.13953e-012	1.96448e-012	0.67618	1.05625e-012	0.0300047	3.58636e-008	0.234874	1.86534	2.13215e-007	4.06733	1.20134e-005	-14.397	0.0900145	5.40613	0.0558358	10	0.398451	48.5005	0	0	5	0.5	46	19.401	0.618238	1.61626	2.73614	-0.207909	1.49551	1.08674e-005	0.0809624	1.35481	0.0587449	
1.03183	0.85294	1	1.17948e-005	0.240036	8.11323e-012	0.162938	0.0560506	4.14144e-012	1.95325e-012	0.676799	1.05407e-012	0.0294927	3.51385e-008	0.235955	1.86381	2.11626e-007	4.0681	1.17948e-005	-14.4107	0.0884785	5.40924	0.0560506	10	0.410236	48.1568	0	0	5	0.5	47	19.4009	0.618437	1.61496	2.73437	-0.207909	1.49551	1.06696e-005	0.0795282	1.35713	0.058972	
1.04841	0.878942	1	1.17516e-005	0.239943	8.10466e-012	0.162891	0.0550467	4.14305e-012	1.95042e-012	0.676869	1.05369e-012	0.0293451	3.48908e-008	0.236556	1.86307	2.11072e-007	4.06847	1.17516e-005	-14.4174	0.0880355	5.41068	0.0550467	10	0.412451	47.3653	0	0	5	0.5	48	19.4007	0.618607	1.62081	2.73327	-0.207908	1.49551	1.06306e-005	0.0791614	1.35817	0.0579251	
1.1	0.80625	1	1.22328e-005	0.240225	8.1988e-012	0.162754	0.0551073	4.13818e-012	1.9754e-012	0.675505	1.05826e-012	0.0304972	3.65482e-008	0.233947	1.86672	2.14698e-007	4.06664	1.22328e-005	-14.3848	0.0914918	5.40329	0.0551073	10	0.386532	48.3099	0	0	3.75	0.375	49	19.4011	0.618096	1.61871	2.73747	-0.207909	1.49551	1.10659e-005	0.0823641	1.35271	0.0579823	
1.0628	0.769093	1	1.25059e-005	0.240495	8.25176e-012	0.162732	0.0564655	4.13353e-012	1.9904e-012	0.674652	1.05987e-012	0.0312278	3.76826e-008	0.231786	1.86967	2.17158e-007	4.06517	1.25059e-005	-14.359	0.0936838	5.39735	0.0564655	10	0.371213	49.6625	0	0	5	0.5	50	19.4015	0.617607	1.6063	2.74053	-0.207909	1.49551	1.13129e-005	0.0843373	1.34842	0.0594043	
1	0.871875	1	1.15406e-005	0.239849	8.06261e-012	0.162966	0.0553827	4.14467e-012	1.93954e-012	0.677444	1.05131e-012	0.0288588	3.42167e-008	0.237514	1.8617	2.09577e-007	4.06915	1.15406e-005	-14.4297	0.0865767	5.41344	0.0553827	10	0.423851	47.0718	0	0	3.92857	0.392857	51	19.4006	0.618776	1.6175	2.7316	-0.207908	1.49551	1.04397e-005	0.0777931	1.36025	0.0582812	
