x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.299113	0.000707243	0.209487	6.87144e-030	0	1.40559e-009	0.000148598	9.68709e-027	0	1.6136e-009	0.0298257	7.3883e-038	0.999925	7.49851e-005	1.93052e-021	0.299113	0.299338	0.299188	1.6136e-009	0	1	0	0	0	0	0.25	0.25	0	16.8212	3.14915	1	-0.116714	-0.207913	-0.598226	0.299113	0.299113	1.47691e-009	
2.1	0	-99999	0.299066	0.109296	9.31904e-011	0.00845475	0	9.0954e-012	1.02156e-011	0.0771274	3.93517e-014	0.0996873	2.03988e-008	0.343836	0.57474	7.07627e-008	0.21263	0.299066	-2.95766	0.299062	1.08557	0	1	5.97459	0	0	0	0.25	0.25	1	19.0861	0.960108	0.985347	0.769107	-0.207907	-0.598134	0.299067	0.299063	0.885871	
2.1	1	-99999	0.299115	0.000599902	0.17548	5.28735e-022	0	1.6571e-009	0.000105583	8.78763e-019	0	0.0377786	0.00338002	1.63242e-021	0.999962	3.83351e-005	2.43423e-013	0.299115	0.185735	0.2991	0.0377786	0	1	0	0	0	0	0.25	0.25	2	16.7473	3.22063	2.0597	-0.0811955	-0.207913	-0.598229	0.299115	0.299064	0.0356698	
0	1	-99999	0.29899	0.0918883	1.51957e-010	0.00390233	0	1.08185e-011	1.40045e-011	0.0423426	1.26288e-014	0.0996614	1.56026e-008	0.293469	0.618045	7.37336e-008	0.190977	0.29899	-2.47249	0.298984	0.923821	0	0.999999	8.28214	0	0	0	0.25	0.25	3	18.9591	1.03545	2.01262	0.596611	-0.207871	-0.597987	0.298993	0.298987	0.713379	
1	0	1	0.298988	0.0918884	1.51956e-010	0.00390233	0	1.08185e-011	1.40044e-011	0.0423426	1.26288e-014	0.0996607	1.56025e-008	0.293468	2.70164	3.22309e-007	3.64918	0.298988	-12.8471	0.298982	4.38202	0	10	2.67099	0	0	0	3.75	0.375	4	18.9411	1.03545	0.999602	0.54906	-0.207928	-0.597982	0.298991	0.298985	0.665944	
1.1	0	1	0.298889	0.0921373	1.50803e-010	0.00394821	0	1.07893e-011	1.39358e-011	0.0427247	1.28405e-014	0.0996275	1.56684e-008	0.293977	2.69757	3.21985e-007	3.65121	0.298889	-12.8575	0.298883	4.38547	0	10	4.02385	0	0	0	3.75	0.375	5	18.9444	1.03428	0.999287	0.617442	-0.207912	-0.597787	0.298893	0.298887	0.734393	
1	0.9	1	0.299112	0.00069592	0.199195	6.04373e-023	0	1.42846e-009	0.000139035	8.65883e-020	0	0.0114388	0.0218203	6.50327e-024	9.99922	0.000679308	1.78222e-012	0.299112	0.266831	0.299791	0.0114388	0	9.9999	0	0	0	0	3.21429	0.321432	6	16.8461	3.15615	0.965103	-0.104186	-0.207352	-0.59823	0.299115	0.299115	0.0114051	
1.1	0.9	1	0.299109	0.000679741	0.190547	1.39575e-022	0	1.46246e-009	0.000129907	2.04728e-019	0	0.0210469	0.0150963	4.18662e-023	9.99931	0.000605545	4.41691e-012	0.299109	0.237777	0.299712	0.0210469	0	9.99992	0	0	0	0	2.91667	0.291669	7	16.8481	3.16637	1.03542	-0.094847	-0.207468	-0.598223	0.299111	0.29911	0.0209833	
0	0.298	-99999	0.299113	0.000707243	0.209487	0	0	1.40559e-009	0.000148598	0	0	0	0.0298257	0	0.999925	7.49851e-005	0	0.299113	0.299338	0.299188	0	0	1	0	0	0	0	0.25	0.25	8	16.8216	3.14915	1	-0.116716	-0.207913	-0.598226	0.299113	0.299113	-5.39442e-015	
0	0.402	-99999	0.299113	0.000707243	0.209487	9.14407e-028	0	1.40559e-009	0.000148598	1.2891e-024	0	2.14727e-007	0.0298256	1.30836e-033	0.999925	7.4985e-005	2.56902e-019	0.299113	0.299337	0.299188	2.14727e-007	0	1	0	0	0	0	0.25	0.25	9	16.8216	3.14915	1	-0.116715	-0.207913	-0.598226	0.299113	0.299113	2.14561e-007	
