x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.0251131	0.227563	6.03717e-012	0.139061	0	4.36845e-012	1.37791e-012	0.609281	6.03613e-013	0.00837745	8.49069e-009	0.263391	0.473661	3.40995e-008	0.263169	0.0251131	-3.24484	0.0251324	1.54667	0	1	0.10245	0	0	0	0.25	0.25	0	19.3706	0.641613	1.09089	2.26627	-0.207912	1.32169	0.0248395	0.0248585	1.28583	
2.1	0	-99999	0.149744	0.195502	2.1164e-011	0.0353258	0	5.08484e-012	4.14988e-012	0.180159	6.36778e-014	0.0499451	8.01187e-008	0.0572768	0.62861	1.00595e-007	0.185695	0.149744	-0.800176	0.149836	0.565679	0	1	0	0	0	0	0.25	0.25	1	19.2606	0.707563	1.61437	0.875111	-0.207913	0.457709	0.148265	0.148355	0.388164	
2.1	1	-99999	0.144306	0.194501	1.98892e-011	0.0418656	0	5.11101e-012	3.87993e-012	0.21461	1.01676e-013	0.0481277	6.31678e-008	0.0838191	0.596935	8.83999e-008	0.201533	0.144306	-1.10275	0.144383	0.673774	0	1	0.000699706	0	0	0	0.25	0.25	2	19.2623	0.709793	1.64062	0.988886	-0.207913	0.49546	0.142872	0.142949	0.480405	
0	1	-99999	0.019732	0.228817	5.47948e-012	0.14292	0	4.34451e-012	1.25751e-012	0.622759	5.81815e-013	0.00658058	6.70696e-009	0.266247	0.471884	3.13459e-008	0.264058	0.019732	-3.28977	0.0197418	1.56881	0	1	0.0702531	0	0	0	0.25	0.25	3	19.3744	0.639226	1.78396	2.31053	-0.207912	1.35996	0.0193716	0.0193813	1.30825	
1	0	1	0.161688	0.426001	1.39369e-011	0.0059202	0	2.33355e-012	5.95475e-012	0.013856	8.75481e-018	0.0538868	5.52129e-005	3.16508e-006	8.81659	9.61267e-006	0.591702	0.161688	-1.14686	0.161836	0.665371	0	10	0	0	0	0	3.75	0.375	4	19.5874	0.369303	1.48989	0.525026	-0.207913	0.374991	0.160082	0.160218	0.085209	
1.1	0	1	0.163031	0.445794	1.81666e-011	0.00224193	0	2.22994e-012	8.12257e-012	0.0050142	5.16792e-019	0.0541975	0.000192571	3.15624e-007	9.54193	1.55401e-005	0.229029	0.163031	-0.0275472	0.163186	0.290483	0	10	0	0	0	0	3.75	0.375	5	19.6066	0.34958	1.49715	0.507729	-0.207913	0.36567	0.161414	0.16155	0.073237	
1	0.9	1	0.0843228	0.215745	1.13782e-011	0.0863175	0	4.60774e-012	2.46208e-012	0.398908	3.36763e-013	0.0281247	3.33473e-008	0.155479	2.1441	2.47905e-007	3.92795	0.0843228	-13.0983	0.0843744	4.75226	0	10	0.0276091	0	0	0	3.21429	0.321429	6	19.3253	0.664774	1.62357	1.57751	-0.207912	0.911245	0.0834742	0.083525	0.831512	
1.1	0.9	1	0.0879231	0.214898	1.17384e-011	0.0832706	0	4.62589e-012	2.53003e-012	0.386343	3.16859e-013	0.0293255	3.52029e-008	0.149321	2.16697	2.55448e-007	3.91651	0.0879231	-12.9983	0.0879768	4.71409	0	10	0.0240988	0	0	0	2.91667	0.291667	7	19.3223	0.666482	1.62695	1.53683	-0.207912	0.886289	0.0870393	0.0870922	0.805089	
0	0.298	-99999	0.000501793	0.231529	1.5197e-012	0.162565	0	4.29361e-012	3.52898e-013	0.700063	2.26535e-013	0.000167389	1.60975e-010	0.313482	0.456751	8.71761e-009	0.271625	0.000501793	-3.7906	0.000502176	1.76138	0	1	0.158072	0	0	0	0.25	0.25	8	19.388	0.634109	1.00201	2.56914	-0.207913	1.49209	0.000496415	0.000496784	1.49139	
0	0.402	-99999	0.000329391	0.231556	1.32003e-012	0.16273	0	4.29311e-012	3.06568e-013	0.70069	1.97278e-013	0.000109862	1.0562e-010	0.313824	0.456644	7.57312e-009	0.271678	0.000329391	-3.79432	0.000329595	1.76286	0	1	0.158265	0	0	0	0.25	0.25	9	19.3881	0.634058	1.00503	2.57124	-0.207913	1.49328	0.000325888	0.000326082	1.4928	
0.298	1	-99999	0.00029244	0.231563	1.26856e-012	0.162762	0	4.29299e-012	2.94623e-013	0.700805	1.89674e-013	9.75361e-005	9.3768e-011	0.313873	0.456627	7.2782e-009	0.271686	0.00029244	-3.79489	0.000292616	1.7631	0	1	0.158221	0	0	0	0.25	0.25	10	19.3881	0.634046	1.99644	2.57162	-0.207913	1.49354	0.000289031	0.000289199	1.49304	
0.402	1	-99999	0.000848719	0.231469	1.81235e-012	0.162255	0	4.29471e-012	4.20748e-013	0.698907	2.68892e-013	0.000283076	2.7233e-010	0.31293	0.456934	1.03925e-008	0.271533	0.000848719	-3.78434	0.000849239	1.75884	0	1	0.157838	0	0	0	0.25	0.25	11	19.3878	0.63422	1.99611	2.56533	-0.207913	1.48968	0.000840171	0.000840676	1.48895	
2.1	0.402	-99999	0.132129	0.200196	1.75081e-011	0.0500708	0	4.96561e-012	3.51544e-012	0.24937	1.36423e-013	0.044068	5.75042e-008	0.0951757	0.581085	8.26014e-008	0.209458	0.132129	-1.26268	0.132204	0.743317	0	1	0.00255132	0	0	0	0.25	0.25	12	19.2781	0.697259	1.63608	1.09792	-0.207913	0.579858	0.130815	0.13089	0.541223	
2.1	0.198	-99999	0.144823	0.197101	2.00169e-011	0.0390869	0	5.04358e-012	3.95704e-012	0.197722	7.89671e-014	0.0483033	7.35378e-008	0.0656972	0.615519	9.5466e-008	0.19224	0.144823	-0.909706	0.14491	0.608747	0	1	1.68488e-005	0	0	0	0.25	0.25	13	19.2659	0.704025	1.61743	0.930803	-0.207913	0.491837	0.14339	0.143476	0.424364	
1.25	1	-99999	0.0942215	0.212607	1.23885e-011	0.0792344	0	4.67574e-012	2.6417e-012	0.371578	3.00721e-013	0.0314256	3.71762e-008	0.147301	0.53349	6.4272e-008	0.233255	0.0942215	-1.91144	0.094277	1.01009	0	1	0.0225854	0	0	0	0.25	0.25	14	19.3164	0.671136	1.65109	1.4895	-0.207912	0.842621	0.0932776	0.0933325	0.782708	
0.825	1	-99999	0.0577229	0.221153	8.94131e-012	0.110283	0	4.49505e-012	1.98326e-012	0.497196	4.99878e-013	0.0192525	2.07286e-008	0.208193	0.497766	4.87137e-008	0.251117	0.0577229	-2.61792	0.0577576	1.29423	0	1	0.070553	0	0	0	0.25	0.25	15	19.3465	0.654021	1.74478	1.89865	-0.207912	1.09557	0.0571422	0.0571766	1.04738	
0.269386	0.35	-99999	0.0233529	0.227791	5.85809e-012	0.140954	0	4.36406e-012	1.33838e-012	0.616955	6.07509e-013	0.00778925	7.83557e-009	0.268445	0.471946	3.30677e-008	0.264027	0.0233529	-3.29765	0.0233678	1.56662	0	1	0.114212	0	0	0	0.25	0.25	16	19.3719	0.641177	1.15763	2.29256	-0.207912	1.33379	0.0231105	0.0231253	1.30522	
1.1	0.4	1	0.1181	0.238808	1.34553e-011	0.0487014	0	4.16273e-012	3.22276e-012	0.203332	4.76466e-014	0.0393931	1.52268e-007	0.0219625	3.11257	5.77171e-007	3.44372	0.1181	-10.3138	0.11818	3.77907	0	10	0	0	0	0	3.75	0.375	17	19.3484	0.620664	1.56069	0.991484	-0.207913	0.677185	0.116911	0.11699	0.379155	
1	0.45	1	0.107077	0.221621	1.34468e-011	0.059643	0	4.48556e-012	2.98894e-012	0.268326	1.17915e-013	0.0357163	7.2012e-008	0.0598723	2.60543	3.85902e-007	3.69728	0.107077	-11.4747	0.107149	4.18071	0	10	0.000285394	0	0	0	4	0.4	18	19.3223	0.653103	1.54307	1.15559	-0.207913	0.753608	0.105994	0.106065	0.499615	
1.0375	1	-99999	0.0795428	0.216432	1.09104e-011	0.0911864	0	4.5931e-012	2.36836e-012	0.42007	3.75885e-013	0.0265301	3.03509e-008	0.169154	0.518774	5.80669e-008	0.240613	0.0795428	-2.17258	0.0795904	1.11671	0	1	0.0373893	0	0	0	0.25	0.25	19	19.329	0.663392	1.66773	1.64627	-0.207912	0.944357	0.0787438	0.078791	0.88137	
0.35	0.730614	-99999	0.0280462	0.22695	6.32204e-012	0.136683	0	4.38023e-012	1.43904e-012	0.60048	6.0673e-013	0.00935432	9.49098e-009	0.260006	0.475158	3.5533e-008	0.262421	0.0280462	-3.20342	0.028063	1.52895	0	1	0.103579	0	0	0	0.25	0.25	20	19.3686	0.642783	1.68398	2.23821	-0.207912	1.30128	0.0277553	0.0277719	1.26944	
1	0.225	1	0.131927	0.423713	7.58067e-012	0.0306933	0	2.34615e-012	3.22155e-012	0.0722247	6.78056e-016	0.0440003	8.41925e-006	8.882e-005	6.55418	3.82459e-006	1.72291	0.131927	-4.64185	0.13203	1.87001	0	10	0	0	0	0	3.75	0.375	21	19.5904	0.371642	1.51149	0.735492	-0.207913	0.581381	0.130598	0.130695	0.177853	
1.1	0.2	1	0.138083	0.486527	7.51644e-012	0.0189482	0	2.04325e-012	3.66779e-012	0.0388308	9.09925e-017	0.0460293	3.26992e-005	1.12016e-005	7.93859	6.95377e-006	1.0307	0.138083	-2.46003	0.138193	1.13453	0	10	0	0	0	0	3.75	0.375	22	19.6484	0.311607	1.52793	0.676879	-0.207913	0.538685	0.136697	0.136799	0.143625	
