x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	3.30221e-006	0.23238	2.84916e-013	0.159988	0	4.27789e-012	6.64051e-014	0.686441	3.98933e-014	1.10163e-006	1.10044e-012	0.294841	0.461099	1.66821e-009	0.269451	3.30221e-006	-3.62113	3.30655e-006	1.70556	0	1	1.4588	0	0	0	0.25	0.25	0	19.3875	0.632516	1.09089	2.53128	-0.207912	1.49554	2.98763e-006	2.99003e-006	1.45156	
2.1	0	-99999	2.01865e-005	0.234765	5.21823e-013	0.152815	0	4.23442e-012	1.22869e-013	0.649	6.11218e-014	6.73404e-006	7.48766e-012	0.247887	0.473526	3.2353e-009	0.263237	2.01865e-005	-3.18701	2.02054e-005	1.56083	0	1	1.06333	0	0	0	0.25	0.25	1	19.3866	0.62808	1.61437	2.39084	-0.207912	1.49544	1.82635e-005	1.82777e-005	1.31117	
2.1	1	-99999	1.9451e-005	0.234675	5.15418e-013	0.153041	0	4.23605e-012	1.21314e-013	0.650211	6.07335e-014	6.48865e-006	7.18749e-012	0.24939	0.473095	3.18898e-009	0.263452	1.9451e-005	-3.20099	1.94692e-005	1.56549	0	1	1.09127	0	0	0	0.25	0.25	2	19.3866	0.628247	1.64062	2.39535	-0.207912	1.49544	1.75981e-005	1.76116e-005	1.31568	
0	1	-99999	2.15648e-006	0.232697	2.47325e-013	0.158862	0	4.27205e-012	5.77224e-014	0.680682	3.37195e-014	7.19434e-007	7.29702e-013	0.287549	0.462902	1.45973e-009	0.268549	2.15648e-006	-3.55402	2.15976e-006	1.68319	0	1	1.41339	0	0	0	0.25	0.25	3	19.3873	0.631923	1.78396	2.50953	-0.207912	1.49555	1.95104e-006	1.95268e-006	1.4298	
1	0	1	2.16872e-005	0.234985	5.34415e-013	0.15228	0	4.23047e-012	1.25952e-013	0.646124	6.17105e-014	7.23499e-006	8.11829e-012	0.244323	1.86702	1.31006e-008	4.06649	2.16872e-005	-14.5652	2.17181e-005	5.35355	0	10	0.908829	0	0	0	3.75	0.375	4	19.3866	0.627674	1.48989	2.38014	-0.207912	1.49543	1.96212e-005	1.96371e-005	1.30048	
1.1	0	1	2.18736e-005	0.235011	5.35935e-013	0.152216	0	4.22999e-012	1.26324e-013	0.645782	6.17809e-014	7.29715e-006	8.19698e-012	0.2439	1.86765	1.31467e-008	4.06617	2.18736e-005	-14.5605	2.19046e-005	5.35198	0	10	0.907004	0	0	0	3.75	0.375	5	19.3866	0.627625	1.49715	2.37887	-0.207912	1.49543	1.97898e-005	1.98058e-005	1.29921	
1	0.9	1	1.13223e-005	0.233437	4.30223e-013	0.156458	0	4.25851e-012	1.00728e-013	0.668254	5.53248e-014	3.77713e-006	3.96475e-012	0.271913	1.82812	1.0124e-008	4.08594	1.13223e-005	-14.8679	1.13415e-005	5.45448	0	10	1.21723	0	0	0	3.21429	0.321429	6	19.3869	0.630544	1.62357	2.46277	-0.207912	1.49549	1.02437e-005	1.02517e-005	1.38308	
1.1	0.9	1	1.18089e-005	0.233508	4.36322e-013	0.156245	0	4.25722e-012	1.02187e-013	0.667142	5.58127e-014	3.93945e-006	4.14828e-012	0.270519	1.82998	1.02873e-008	4.08501	1.18089e-005	-14.8528	1.18286e-005	5.44944	0	10	1.20551	0	0	0	2.91667	0.291667	7	19.3869	0.630413	1.62695	2.4586	-0.207912	1.49549	1.06839e-005	1.06923e-005	1.37891	
0	0.298	-99999	6.62704e-008	0.231799	7.7329e-014	0.162241	0	4.2886e-012	1.7978e-014	0.697851	1.14049e-014	2.21125e-008	2.14576e-014	0.30933	0.457635	4.46008e-010	0.271182	6.62704e-008	-3.75424	6.67837e-008	1.74993	0	1	1.57888	0	0	0	0.25	0.25	8	19.3881	0.633602	1.00201	2.57448	-0.207913	1.49556	5.99572e-008	6.00051e-008	1.49475	
0	0.402	-99999	4.36748e-008	0.231796	6.72954e-014	0.162253	0	4.28866e-012	1.56451e-014	0.69791	9.92771e-015	1.4574e-008	1.41403e-014	0.309405	0.457618	3.88108e-010	0.271191	4.36748e-008	-3.75493	4.41102e-008	1.75016	0	1	1.57953	0	0	0	0.25	0.25	9	19.3881	0.633607	1.00503	2.57471	-0.207913	1.49556	3.95142e-008	3.95455e-008	1.49497	
0.298	1	-99999	3.78673e-008	0.231797	6.41705e-014	0.162252	0	4.28865e-012	1.49186e-014	0.697908	9.46661e-015	1.26365e-008	1.22605e-014	0.309403	0.457618	3.70087e-010	0.271191	3.78673e-008	-3.7549	3.82798e-008	1.75016	0	1	1.57953	0	0	0	0.25	0.25	10	19.3881	0.633607	1.99644	2.5747	-0.207913	1.49556	3.426e-008	3.42873e-008	1.49496	
0.402	1	-99999	1.13954e-007	0.231803	9.26415e-014	0.162224	0	4.28852e-012	2.15383e-014	0.697763	1.36578e-014	3.80201e-008	3.69019e-014	0.309219	0.457661	5.34385e-010	0.271169	1.13954e-007	-3.75322	1.14595e-007	1.74959	0	1	1.57801	0	0	0	0.25	0.25	11	19.3881	0.633594	1.99611	2.57415	-0.207913	1.49556	1.03099e-007	1.03179e-007	1.49442	
2.1	0.402	-99999	1.77984e-005	0.234422	5.00403e-013	0.153688	0	4.24062e-012	1.17653e-013	0.653666	5.99737e-014	5.93738e-006	6.50691e-012	0.253683	0.471879	3.07815e-009	0.264061	1.77984e-005	-3.24087	1.78152e-005	1.57879	0	1	1.11688	0	0	0	0.25	0.25	12	19.3867	0.628716	1.63608	2.40822	-0.207912	1.49545	1.61029e-005	1.61154e-005	1.32854	
