x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.290129	0.000738352	0.189024	0	0	1.34637e-009	0.00013998	0	0	0	0.0336994	0	1.00016	7.70058e-005	0	0.290129	0.338104	0.29034	0	0	1.00024	0	0	0	0	0.25	0.24994	0	1	-0.0876746	-0.131979	-0.503753	0.28591	0.286044	-0.17773	
2.1	0	-99999	0.299113	5.33036e-005	0.0691595	2.811e-016	0	1.86497e-008	3.69738e-006	5.25796e-012	1.89723e-032	0.076638	6.34678e-015	0.118759	0.999631	1.05951e-008	0.000184361	0.299113	-0.644013	0.299077	0.31434	0	1	0	0	0	0	0.25	0.25	1	1.00882	0.197253	-0.207913	-0.598226	0.299113	0.299077	0.314075	
2.1	1	-99999	0.298902	0.000707829	0.208923	4.79771e-025	0	1.40443e-009	0.00014832	6.75802e-022	0	0.000112127	0.0298317	3.57797e-028	0.999925	7.49694e-005	1.34456e-016	0.298902	0.299847	0.298978	0.000112127	0	1	0	0	0	0	0.25	0.25	2	1.99274	-0.115666	-0.207905	-0.596637	0.298886	0.298887	0.000122389	
0	1	-99999	0.29866	5.73659e-005	0.056835	3.97101e-016	0	1.7329e-008	3.27006e-006	6.90179e-012	3.27656e-032	0.0806059	7.34208e-015	0.131695	0.999583	1.08528e-008	0.000208918	0.29866	-0.731702	0.298656	0.344205	0	1	0	0	0	0	0.25	0.25	3	2.00001	0.227322	-0.207913	-0.594913	0.29864	0.298636	0.342156	
1	0	1	0.299113	4.67279e-005	0.0994207	1.39152e-016	0	2.12741e-008	4.6595e-006	2.96911e-012	5.60212e-033	0.0665619	5.05386e-015	0.0834385	9.97304	1.02371e-007	0.0134838	0.299113	-0.441661	0.299111	0.246923	0	10	0	0	0	0	3.75	0.375	4	1	0.116644	-0.207913	-0.598226	0.299113	0.299111	0.233364	
1.1	0	1	0.299113	0.0814325	2.12417e-010	0.00231715	0	1.22076e-011	1.73489e-011	0.0283707	5.99201e-015	0.0997041	1.27343e-008	0.271971	2.88747	3.35154e-007	3.55627	0.299113	-12.3927	0.299113	4.2306	0	10	0	0	0	0	3.75	0.375	5	1	0.555045	-0.207912	-0.598225	0.299113	0.299112	0.67176	
1	0.9	1	0.280099	0.000770994	0.160184	5.63383e-023	0	1.28937e-009	0.000123867	7.28562e-020	0	0.00835347	0.0316083	2.48998e-024	9.99926	0.000742821	1.22175e-012	0.280099	0.35262	0.280936	0.00835347	0	10	0	0	0	0	3.21429	0.321429	6	0.994143	-0.0185705	-0.207913	-0.444127	0.277099	0.277199	0.0097872	
1.1	0.9	1	0.270319	0.000812167	0.127496	2.25925e-022	0	1.224e-009	0.000103855	2.77354e-019	0	0.020799	0.026815	2.64099e-023	9.99931	0.000691111	4.19148e-012	0.270319	0.354335	0.271133	0.020799	0	10	0	0	0	0	2.91667	0.291667	7	1.02615	0.0367658	-0.207911	-0.370669	0.266605	0.266733	0.0230596	
0	0.298	-99999	2.34014e-008	0.231798	5.4663e-014	0.162245	0	4.28862e-012	1.27084e-014	0.697871	8.06273e-015	7.81081e-009	7.57907e-015	0.309357	0.457629	3.1527e-010	0.271185	2.34014e-008	-3.75448	2.37478e-008	1.75002	0	1	0.783433	0	0	0	0.25	0.25	8	1	2.57457	-0.207913	1.49556	2.12155e-008	2.12343e-008	1.49483	
0	0.402	-99999	1.54412e-008	0.231798	4.75923e-014	0.162248	0	4.28863e-012	1.10645e-014	0.697886	7.02028e-015	5.155e-009	5.00187e-015	0.309375	0.457625	2.74484e-010	0.271188	1.54412e-008	-3.75466	1.57396e-008	1.75007	0	1	0.783604	0	0	0	0.25	0.25	9	1	2.57462	-0.207913	1.49556	1.39239e-008	1.39368e-008	1.49489	
0.298	1	-99999	7.24326e-007	0.231802	1.71599e-013	0.162228	0	4.28855e-012	3.98951e-014	0.697786	2.53009e-014	2.41627e-007	2.34507e-013	0.309249	0.457654	9.89806e-010	0.271173	7.24326e-007	-3.75349	7.25871e-007	1.74969	0	1	0.782844	0	0	0	0.25	0.25	10	2	2.57424	-0.207913	1.49556	6.71063e-007	6.71554e-007	1.49451	
0.402	1	-99999	0	0.231794	1.13497e-015	0.162263	0	4.2887e-012	2.6386e-016	0.69796	1.67474e-016	6.99176e-014	6.78283e-020	0.30947	0.457603	6.54523e-012	0.271199	0	-3.75552	6.75655e-012	1.75036	0	1	0.784165	0	0	0	0.25	0.25	11	2	2.5749	-0.207913	1.49556	7.61301e-015	1.7174e-014	1.49516	
2.1	0.402	-99999	0.295074	0.000718822	0.198635	1.02791e-023	0	1.38295e-009	0.000143207	1.42576e-020	0	0.0021959	0.02991	1.4519e-025	0.999925	7.46505e-005	2.75058e-015	0.295074	0.30897	0.295171	0.0021959	0	1	0	0	0	0	0.25	0.25	12	1.98085	-0.0926225	-0.20791	-0.561237	0.293829	0.293857	0.00286538	
