x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.274256	0.0921505	1.48028e-010	0.0038283	0	1.07877e-011	1.36813e-011	0.0414211	1.14838e-014	0.0914185	1.48403e-008	0.276076	0.622774	7.29983e-008	0.188613	0.274256	-2.35804	0.274256	0.877433	0	1	4.07675	0	0	0	0.25	0.25	0	18.9356	1.03422	0.962928	0.457634	-0.207913	-0.549044	0.274522	0.274522	0.59894	
2.1	0	-99999	0.149038	0.112536	7.26984e-011	0.00789651	0	8.83359e-012	8.20543e-012	0.0699614	2.22526e-014	0.0496792	1.29692e-008	0.237433	0.601487	6.30619e-008	0.199257	0.149038	-2.25594	0.149038	0.80166	0	1	5.0318	0	0	0	0.25	0.25	1	19.0201	0.947423	0.83467	0.336983	-0.207913	-0.30101	0.150504	0.150504	0.602307	
2.1	1	-99999	0.156995	0.110375	7.79337e-011	0.00729615	0	9.00648e-012	8.62748e-012	0.0659075	2.03343e-014	0.0523315	1.31624e-008	0.236703	0.605072	6.41645e-008	0.197464	0.156995	-2.23222	0.156995	0.796406	0	1	5.03245	0	0	0	0.25	0.25	2	19.0114	0.955841	0.899802	0.341281	-0.207913	-0.316792	0.158395	0.158395	0.598715	
0	1	-99999	0.280542	0.0936333	1.42251e-010	0.00413988	0	1.06169e-011	1.33589e-011	0.044083	1.30921e-014	0.093514	1.54491e-008	0.284137	0.617592	7.2978e-008	0.191204	0.280542	-2.42311	0.280542	0.901216	0	1	5.01433	0	0	0	0.25	0.25	3	18.9433	1.02728	1.6825	0.575414	-0.207912	-0.56173	0.280865	0.280865	0.710375	
1	0	1	0.136052	0.116646	6.39143e-011	0.00918992	0	8.52234e-012	7.47744e-012	0.0785519	2.6716e-014	0.0453507	1.26159e-008	0.241362	2.54485	2.61223e-007	3.72758	0.136052	-12.8941	0.136052	4.34339	0	10	4.19452	0	0	0	3.75	0.375	4	19.0362	0.931845	0.649207	0.337748	-0.207913	-0.275287	0.137643	0.137643	0.615935	
1.1	0	1	0.134195	0.116944	6.32089e-011	0.00927609	0	8.5006e-012	7.41383e-012	0.0790862	2.68952e-014	0.0447317	1.25184e-008	0.240937	2.54303	2.60141e-007	3.72848	0.134195	-12.8962	0.134195	4.34345	0	10	4.18932	0	0	0	3.75	0.375	5	19.0373	0.930736	0.648524	0.335009	-0.207913	-0.271606	0.135802	0.135802	0.615036	
1	0.9	1	0.215201	0.0983091	1.1703e-010	0.00469301	0	1.01119e-011	1.15393e-011	0.0475961	1.29119e-014	0.0717336	1.40044e-008	0.247258	2.72236	3.06316e-007	3.63882	0.215201	-12.5569	0.215201	4.25736	0	10	3.97725	0	0	0	3.21429	0.321429	6	18.9614	1.00612	1.18906	0.388941	-0.207913	-0.432074	0.216037	0.216037	0.588732	
1.1	0.9	1	0.211306	0.0988536	1.14739e-010	0.00478282	0	1.00562e-011	1.1376e-011	0.0482398	1.31071e-014	0.0704352	1.39473e-008	0.245712	2.71963	3.0503e-007	3.64019	0.211306	-12.5539	0.211306	4.25507	0	10	4.14574	0	0	0	2.91667	0.291667	7	18.9637	1.00372	1.17417	0.385412	-0.207913	-0.424359	0.212179	0.212179	0.589061	
0	0.298	-99999	0.298587	0.000699878	0.201638	4.14057e-023	0	1.42038e-009	0.000141541	5.89864e-020	0	0.00831519	0.023954	2.91701e-024	0.99993	6.99447e-005	1.20041e-014	0.298587	0.273852	0.298657	0.00831519	0	1	0	0	0	0	0.25	0.25	8	16.8165	3.15369	0.99943	-0.10897	-0.207913	-0.597186	0.298593	0.298593	0.00826532	
0	0.402	-99999	0.29877	0.000700224	0.202115	3.91171e-023	0	1.41968e-009	0.000141946	5.56985e-020	0	0.00792709	0.0242438	2.59319e-024	0.99993	7.0214e-005	1.13238e-014	0.29877	0.275199	0.29884	0.00792709	0	1	0	0	0	0	0.25	0.25	9	16.8168	3.15348	1.0033	-0.10917	-0.207913	-0.597546	0.298773	0.298773	0.00788547	
0.298	1	-99999	0.2988	0.000700142	0.202079	3.94718e-023	0	1.41985e-009	0.000141903	5.62101e-020	0	0.0079909	0.0242022	2.64292e-024	0.99993	7.01766e-005	1.14305e-014	0.2988	0.275038	0.29887	0.0079909	0	1	0	0	0	0	0.25	0.25	10	16.8167	3.15353	1.99471	-0.109073	-0.207913	-0.597607	0.298804	0.298804	0.00795222	
0.402	1	-99999	0.298228	0.0007016	0.202701	3.3273e-023	0	1.4169e-009	0.000142637	4.72842e-020	0	0.00685517	0.0249398	1.847e-024	0.999929	7.08333e-005	9.57547e-015	0.298228	0.277876	0.298299	0.00685517	0	1	0	0	0	0	0.25	0.25	11	16.8176	3.15262	1.99133	-0.110743	-0.207913	-0.596474	0.298237	0.298237	0.00684818	
2.1	0.402	-99999	0.166656	0.108046	8.41323e-011	0.0067045	0	9.20062e-012	9.11716e-012	0.0618685	1.85496e-014	0.055552	1.33791e-008	0.237053	0.608598	6.53535e-008	0.195701	0.166656	-2.21514	0.166656	0.793933	0	1	5.02838	0	0	0	0.25	0.25	12	19.0021	0.965103	0.946924	0.350463	-0.207913	-0.335923	0.167961	0.167961	0.598331	
2.1	0.198	-99999	0.153453	0.111487	7.52624e-011	0.00760711	0	8.91669e-012	8.41566e-012	0.0680313	2.13822e-014	0.0511509	1.31042e-008	0.237488	0.603072	6.3645e-008	0.198464	0.153453	-2.24724	0.153453	0.80023	0	1	5.0307	0	0	0	0.25	0.25	13	19.0159	0.95149	0.860331	0.340781	-0.207913	-0.309759	0.154879	0.154879	0.601731	
1.25	1	-99999	0.205221	0.099821	1.10873e-010	0.0049515	0	9.95877e-012	1.11002e-011	0.0494571	1.35163e-014	0.068407	1.38716e-008	0.243609	0.619804	6.91655e-008	0.190098	0.205221	-2.19518	0.205221	0.800132	0	1	4.43842	0	0	0	0.25	0.25	14	18.9678	0.999492	1.16382	0.371924	-0.207913	-0.412306	0.206153	0.206153	0.581599	
0.825	1	-99999	0.240642	0.0266595	4.17808e-009	2.13262e-005	0	3.72886e-011	1.11716e-010	0.000797583	7.99879e-018	0.080214	1.37049e-009	0.174587	0.841536	6.74135e-008	0.0792322	0.240642	-1.28768	0.240642	0.50944	0	1	0	0	0	0	0.25	0.25	15	18.3871	1.57286	1.43776	0.25386	-0.207913	-0.482449	0.241224	0.241224	0.428464	
0.269386	0.35	-99999	0.275779	6.03797e-005	0.0488434	4.78399e-016	0	1.64641e-008	2.9579e-006	7.89975e-012	4.01168e-032	0.0756441	7.77608e-015	0.126897	0.999568	1.08752e-008	0.000215844	0.275779	-0.713181	0.275779	0.329653	0	1	0	0	0	0	0.25	0.25	16	15.7446	4.21782	1.03746	0.188284	-0.207913	-0.552037	0.276018	0.276018	0.328093	
