x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.140192	1.54277	1.39119e-012	0.251113	0	6.44359e-013	2.15265e-012	0.162286	3.87708e-016	0.391049	0	0	0.986743	5.10077e-006	0.00661881	0.140192	2.92484	1.17315	0.811067	0	0.999986	0	0	0	0	0.25	0.250004	0	20.7419	-0.189586	1	5.73356	-0.206971	1.87528	0.137802	1.15096	0.819569	
2.1	0	-99999	0.298706	1.17557e-005	0.180622	2.18133e-015	0	8.45626e-008	2.12964e-006	1.85006e-010	9.78697e-027	0.025063	0	0	0.820358	2.43594e-010	0.0898208	0.298706	-0.169197	0.255813	0.114884	0	1	0	0	0	0	0.25	0.25	1	15.025	4.92846	0.985502	-0.215463	-0.207913	-0.591725	0.298689	0.255671	0.0250768	
2.1	1	-99999	0.29622	1.80746	0.353452	2.02748e-037	0	5.49997e-013	0.640744	1.11841e-037	0	0.00975486	0	0	4.73503e-007	1	7.65236e-052	0.29622	5.48723	2.02346	0.00975486	0	1	0	0	0	0	0.25	0.249999	2	0.736068	-0.258354	2.05968	2.26148	-0.207922	-0.52762	0.294506	1.06259	0.0171094	
0	1	-99999	0.327898	1.04024e-012	0	3.57687e-023	0	0.955639	0	3.42833e-011	0	0	0	0	3.97931e-007	0	0.500083	0.327898	-2.45589	0	0.500083	0	1.00017	0	0	0	0	0.25	0.249959	3	9.31084	11.9816	2.01352	0.528421	0.947628	-0.961263	0.328221	-0.0824821	-0.153593	
1	0	1	0.299635	1.52875e-005	0.176868	1.22577e-015	0	6.50268e-008	2.71188e-006	7.99442e-011	5.9463e-028	0.0378183	0	0	6.8239	4.36348e-009	1.58805	0.299635	-4.61286	0.290326	1.62587	0	10	0	0	0	0	3.75	0.375	4	15.1882	4.81438	1.00001	-0.115743	-0.207913	-0.606764	0.29967	0.290122	0.0364848	
1.1	0	1	0.299115	1.61952e-005	0.172861	1.09808e-015	0	6.13822e-008	2.80782e-006	6.76022e-011	3.31717e-028	0.0398355	0	0	7.27786	5.40757e-009	1.36107	0.299115	-3.92385	0.292371	1.40091	0	10	0	0	0	0	3.75	0.375	5	15.1761	4.78933	1.00002	-0.0970369	-0.207913	-0.598249	0.299115	0.292398	0.0398463	
1	0.9	1	0.070106	1.39845	1.1553e-012	0.470181	0	7.10856e-013	1.62042e-012	0.335222	3.13054e-015	0.283099	0	0	7.87846	2.51895e-005	1.06074	0.070106	-0.986523	0.849322	2.14924	0	9.99997	0	0	0	0	3.21429	0.32143	6	20.5185	-0.146932	0.965107	6.18125	-0.207719	2.94224	0.0682157	0.836112	1.14615	
1.1	0.9	1	0.0840696	1.63505	1.05355e-012	0.423439	0	6.07989e-013	1.72773e-012	0.25821	1.11587e-015	0.36132	0	0	8.58168	3.99916e-005	0.709147	0.0840696	0.694801	1.084	1.75212	0	10	0	0	0	0	2.91667	0.291666	7	20.6355	-0.214818	1.03545	6.62668	-0.207945	2.7283	0.0821685	1.07606	1.08614	
0	0.298	-99999	7.88087e-007	6.71297e-006	4.29058e-011	1.34257e-005	0	1.48086e-007	2.8888e-016	1.99405	5.09777e-006	2.1986e-022	0	0	1.0646e-005	1.39827e-025	0.499995	7.88087e-007	-3.49404	5.09781e-006	2.49407	0	1	0	0	0	0	0.25	0.25	8	14.1943	5.1718	1	5.56644	-0.207899	3.98815	7.70688e-007	5.041e-006	1.99408	
0	0.402	-99999	1.08484e-006	1.0953e-005	1.10553e-010	2.19054e-005	0	9.07599e-008	1.21448e-015	1.99403	8.05009e-006	4.34908e-020	0	0	1.73703e-005	2.55342e-024	0.499991	1.08484e-006	-3.49402	8.0502e-006	2.49406	0	1	0	0	0	0	0.25	0.25	9	14.3412	4.95918	1	5.56645	-0.207899	3.98815	1.06149e-006	7.88932e-006	1.99407	
