x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0	0.259525	4.21917e-016	0.349049	0	3.83045e-012	1.09823e-016	1.34098	3.94356e-016	1.21419e-014	0	0	0.391506	2.92177e-012	0.304247	0	-1.9942	2.95912e-012	1.99428	0	1	0	0	0	0	0.25	0.25	0	-0.000110155	5.26288	-0.207859	3.98866	-3.29594e-005	-3.21269e-005	1.69004	
2.1	0	-99999	0	0.259504	0	0.348988	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.9941	0	1.99409	0	1	0	0	0	0	0.25	0.25	1	-5.4873e-033	5.26217	-0.207912	3.98816	-4.52061e-034	-4.06344e-034	1.68983	
2.1	1	-99999	0	0.259505	0	0.348989	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.9941	0	1.99409	0	1	0	0	0	0	0.25	0.25	2	-1.74932e-018	5.26218	-0.207912	3.98817	-2.48035e-019	-2.94321e-019	1.68984	
0	1	-99999	3.60319e-008	0.259504	4.14807e-014	0.348987	0	3.83074e-012	1.07964e-014	1.34085	3.87624e-014	1.15327e-008	0	0	0.391498	2.8718e-010	0.304251	3.60319e-008	-1.99409	3.48854e-008	1.99408	0	1	0	0	0	0	0.25	0.25	3	2.29527e-007	5.26217	-0.207912	3.98816	3.53105e-008	3.38193e-008	1.68983	
1	0	1	0	1.30418	0	0.592622	0	7.6224e-013	0	0.453059	0	0	0	0	7.22641	0	1.38679	0	-3.30927	0	2.43248	0	10	0	0	0	0	3.75	0.375	4	-3.91308e-022	4.61997	-0.207911	3.98816	-1.92842e-022	-1.93092e-022	1.04763	
1.1	0	1	0	1.43579	0	0.581559	0	6.92366e-013	0	0.403846	0	0	0	0	7.69004	0	1.15498	0	-2.43299	0	2.14038	0	10	0	0	0	0	3.75	0.375	5	-2.54111e-027	4.55774	-0.207911	3.98816	-4.45442e-028	-4.33755e-028	0.985406	
1	0.9	1	7.84634e-007	0.429994	5.40946e-014	0.465882	0	2.31188e-012	2.33294e-014	1.08026	1.5953e-014	2.5739e-007	0	0	2.5319	1.10188e-008	3.73405	7.84634e-007	-11.8524	7.83189e-007	5.28019	0	10	0	0	0	0	3.21429	0.321429	6	5.64701e-006	5.12157	-0.207913	3.98815	8.44551e-007	8.30856e-007	1.54924	
1.1	0.9	1	0	0.588219	1.08319e-015	0.532103	0	1.69001e-012	6.39043e-016	0.901925	1.3591e-016	8.2655e-012	0	0	3.52856	7.87161e-010	3.23572	0	-10.0209	8.11959e-010	4.66975	0	10	0	0	0	0	2.91667	0.291667	7	-0.000104282	5.01507	-0.207893	3.9884	-1.55961e-005	-1.54698e-005	1.4425	
0	0.298	-99999	0.299082	0.222673	0.237247	4.04048e-034	0	4.46437e-012	0.0529851	1.80917e-033	0	0.00135428	0	0	0.000377127	0.999623	5.17371e-040	0.299082	3.27994	1.29392	0.00135428	0	1	0	0	0	0	0.25	0.25	8	0.9999	-0.129175	-0.207911	-0.597762	0.299083	0.294352	0.00135429	
0	0.402	-99999	0.299084	0.225225	0.237732	3.41326e-034	0	4.41379e-012	0.0537019	1.51101e-033	0	0.00120476	0	0	0.000363715	0.999636	3.92864e-040	0.299084	3.28265	1.29468	0.00120476	0	1	0	0	0	0	0.25	0.25	9	0.999908	-0.127288	-0.207911	-0.5978	0.299085	0.295047	0.0011943	
0.298	1	-99999	0.299005	0.219368	0.235988	6.63122e-034	0	4.53162e-012	0.0519219	3.01393e-033	0	0.00206045	0	0	0.000396526	0.999603	9.81775e-040	0.299005	3.27834	1.29369	0.00206045	0	1	0	0	0	0	0.25	0.25	10	1.99929	-0.127725	-0.207911	-0.596602	0.299007	0.294217	0.00205049	
0.402	1	-99999	0.299112	0.229283	0.238744	1.89529e-034	0	4.33566e-012	0.0549023	8.24172e-034	0	0.000727719	0	0	0.000343287	0.999657	1.84193e-040	0.299112	3.28607	1.29549	0.000727719	0	1	0	0	0	0	0.25	0.25	11	1.99999	-0.12603	-0.207911	-0.598209	0.299112	0.29577	0.000690526	
2.1	0.402	-99999	0	0.259503	0	0.348985	0	3.83076e-012	0	1.34084	0	0	0	0	0.391497	0	0.304251	0	-1.99409	0	1.99408	0	1	0	0	0	0	0.25	0.25	12	1.73538e-024	5.26215	-0.207911	3.98815	9.66758e-027	9.81698e-027	1.68983	
2.1	0.198	-99999	0	0.259505	0	0.348988	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.9941	0	1.99409	0	1	0	0	0	0	0.25	0.25	13	5.1044e-030	5.26219	-0.207912	3.98817	3.89639e-031	3.76075e-031	1.68984	
1.25	1	-99999	0.00621791	0.256883	2.39135e-012	0.338212	0	3.86984e-012	6.16117e-013	1.31271	2.11829e-012	0.00205616	0	0	0.391631	1.60645e-008	0.304184	0.00621791	-1.96015	0.0061685	1.95716	0	1	0	0	0	0	0.25	0.25	14	0.0462589	5.13567	-0.207912	3.88208	0.00691832	0.00685958	1.64883	
0.825	1	-99999	0.145691	0.182145	1.51094e-011	0.119346	0	5.45771e-012	2.76025e-012	0.653288	2.32657e-012	0.0462611	0	0	0.393143	3.63239e-008	0.303428	0.145691	-1.19638	0.138783	1.12232	0	1	0	0	0	0	0.25	0.25	15	1.0006	2.49971	-0.207913	1.6936	0.149646	0.142316	0.79498	
0.269386	0.35	-99999	0.0973874	0.212427	9.22017e-012	0.18924	0	4.6797e-012	1.96442e-012	0.888211	3.0595e-012	0.0308368	0	0	0.393203	3.51664e-008	0.303399	0.0973874	-1.46263	0.0925104	1.41169	0	1	0	0	0	0	0.25	0.25	16	0.334789	3.41352	-0.207912	2.45269	0.10014	0.0949949	1.09167	
1.1	0.4	1	0	1.40929	0	0.584122	0	7.05389e-013	0	0.413255	0	0	0	0	7.6022	0	1.1989	0	-2.60067	0	2.19628	0	10	0	0	0	0	3.75	0.375	17	1.05914e-017	4.56995	-0.207911	3.98816	8.74491e-019	-5.47723e-018	0.997615	
1	0.45	1	0	1.25535	0	0.595582	0	7.91889e-013	0	0.473034	0	0	0	0	7.03655	0	1.48173	0	-3.66287	0	2.55034	0	10	0	0	0	0	4	0.4	18	2.01857e-019	4.64387	-0.207911	3.98816	-5.31725e-021	-4.22763e-021	1.07153	
1.0375	1	-99999	0.0429901	0.240027	5.31529e-012	0.275653	0	4.1416e-012	1.2796e-012	1.14503	3.34416e-012	0.0140276	0	0	0.391769	2.91394e-008	0.304116	0.0429901	-1.76124	0.0420829	1.73882	0	1	0	0	0	0	0.25	0.25	19	0.305158	4.42534	-0.207912	3.28838	0.0456384	0.0446268	1.41891	
0.35	0.730614	-99999	0	0.25955	6.68045e-016	0.349139	0	3.83007e-012	1.73906e-016	1.34119	6.24639e-016	4.82286e-014	0	0	0.391512	4.62765e-012	0.304244	0	-1.99437	4.7738e-012	1.99458	0	1	0	0	0	0	0.25	0.25	20	-0.000567649	5.26397	-0.207813	3.98947	-8.48637e-005	-8.45231e-005	1.69038	
1	0.225	1	0	1.30138	0	0.592808	0	7.63879e-013	0	0.454176	0	0	0	0	7.2158	0	1.3921	0	-3.3291	0	2.43908	0	10	0	0	0	0	3.75	0.375	21	-6.63466e-021	4.62209	-0.207911	3.98815	-2.19972e-021	-2.43198e-021	1.04976	
1.1	0.2	1	0	1.42877	0	0.582253	0	6.95768e-013	0	0.406314	0	0	0	0	7.66705	0	1.16648	0	-2.47697	0	2.15504	0	10	0	0	0	0	3.75	0.375	22	-5.55323e-027	4.5611	-0.207911	3.98816	-9.57605e-028	-1.12186e-027	0.988766	
1.1	0.65	1	5.8385e-010	1.37648	9.27733e-019	0.587068	0	7.222e-013	1.2808e-018	0.425238	5.2134e-021	1.71808e-019	0	0	7.48967	1.83376e-011	1.25516	5.8385e-010	-2.81425	1.83376e-011	2.26747	0	10	0	0	0	0	3.92857	0.392857	23	4.60079e-009	4.58422	-0.207911	3.98816	6.88031e-010	5.31539e-012	1.01188	
1	0.675	1	0	1.16658	0	0.599145	0	8.52142e-013	0	0.512071	0	0	0	0	6.66609	0	1.66696	0	-4.34636	0	2.77817	0	10	0	0	0	0	3.75	0.375	24	-6.30827e-016	4.68731	-0.207912	3.98816	-1.06165e-014	-6.60337e-014	1.11497	
1.6	0	-99999	0	0.259504	0	0.348987	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.99409	0	1.99408	0	1	0	0	0	0	0.25	0.25	25	-2.33375e-024	5.26217	-0.207912	3.98816	-3.65074e-025	-3.77489e-025	1.68983	
1.43	0.3	-99999	0	0.259505	0	0.348988	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.9941	0	1.99409	0	1	0	0	0	0	0.25	0.25	26	2.02562e-017	5.26218	-0.207912	3.98816	4.38702e-019	4.24211e-019	1.68984	
1.77246	0.3	-99999	0	0.259505	0	0.348988	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.9941	0	1.99409	0	1	0	0	0	0	0.25	0.25	27	8.95399e-020	5.26217	-0.207912	3.98816	1.52324e-021	1.44508e-021	1.68983	
0.643247	0.3375	-99999	0	0.259505	1.89252e-016	0.348988	0	3.83074e-012	4.92575e-017	1.34085	1.7685e-016	1.09526e-015	0	0	0.391498	1.31024e-012	0.304251	0	-1.9941	1.31394e-012	1.99409	0	1	0	0	0	0	0.25	0.25	28	-2.10271e-008	5.26217	-0.207912	3.98816	-6.30557e-009	-6.28637e-009	1.68983	
1.1	0.1	1	0	1.42928	0	0.582204	0	6.95522e-013	0	0.406136	0	0	0	0	7.66871	0	1.16565	0	-2.47379	0	2.15399	0	10	0	0	0	0	3.75	0.375	29	-1.75597e-027	4.56058	-0.207911	3.98816	-1.10222e-027	-1.00483e-027	0.988238	
0.130053	0.35	-99999	0.289937	7.92488e-006	0.12353	5.72645e-014	0	1.2544e-007	9.81867e-007	7.20455e-009	5.86374e-022	0.043469	0	0	0.18837	1.17194e-011	0.405815	0.289937	-1.04356	0.253938	0.449284	0	1	0	0	0	0	0.25	0.25	30	0.970549	-0.0745074	-0.207913	-0.463149	0.290304	0.253927	0.0426879	
1.0625	0.9	1	0	0.69222	1.62012e-015	0.560473	0	1.4361e-012	1.1248e-015	0.80728	1.23864e-016	5.58693e-011	0	0	4.16698	2.26593e-009	2.91651	0	-8.86458	2.43354e-009	4.28426	0	10	0	0	0	0	3.75	0.375	31	-1.80289e-005	4.95118	-0.207905	3.98821	-2.69633e-006	-2.70957e-006	1.37879	
1.15083	0.931206	-99999	0.00207203	0.257246	1.64418e-012	0.34418	0	3.86437e-012	4.24213e-013	1.33398	1.52625e-012	0.000683963	0	0	0.389672	1.10367e-008	0.305164	0.00207203	-1.9895	0.0020519	1.98401	0	1	0	0	0	0	0.25	0.25	32	0.0153283	5.22152	-0.207912	3.95301	0.00229245	0.0022687	1.67753	
1.1	0.775	1	0	1.31813	1.73309e-016	0.591657	0	7.54173e-013	2.2912e-016	0.447535	1.18554e-018	9.4921e-013	0	0	7.27885	2.92347e-009	1.36057	0	-3.21113	2.92632e-009	2.39977	0	10	0	0	0	0	3.92857	0.392857	33	-8.48124e-007	4.61476	-0.207911	3.98817	-1.26845e-007	-1.38813e-007	1.04242	
